topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,22,BR-AC,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,9,BR-AC,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-AL,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,39,BR-AL,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,18,BR-AL,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,10,BR-AL,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,100,BR-AM,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,34,BR-AM,Dengue,2021-12,2025-07-23 14:29
,,BR-AP,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-BA,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,26,BR-BA,Dengue,2021-12,2025-07-23 14:29
mosquito da dengue,12,BR-BA,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,11,BR-BA,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,10,BR-BA,Dengue,2021-12,2025-07-23 14:29
dengue zika e chikungunya,5,BR-BA,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica,2,BR-BA,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-CE,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,31,BR-CE,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,16,BR-CE,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,13,BR-CE,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica,3,BR-CE,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-DF,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,30,BR-DF,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,12,BR-DF,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,10,BR-DF,Dengue,2021-12,2025-07-23 14:29
sintomas covid,4,BR-DF,Dengue,2021-12,2025-07-23 14:29
cid dengue,3,BR-DF,Dengue,2021-12,2025-07-23 14:29
sabin,2,BR-DF,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica,2,BR-DF,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-ES,Dengue,2021-12,2025-07-23 14:29
sintomas dengue,37,BR-ES,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,18,BR-ES,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,15,BR-ES,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue sintomas,29,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,16,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,10,BR-GO,Dengue,2021-12,2025-07-23 14:29
mosquito da dengue,5,BR-GO,Dengue,2021-12,2025-07-23 14:29
quais sintomas da dengue,3,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue cid,3,BR-GO,Dengue,2021-12,2025-07-23 14:29
quais os sintomas da dengue,2,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas covid,2,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue tratamento,2,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica,2,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas da covid,2,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue pode tomar dipirona,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue ns1,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintoma de dengue,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas de covid,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
plaquetas baixas dengue,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintoma da dengue,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas h3n2,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica sintomas,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue da diarreia,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
qual é o sintoma da dengue,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
quantos dias dura a dengue,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
sintomas da omicron,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue sintomas finais,1,BR-GO,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-MA,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,8,BR-MA,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-MG,Dengue,2021-12,2025-07-23 14:29
sintomas dengue,29,BR-MG,Dengue,2021-12,2025-07-23 14:29
sintomas da dengue,10,BR-MG,Dengue,2021-12,2025-07-23 14:29
sintomas de dengue,10,BR-MG,Dengue,2021-12,2025-07-23 14:29
mosquito da dengue,9,BR-MG,Dengue,2021-12,2025-07-23 14:29
sintomas covid,3,BR-MG,Dengue,2021-12,2025-07-23 14:29
dengue tratamento,2,BR-MG,Dengue,2021-12,2025-07-23 14:29
cid dengue,2,BR-MG,Dengue,2021-12,2025-07-23 14:29
dengue hemorrágica,2,BR-MG,Dengue,2021-12,2025-07-23 14:29
remedio para dengue,1,BR-MG,Dengue,2021-12,2025-07-23 14:29
dengue,100,BR-MS,Dengue,2021-12,2025-07-23 14:29
