topSearches,value,geo,keyword,time,sys_time
,,BR-AC,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-AL,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,23,BR-AL,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,17,BR-AL,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,10,BR-AL,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,8,BR-AL,Dengue,2024-09,2025-07-30 15:39
dengue hemorrágica,7,BR-AL,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-AM,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,17,BR-AM,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,13,BR-AM,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,8,BR-AM,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,100,BR-AP,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-BA,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,20,BR-BA,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,12,BR-BA,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,12,BR-BA,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,5,BR-BA,Dengue,2024-09,2025-07-30 15:39
dengue hemorrágica,1,BR-BA,Dengue,2024-09,2025-07-30 15:39
o que não pode comer quando está com dengue,1,BR-BA,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-CE,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,18,BR-CE,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,13,BR-CE,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,8,BR-CE,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,6,BR-CE,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-DF,Dengue,2024-09,2025-07-30 15:39
vacina dengue,16,BR-DF,Dengue,2024-09,2025-07-30 15:39
sintomas dengue,15,BR-DF,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,7,BR-DF,Dengue,2024-09,2025-07-30 15:39
vacina da dengue,7,BR-DF,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,6,BR-DF,Dengue,2024-09,2025-07-30 15:39
vacina dengue df,3,BR-DF,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-ES,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,20,BR-ES,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,11,BR-ES,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,10,BR-ES,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,6,BR-ES,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-GO,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,17,BR-GO,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,8,BR-GO,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,7,BR-GO,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,6,BR-GO,Dengue,2024-09,2025-07-30 15:39
vacina dengue,6,BR-GO,Dengue,2024-09,2025-07-30 15:39
dengue hemorrágica,2,BR-GO,Dengue,2024-09,2025-07-30 15:39
cid dengue,2,BR-GO,Dengue,2024-09,2025-07-30 15:39
quais são os sintomas da dengue,1,BR-GO,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-MA,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,13,BR-MA,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,6,BR-MA,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-MG,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,21,BR-MG,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,12,BR-MG,Dengue,2024-09,2025-07-30 15:39
vacina dengue,9,BR-MG,Dengue,2024-09,2025-07-30 15:39
mosquito da dengue,8,BR-MG,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,7,BR-MG,Dengue,2024-09,2025-07-30 15:39
vacina da dengue,4,BR-MG,Dengue,2024-09,2025-07-30 15:39
teste dengue,4,BR-MG,Dengue,2024-09,2025-07-30 15:39
covid,3,BR-MG,Dengue,2024-09,2025-07-30 15:39
chikungunya,3,BR-MG,Dengue,2024-09,2025-07-30 15:39
teste de dengue,2,BR-MG,Dengue,2024-09,2025-07-30 15:39
cid dengue,2,BR-MG,Dengue,2024-09,2025-07-30 15:39
dengue hemorrágica,1,BR-MG,Dengue,2024-09,2025-07-30 15:39
dengue pode tomar dipirona,1,BR-MG,Dengue,2024-09,2025-07-30 15:39
prevenção da dengue,1,BR-MG,Dengue,2024-09,2025-07-30 15:39
quais são os sintomas da dengue,1,BR-MG,Dengue,2024-09,2025-07-30 15:39
dengue hemorrágica sintomas,1,BR-MG,Dengue,2024-09,2025-07-30 15:39
teste rapido dengue,0,BR-MG,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-MS,Dengue,2024-09,2025-07-30 15:39
dengue sintomas,20,BR-MS,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,14,BR-MS,Dengue,2024-09,2025-07-30 15:39
sintomas da dengue,4,BR-MS,Dengue,2024-09,2025-07-30 15:39
dengue,100,BR-MT,Dengue,2024-09,2025-07-30 15:39
sintomas de dengue,11,BR-MT,Dengue,2024-09,2025-07-30 15:39
