topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2020-12,2025-07-22 18:39
sintomas dengue,26,BR-AC,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,15,BR-AC,Dengue,2020-12,2025-07-22 18:39
sintomas do covid,4,BR-AC,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,4,BR-AC,Dengue,2020-12,2025-07-22 18:39
dengue hemorrágica,3,BR-AC,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-AL,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,9,BR-AL,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-AM,Dengue,2020-12,2025-07-22 18:39
dengue sintomas,26,BR-AM,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,10,BR-AM,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,7,BR-AM,Dengue,2020-12,2025-07-22 18:39
,,BR-AP,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas dengue,35,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,19,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,13,BR-BA,Dengue,2020-12,2025-07-22 18:39
chikungunya,10,BR-BA,Dengue,2020-12,2025-07-22 18:39
mosquito da dengue,9,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas do covid,4,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas da chikungunya,4,BR-BA,Dengue,2020-12,2025-07-22 18:39
sintomas da zika,4,BR-BA,Dengue,2020-12,2025-07-22 18:39
quais os sintomas da dengue,4,BR-BA,Dengue,2020-12,2025-07-22 18:39
dengue hemorrágica,4,BR-BA,Dengue,2020-12,2025-07-22 18:39
quais são os sintomas da dengue,2,BR-BA,Dengue,2020-12,2025-07-22 18:39
"sintomas da dengue, zika e chikungunya",1,BR-BA,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-CE,Dengue,2020-12,2025-07-22 18:39
sintomas dengue,21,BR-CE,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,9,BR-CE,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,5,BR-CE,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-DF,Dengue,2020-12,2025-07-22 18:39
dengue sintomas,31,BR-DF,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,14,BR-DF,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,11,BR-DF,Dengue,2020-12,2025-07-22 18:39
sintomas covid,9,BR-DF,Dengue,2020-12,2025-07-22 18:39
mosquito da dengue,9,BR-DF,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-ES,Dengue,2020-12,2025-07-22 18:39
dengue sintomas,39,BR-ES,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,17,BR-ES,Dengue,2020-12,2025-07-22 18:39
sintomas covid,10,BR-ES,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,10,BR-ES,Dengue,2020-12,2025-07-22 18:39
dengue,100,BR-GO,Dengue,2020-12,2025-07-22 18:39
dengue sintomas,35,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintomas da dengue,18,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintomas de dengue,14,BR-GO,Dengue,2020-12,2025-07-22 18:39
mosquito da dengue,11,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintomas covid,10,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintomas da covid,6,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintomas de covid,4,BR-GO,Dengue,2020-12,2025-07-22 18:39
sintoma de dengue,1,BR-GO,Dengue,2020-12,2025-07-22 18:39
