risingSearches,keyword,value,unknown,geo,time,sys_time
,/m/09wsg,,,BR-AC,2022-04,2025-07-31 14:14
dengue tratamento,/m/09wsg,1,FALSE,BR-AL,2022-04,2025-07-31 14:14
sintomas de dengue,/m/09wsg,0.4,FALSE,BR-AL,2022-04,2025-07-31 14:14
febre amarela,/m/09wsg,0.7,FALSE,BR-AM,2022-04,2025-07-31 14:14
,/m/09wsg,,,BR-AP,2022-04,2025-07-31 14:14
dengue é transmissível,/m/09wsg,411,TRUE,BR-BA,2022-04,2025-07-31 14:14
sintomas da dengue hemorrágica,/m/09wsg,406.5,TRUE,BR-BA,2022-04,2025-07-31 14:14
sintomas de dengue hemorrágica,/m/09wsg,397.5,TRUE,BR-BA,2022-04,2025-07-31 14:14
cid dengue,/m/09wsg,1.9,FALSE,BR-BA,2022-04,2025-07-31 14:14
dengue online,/m/09wsg,1,FALSE,BR-BA,2022-04,2025-07-31 14:14
quanto tempo dura dengue,/m/09wsg,0.6,FALSE,BR-BA,2022-04,2025-07-31 14:14
dengue online,/m/09wsg,399,TRUE,BR-CE,2022-04,2025-07-31 14:14
dengue é transmissivel,/m/09wsg,244.5,TRUE,BR-CE,2022-04,2025-07-31 14:14
dengue é transmissível,/m/09wsg,230.5,TRUE,BR-CE,2022-04,2025-07-31 14:14
dengue sintomas finais,/m/09wsg,229,TRUE,BR-CE,2022-04,2025-07-31 14:14
dengue em criançinhas sintomas,/m/09wsg,187,TRUE,BR-CE,2022-04,2025-07-31 14:14
"sintomas da dengue, zika e chikungunya",/m/09wsg,160,TRUE,BR-CE,2022-04,2025-07-31 14:14
fotos de manchas de dengue,/m/09wsg,158.5,TRUE,BR-CE,2022-04,2025-07-31 14:14
sorologia para dengue,/m/09wsg,2.5,FALSE,BR-CE,2022-04,2025-07-31 14:14
como é o mosquito da dengue,/m/09wsg,1.7,FALSE,BR-CE,2022-04,2025-07-31 14:14
sintomas da dengue normal,/m/09wsg,1.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
quais os sintomas da dengue,/m/09wsg,0.7,FALSE,BR-CE,2022-04,2025-07-31 14:14
sintoma da dengue,/m/09wsg,0.7,FALSE,BR-CE,2022-04,2025-07-31 14:14
vacina dengue,/m/09wsg,0.7,FALSE,BR-CE,2022-04,2025-07-31 14:14
sintoma dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
notificação dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
remedio para dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
quais sintomas da dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
manchas de dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-04,2025-07-31 14:14
