risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas da dengue,Dengue,1,FALSE,BR-AC,2024-04,2025-07-31 13:43
qual o sintoma da dengue,Dengue,575.5,TRUE,BR-AL,2024-04,2025-07-31 13:43
sintomas de dengue leve,Dengue,398.5,TRUE,BR-AL,2024-04,2025-07-31 13:43
dengue pode tomar dipirona,Dengue,1.6,FALSE,BR-AL,2024-04,2025-07-31 13:43
vacina da dengue,Dengue,1.1,FALSE,BR-AL,2024-04,2025-07-31 13:43
vacina dengue,Dengue,0.5,FALSE,BR-AL,2024-04,2025-07-31 13:43
remedio para dengue,Dengue,2.5,FALSE,BR-AM,2024-04,2025-07-31 13:43
tratamento para dengue,Dengue,0.9,FALSE,BR-AM,2024-04,2025-07-31 13:43
vacina dengue,Dengue,0.8,FALSE,BR-AM,2024-04,2025-07-31 13:43
vacina da dengue,Dengue,0.7,FALSE,BR-AM,2024-04,2025-07-31 13:43
quais são os sintomas da dengue,Dengue,0.5,FALSE,BR-AM,2024-04,2025-07-31 13:43
sintomas de dengue hemorrágica,Dengue,639.5,TRUE,BR-AP,2024-04,2025-07-31 13:43
dipirona ou paracetamol para dengue,Dengue,98,TRUE,BR-BA,2024-04,2025-07-31 13:43
dengue hemorrágica tem cura,Dengue,87,TRUE,BR-BA,2024-04,2025-07-31 13:43
remedios contraindicados para dengue,Dengue,76.5,TRUE,BR-BA,2024-04,2025-07-31 13:43
plaquetopenia dengue,Dengue,66.5,TRUE,BR-BA,2024-04,2025-07-31 13:43
dengue causa dor de garganta,Dengue,42.5,FALSE,BR-BA,2024-04,2025-07-31 13:43
dengue igg reagente,Dengue,2.5,FALSE,BR-BA,2024-04,2025-07-31 13:43
teste dengue farmácia,Dengue,2.5,FALSE,BR-BA,2024-04,2025-07-31 13:43
sinais de alarme dengue,Dengue,2,FALSE,BR-BA,2024-04,2025-07-31 13:43
plaquetas baixas dengue,Dengue,2,FALSE,BR-BA,2024-04,2025-07-31 13:43
