risingSearches,keyword,value,unknown,geo,time,sys_time
,/m/09wsg,,,BR-AC,2022-03,2025-07-31 14:12
cid dengue,/m/09wsg,3014,TRUE,BR-AL,2022-03,2025-07-31 14:12
mosquito da dengue,/m/09wsg,0.4,FALSE,BR-AL,2022-03,2025-07-31 14:12
tipos de dengue,/m/09wsg,1217,TRUE,BR-AM,2022-03,2025-07-31 14:12
mosquito da dengue,/m/09wsg,1,FALSE,BR-AM,2022-03,2025-07-31 14:12
,/m/09wsg,,,BR-AP,2022-03,2025-07-31 14:12
transmissão da dengue,/m/09wsg,1691.5,TRUE,BR-BA,2022-03,2025-07-31 14:13
sarampo,/m/09wsg,1182,TRUE,BR-BA,2022-03,2025-07-31 14:13
sintomas da febre amarela,/m/09wsg,626,TRUE,BR-BA,2022-03,2025-07-31 14:13
qual é a relação ecológica entre o sapo e a espécie do mosquito que transmite a dengue,/m/09wsg,563,TRUE,BR-BA,2022-03,2025-07-31 14:13
catapora,/m/09wsg,491,TRUE,BR-BA,2022-03,2025-07-31 14:13
aids transmissão,/m/09wsg,336.5,TRUE,BR-BA,2022-03,2025-07-31 14:13
sorologia para dengue,/m/09wsg,288.5,TRUE,BR-BA,2022-03,2025-07-31 14:13
ficha de notificação dengue,/m/09wsg,278.5,TRUE,BR-BA,2022-03,2025-07-31 14:13
remedio para dengue,/m/09wsg,2,FALSE,BR-BA,2022-03,2025-07-31 14:13
tratamento da dengue,/m/09wsg,1.4,FALSE,BR-BA,2022-03,2025-07-31 14:13
sintomas da zika,/m/09wsg,1.1,FALSE,BR-BA,2022-03,2025-07-31 14:13
prevenção da dengue,/m/09wsg,0.8,FALSE,BR-BA,2022-03,2025-07-31 14:13
sintomas da dengue chikungunya,/m/09wsg,0.5,FALSE,BR-BA,2022-03,2025-07-31 14:13
aedes aegypti,/m/09wsg,0.5,FALSE,BR-BA,2022-03,2025-07-31 14:13
tratamento da dengue,/m/09wsg,1248.5,TRUE,BR-CE,2022-03,2025-07-31 14:13
dengue sintomas e tratamento,/m/09wsg,719.5,TRUE,BR-CE,2022-03,2025-07-31 14:13
foto do mosquito da dengue,/m/09wsg,571,TRUE,BR-CE,2022-03,2025-07-31 14:13
covid-19,/m/09wsg,531,TRUE,BR-CE,2022-03,2025-07-31 14:13
sintomas da dengue normal,/m/09wsg,445.5,TRUE,BR-CE,2022-03,2025-07-31 14:13
loratadina,/m/09wsg,242.5,TRUE,BR-CE,2022-03,2025-07-31 14:13
dengue zika e chikungunya,/m/09wsg,3.5,FALSE,BR-CE,2022-03,2025-07-31 14:13
quais os sintomas da chikungunya,/m/09wsg,1.2,FALSE,BR-CE,2022-03,2025-07-31 14:13
sintomas de chikungunya,/m/09wsg,0.9,FALSE,BR-CE,2022-03,2025-07-31 14:13
qual os sintomas da dengue,/m/09wsg,0.8,FALSE,BR-CE,2022-03,2025-07-31 14:13
dengue hemorrágica,/m/09wsg,0.7,FALSE,BR-CE,2022-03,2025-07-31 14:13
dengue cid,/m/09wsg,0.6,FALSE,BR-CE,2022-03,2025-07-31 14:13
dengue tratamento,/m/09wsg,0.5,FALSE,BR-CE,2022-03,2025-07-31 14:13
sintomas da zika,/m/09wsg,0.5,FALSE,BR-CE,2022-03,2025-07-31 14:13
dengue hemorrágica sintomas,/m/09wsg,0.4,FALSE,BR-CE,2022-03,2025-07-31 14:13
vacina da dengue,/m/09wsg,941,TRUE,BR-DF,2022-03,2025-07-31 14:13
como tratar dengue,/m/09wsg,680.5,TRUE,BR-DF,2022-03,2025-07-31 14:13
notificação dengue,/m/09wsg,637.5,TRUE,BR-DF,2022-03,2025-07-31 14:13
sintomas da dengue hemorrágica,/m/09wsg,587.5,TRUE,BR-DF,2022-03,2025-07-31 14:13
quais são os sintomas da dengue,/m/09wsg,411.5,TRUE,BR-DF,2022-03,2025-07-31 14:13
o que tomar para dengue,/m/09wsg,383,TRUE,BR-DF,2022-03,2025-07-31 14:13
dengue sintomas iniciais,/m/09wsg,265,TRUE,BR-DF,2022-03,2025-07-31 14:13
coçeira da dengue como aliviar,/m/09wsg,259,TRUE,BR-DF,2022-03,2025-07-31 14:13
dengue quantos dias de repouso,/m/09wsg,176,TRUE,BR-DF,2022-03,2025-07-31 14:13
portal de exames,/m/09wsg,108.5,TRUE,BR-DF,2022-03,2025-07-31 14:13
pode tomar paracetamol com dengue,/m/09wsg,1.2,FALSE,BR-DF,2022-03,2025-07-31 14:13
chikungunya sintomas,/m/09wsg,1.1,FALSE,BR-DF,2022-03,2025-07-31 14:13
quantos dias dura a dengue,/m/09wsg,0.7,FALSE,BR-DF,2022-03,2025-07-31 14:13
dengue tratamento,/m/09wsg,0.6,FALSE,BR-DF,2022-03,2025-07-31 14:13
dengue online,/m/09wsg,0.5,FALSE,BR-DF,2022-03,2025-07-31 14:13
vacina dengue,/m/09wsg,0.4,FALSE,BR-DF,2022-03,2025-07-31 14:13
cid dengue,/m/09wsg,3067,TRUE,BR-ES,2022-03,2025-07-31 14:13
sintomas da dengue,/m/09wsg,0.5,FALSE,BR-ES,2022-03,2025-07-31 14:13
sintomas de dengue,/m/09wsg,0.5,FALSE,BR-ES,2022-03,2025-07-31 14:13
como tratar a dengue,/m/09wsg,122,TRUE,BR-GO,2022-03,2025-07-31 14:13
simtomas da dengue,/m/09wsg,105.5,TRUE,BR-GO,2022-03,2025-07-31 14:13
pode tomar amoxicilina com dengue,/m/09wsg,89,TRUE,BR-GO,2022-03,2025-07-31 14:13
foto de mosquito da dengue,/m/09wsg,76,TRUE,BR-GO,2022-03,2025-07-31 14:13
sucos para dengue,/m/09wsg,71.5,TRUE,BR-GO,2022-03,2025-07-31 14:13
dengue on line,/m/09wsg,51.5,TRUE,BR-GO,2022-03,2025-07-31 14:13
como saber se a dengue esta acabando,/m/09wsg,40,FALSE,BR-GO,2022-03,2025-07-31 14:13
fluxograma dengue,/m/09wsg,34.5,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue hemorrágica plaquetas,/m/09wsg,3,FALSE,BR-GO,2022-03,2025-07-31 14:13
plaqueta baixa dengue,/m/09wsg,2.5,FALSE,BR-GO,2022-03,2025-07-31 14:13
qual o tratamento para dengue,/m/09wsg,2,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue é contagioso,/m/09wsg,2,FALSE,BR-GO,2022-03,2025-07-31 14:13
alimentos para dengue,/m/09wsg,1.7,FALSE,BR-GO,2022-03,2025-07-31 14:13
sintomas após dengue,/m/09wsg,1.6,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue em criancas,/m/09wsg,1.2,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue da mancha no corpo,/m/09wsg,1.2,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue sintomas finais,/m/09wsg,1.1,FALSE,BR-GO,2022-03,2025-07-31 14:13
o que não pode comer com dengue,/m/09wsg,1,FALSE,BR-GO,2022-03,2025-07-31 14:13
quanto tempo dura os sintomas da dengue,/m/09wsg,1,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue em criançinhas sintomas,/m/09wsg,1,FALSE,BR-GO,2022-03,2025-07-31 14:13
sintomas de dengue em bebê,/m/09wsg,0.9,FALSE,BR-GO,2022-03,2025-07-31 14:13
mosquito da dengue desenho,/m/09wsg,0.9,FALSE,BR-GO,2022-03,2025-07-31 14:13
hixizine,/m/09wsg,0.8,FALSE,BR-GO,2022-03,2025-07-31 14:13
sintomas de dengue em criança,/m/09wsg,0.7,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue na gravidez,/m/09wsg,0.7,FALSE,BR-GO,2022-03,2025-07-31 14:13
dengue transmissão,/m/09wsg,2574.5,TRUE,BR-MA,2022-03,2025-07-31 14:13
mosquito da dengue,/m/09wsg,1,FALSE,BR-MA,2022-03,2025-07-31 14:13
dengue da diarreia,/m/09wsg,479,TRUE,BR-MG,2022-03,2025-07-31 14:13
desenho do mosquito da dengue,/m/09wsg,333,TRUE,BR-MG,2022-03,2025-07-31 14:13
hepatite b,/m/09wsg,289.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
agente causador da dengue,/m/09wsg,278,TRUE,BR-MG,2022-03,2025-07-31 14:13
dengue quantos dias de repouso,/m/09wsg,210,TRUE,BR-MG,2022-03,2025-07-31 14:13
colera,/m/09wsg,193.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
cefaleia,/m/09wsg,171.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
dengue sintomas finais,/m/09wsg,157.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
manchas vermelhas no corpo,/m/09wsg,119.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
fotos do mosquito da dengue,/m/09wsg,61.5,TRUE,BR-MG,2022-03,2025-07-31 14:13
dengue na gravidez,/m/09wsg,1.7,FALSE,BR-MG,2022-03,2025-07-31 14:13
quais são os sintomas de dengue,/m/09wsg,1.3,FALSE,BR-MG,2022-03,2025-07-31 14:13
