risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,Dengue,8724,TRUE,BR-AC,2023-07,2025-07-31 13:33
vacina dengue,Dengue,3,FALSE,BR-AL,2023-07,2025-07-31 13:33
vacina dengue,Dengue,0.6,FALSE,BR-AM,2023-07,2025-07-31 13:33
,Dengue,,,BR-AP,2023-07,2025-07-31 13:33
mortes por dengue 2023,Dengue,778.5,TRUE,BR-BA,2023-07,2025-07-31 13:33
sintomas da dengue 2023,Dengue,493,TRUE,BR-BA,2023-07,2025-07-31 13:33
sintomas de dengue leve,Dengue,473,TRUE,BR-BA,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2.5,FALSE,BR-BA,2023-07,2025-07-31 13:33
vacina dengue,Dengue,2.5,FALSE,BR-BA,2023-07,2025-07-31 13:33
prevenção da dengue,Dengue,2.5,FALSE,BR-BA,2023-07,2025-07-31 13:33
quais são os sintomas da dengue,Dengue,2.5,FALSE,BR-BA,2023-07,2025-07-31 13:33
sintoma de dengue,Dengue,2,FALSE,BR-BA,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,2,FALSE,BR-BA,2023-07,2025-07-31 13:33
agente etiológico da dengue,Dengue,1.3,FALSE,BR-BA,2023-07,2025-07-31 13:33
qual o sintoma da dengue,Dengue,1,FALSE,BR-BA,2023-07,2025-07-31 13:33
dengue é transmissivel,Dengue,0.8,FALSE,BR-BA,2023-07,2025-07-31 13:33
tratamento da dengue,Dengue,0.6,FALSE,BR-BA,2023-07,2025-07-31 13:33
cid dengue,Dengue,1492.5,TRUE,BR-CE,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,4.5,FALSE,BR-CE,2023-07,2025-07-31 13:33
vacina dengue,Dengue,2.5,FALSE,BR-CE,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2.5,FALSE,BR-CE,2023-07,2025-07-31 13:33
vacina dengue,Dengue,2.5,FALSE,BR-DF,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2,FALSE,BR-DF,2023-07,2025-07-31 13:33
vacina dengue,Dengue,3,FALSE,BR-ES,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2,FALSE,BR-ES,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,1,FALSE,BR-ES,2023-07,2025-07-31 13:33
quais os sintomas da dengue,Dengue,0.4,FALSE,BR-ES,2023-07,2025-07-31 13:33
vacina dengue,Dengue,3,FALSE,BR-GO,2023-07,2025-07-31 13:33
dengue pode tomar dipirona,Dengue,2.5,FALSE,BR-GO,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2.5,FALSE,BR-GO,2023-07,2025-07-31 13:33
vacina dengue,Dengue,4,FALSE,BR-MA,2023-07,2025-07-31 13:33
quais os sintomas da dengue,Dengue,1.5,FALSE,BR-MA,2023-07,2025-07-31 13:33
mortes por dengue 2023,Dengue,10.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,4.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,4,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina dengue,Dengue,4,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina da dengue valor,Dengue,3.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
dengue xuxa,Dengue,2.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
dengue da dor de garganta,Dengue,2,FALSE,BR-MG,2023-07,2025-07-31 13:33
dengue sintomas iniciais,Dengue,1.7,FALSE,BR-MG,2023-07,2025-07-31 13:33
sarampo,Dengue,1.4,FALSE,BR-MG,2023-07,2025-07-31 13:33
dengue passa de uma pessoa para outra,Dengue,1.1,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina para dengue,Dengue,0.8,FALSE,BR-MG,2023-07,2025-07-31 13:33
"sintomas de dengue, chikungunya",Dengue,0.7,FALSE,BR-MG,2023-07,2025-07-31 13:33
sintomas de dengue leve,Dengue,0.7,FALSE,BR-MG,2023-07,2025-07-31 13:33
notificação dengue,Dengue,0.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
cid dengue a90,Dengue,0.5,FALSE,BR-MG,2023-07,2025-07-31 13:33
dengue online,Dengue,0.4,FALSE,BR-MG,2023-07,2025-07-31 13:33
vacina para dengue,Dengue,2732.5,TRUE,BR-MS,2023-07,2025-07-31 13:33
vacina dengue,Dengue,11,FALSE,BR-MS,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,6.5,FALSE,BR-MS,2023-07,2025-07-31 13:33
vacina dengue,Dengue,4.5,FALSE,BR-MT,2023-07,2025-07-31 13:33
vacina dengue,Dengue,3,FALSE,BR-PA,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,2.5,FALSE,BR-PA,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,7920,TRUE,BR-PB,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,14,FALSE,BR-PE,2023-07,2025-07-31 13:33
vacina dengue,Dengue,5.5,FALSE,BR-PE,2023-07,2025-07-31 13:33
,Dengue,,,BR-PI,2023-07,2025-07-31 13:33
sarampo,Dengue,387,TRUE,BR-PR,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,3,FALSE,BR-PR,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,3,FALSE,BR-PR,2023-07,2025-07-31 13:33
vacina para dengue,Dengue,1.9,FALSE,BR-PR,2023-07,2025-07-31 13:33
dengue da dor de garganta,Dengue,1.7,FALSE,BR-PR,2023-07,2025-07-31 13:33
sintomas de dengue hemorrágica,Dengue,0.9,FALSE,BR-PR,2023-07,2025-07-31 13:33
cid dengue,Dengue,0.6,FALSE,BR-PR,2023-07,2025-07-31 13:33
vacina contra a dengue,Dengue,991,TRUE,BR-RJ,2023-07,2025-07-31 13:33
mortes por dengue 2023,Dengue,441.5,TRUE,BR-RJ,2023-07,2025-07-31 13:33
vacina da dengue valor,Dengue,388.5,TRUE,BR-RJ,2023-07,2025-07-31 13:33
dengue hemorrágica tem cura,Dengue,155,TRUE,BR-RJ,2023-07,2025-07-31 13:33
mortes por dengue,Dengue,8.5,FALSE,BR-RJ,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,6,FALSE,BR-RJ,2023-07,2025-07-31 13:33
vacina dengue,Dengue,4.5,FALSE,BR-RJ,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,4,FALSE,BR-RJ,2023-07,2025-07-31 13:33
dengue da diarreia,Dengue,0.9,FALSE,BR-RJ,2023-07,2025-07-31 13:33
sintomas de dengue hemorrágica,Dengue,0.7,FALSE,BR-RJ,2023-07,2025-07-31 13:33
sintomas dengue 2023,Dengue,0.6,FALSE,BR-RJ,2023-07,2025-07-31 13:33
qual sintomas da dengue,Dengue,0.5,FALSE,BR-RJ,2023-07,2025-07-31 13:33
vacina dengue,Dengue,2.5,FALSE,BR-RN,2023-07,2025-07-31 13:33
,Dengue,,,BR-RO,2023-07,2025-07-31 13:33
sintomas de dengue,Dengue,0.9,FALSE,BR-RR,2023-07,2025-07-31 13:33
vacina contra dengue,Dengue,6,FALSE,BR-RS,2023-07,2025-07-31 13:33
vacina dengue,Dengue,4.5,FALSE,BR-RS,2023-07,2025-07-31 13:33
vacina da dengue,Dengue,3.5,FALSE,BR-RS,2023-07,2025-07-31 13:33
painel dengue,Dengue,1.2,FALSE,BR-RS,2023-07,2025-07-31 13:33
mosquito da dengue foto,Dengue,1,FALSE,BR-RS,2023-07,2025-07-31 13:33
