topSearches,value,geo,keyword,time,sys_time
sintomas da dengue,100,BR-AC,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,43,BR-AC,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-AL,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,22,BR-AL,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,13,BR-AL,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,12,BR-AL,Dengue,2023-10,2025-07-23 15:32
dengue hemorrágica,4,BR-AL,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-AM,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,24,BR-AM,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,7,BR-AM,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-AP,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,10,BR-AP,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-BA,Dengue,2023-10,2025-07-23 15:32
sintomas dengue,25,BR-BA,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,15,BR-BA,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,9,BR-BA,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,9,BR-BA,Dengue,2023-10,2025-07-23 15:32
dengue hemorrágica,4,BR-BA,Dengue,2023-10,2025-07-23 15:32
quais os sintomas da dengue,3,BR-BA,Dengue,2023-10,2025-07-23 15:32
dengue é contagioso,1,BR-BA,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue hemorrágica,1,BR-BA,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-CE,Dengue,2023-10,2025-07-23 15:32
sintomas dengue,19,BR-CE,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,15,BR-CE,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,7,BR-CE,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,7,BR-CE,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-DF,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,27,BR-DF,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,14,BR-DF,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,11,BR-DF,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,7,BR-DF,Dengue,2023-10,2025-07-23 15:32
vacina dengue,3,BR-DF,Dengue,2023-10,2025-07-23 15:32
dengue hemorrágica,3,BR-DF,Dengue,2023-10,2025-07-23 15:32
dengue pode tomar dipirona,1,BR-DF,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-ES,Dengue,2023-10,2025-07-23 15:32
sintomas dengue,32,BR-ES,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,17,BR-ES,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,11,BR-ES,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,9,BR-ES,Dengue,2023-10,2025-07-23 15:32
dengue hemorrágica,4,BR-ES,Dengue,2023-10,2025-07-23 15:32
dengue tratamento,3,BR-ES,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-GO,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,28,BR-GO,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,15,BR-GO,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,8,BR-GO,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,7,BR-GO,Dengue,2023-10,2025-07-23 15:32
sintomas de covid,3,BR-GO,Dengue,2023-10,2025-07-23 15:32
cid dengue,2,BR-GO,Dengue,2023-10,2025-07-23 15:32
dengue hemorrágica,2,BR-GO,Dengue,2023-10,2025-07-23 15:32
sintomas covid,2,BR-GO,Dengue,2023-10,2025-07-23 15:32
vacina da dengue,2,BR-GO,Dengue,2023-10,2025-07-23 15:32
quais os sintomas da dengue,2,BR-GO,Dengue,2023-10,2025-07-23 15:32
dengue pode tomar dipirona,1,BR-GO,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-MA,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,17,BR-MA,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,13,BR-MA,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,9,BR-MA,Dengue,2023-10,2025-07-23 15:32
dengue,100,BR-MG,Dengue,2023-10,2025-07-23 15:32
dengue sintomas,31,BR-MG,Dengue,2023-10,2025-07-23 15:32
sintomas de dengue,19,BR-MG,Dengue,2023-10,2025-07-23 15:32
mosquito da dengue,9,BR-MG,Dengue,2023-10,2025-07-23 15:32
sintomas da dengue,9,BR-MG,Dengue,2023-10,2025-07-23 15:32
chikungunya,4,BR-MG,Dengue,2023-10,2025-07-23 15:32
vacina dengue,4,BR-MG,Dengue,2023-10,2025-07-23 15:32
covid sintomas,3,BR-MG,Dengue,2023-10,2025-07-23 15:32
cid dengue,3,BR-MG,Dengue,2023-10,2025-07-23 15:32
exame de dengue,3,BR-MG,Dengue,2023-10,2025-07-23 15:32
dengue cid,2,BR-MG,Dengue,2023-10,2025-07-23 15:32
