risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2023-09,2025-07-31 13:35
,Dengue,,,BR-AL,2023-09,2025-07-31 13:35
mosquito da dengue,Dengue,1.1,FALSE,BR-AM,2023-09,2025-07-31 13:35
sintomas de dengue,Dengue,0.7,FALSE,BR-AM,2023-09,2025-07-31 13:35
,Dengue,,,BR-AP,2023-09,2025-07-31 13:35
gripe,Dengue,1.3,FALSE,BR-BA,2023-09,2025-07-31 13:35
prevenção da dengue,Dengue,0.5,FALSE,BR-BA,2023-09,2025-07-31 13:35
mosquito da dengue,Dengue,0.7,FALSE,BR-CE,2023-09,2025-07-31 13:35
mosquito da dengue,Dengue,0.7,FALSE,BR-DF,2023-09,2025-07-31 13:35
sintomas de dengue,Dengue,0.7,FALSE,BR-DF,2023-09,2025-07-31 13:35
chikungunya,Dengue,1.4,FALSE,BR-ES,2023-09,2025-07-31 13:35
dengue hemorrágica sintomas,Dengue,1.1,FALSE,BR-GO,2023-09,2025-07-31 13:35
quais os sintomas da dengue,Dengue,0.6,FALSE,BR-GO,2023-09,2025-07-31 13:35
mosquito da dengue,Dengue,0.5,FALSE,BR-GO,2023-09,2025-07-31 13:35
,Dengue,,,BR-MA,2023-09,2025-07-31 13:35
dengue sintomas iniciais,Dengue,535.5,TRUE,BR-MG,2023-09,2025-07-31 13:35
sintomas de dengue leve,Dengue,200,TRUE,BR-MG,2023-09,2025-07-31 13:35
dengue da dor de garganta,Dengue,0.5,FALSE,BR-MG,2023-09,2025-07-31 13:35
sintomas da dengue,Dengue,1.2,FALSE,BR-MS,2023-09,2025-07-31 13:35
mosquito da dengue,Dengue,1,FALSE,BR-MS,2023-09,2025-07-31 13:35
,Dengue,,,BR-MT,2023-09,2025-07-31 13:35
leishmaniose,Dengue,3032.5,TRUE,BR-PA,2023-09,2025-07-31 13:35
esquistossomose,Dengue,0.9,FALSE,BR-PA,2023-09,2025-07-31 13:35
leptospirose,Dengue,0.6,FALSE,BR-PA,2023-09,2025-07-31 13:35
sintomas da dengue,Dengue,8124.5,TRUE,BR-PB,2023-09,2025-07-31 13:35
sintomas de dengue,Dengue,0.5,FALSE,BR-PB,2023-09,2025-07-31 13:35
,Dengue,,,BR-PE,2023-09,2025-07-31 13:35
,Dengue,,,BR-PI,2023-09,2025-07-31 13:35
sintomas de dengue leve,Dengue,634,TRUE,BR-PR,2023-09,2025-07-31 13:35
sintomas da dengue no corpo,Dengue,2.5,FALSE,BR-PR,2023-09,2025-07-31 13:35
sintomas de dengue hemorrágica,Dengue,298,TRUE,BR-RJ,2023-09,2025-07-31 13:35
sintomas covid,Dengue,4,FALSE,BR-RJ,2023-09,2025-07-31 13:35
dengue é contagioso,Dengue,0.7,FALSE,BR-RJ,2023-09,2025-07-31 13:35
dengue tratamento,Dengue,0.5,FALSE,BR-RJ,2023-09,2025-07-31 13:35
sintomas de chikungunya,Dengue,0.4,FALSE,BR-RJ,2023-09,2025-07-31 13:35
,Dengue,,,BR-RN,2023-09,2025-07-31 13:35
,Dengue,,,BR-RO,2023-09,2025-07-31 13:35
,Dengue,,,BR-RR,2023-09,2025-07-31 13:35
,Dengue,,,BR-RS,2023-09,2025-07-31 13:35
dengue é transmissivel,Dengue,1220,TRUE,BR-SC,2023-09,2025-07-31 13:35
quais são os sintomas da dengue,Dengue,0.9,FALSE,BR-SC,2023-09,2025-07-31 13:35
sintomas de dengue,Dengue,0.5,FALSE,BR-SE,2023-09,2025-07-31 13:35
como saber se esta com dengue,Dengue,425,TRUE,BR-SP,2023-09,2025-07-31 13:35
morrissey dengue,Dengue,299.5,TRUE,BR-SP,2023-09,2025-07-31 13:35
como podemos prevenir a dengue?,Dengue,280,TRUE,BR-SP,2023-09,2025-07-31 13:35
o que é a covid-19?,Dengue,162,TRUE,BR-SP,2023-09,2025-07-31 13:35
agente etiológico da dengue,Dengue,3.5,FALSE,BR-SP,2023-09,2025-07-31 13:35
como ocorre a transmissão da dengue,Dengue,3,FALSE,BR-SP,2023-09,2025-07-31 13:35
como ocorre a transmissão da dengue?,Dengue,2,FALSE,BR-SP,2023-09,2025-07-31 13:35
manchas vermelhas no corpo,Dengue,1.9,FALSE,BR-SP,2023-09,2025-07-31 13:35
como a falta de saneamento básico afeta o meio ambiente e as condições de vida das pessoas nas cidades?,Dengue,1.6,FALSE,BR-SP,2023-09,2025-07-31 13:35
dengue da diarreia,Dengue,1.6,FALSE,BR-SP,2023-09,2025-07-31 13:35
qual remedio não pode tomar com dengue,Dengue,1.5,FALSE,BR-SP,2023-09,2025-07-31 13:35
sintomas de covid,Dengue,1.4,FALSE,BR-SP,2023-09,2025-07-31 13:35
manchas de dengue,Dengue,1.3,FALSE,BR-SP,2023-09,2025-07-31 13:35
sintomas da dengue hemorrágica,Dengue,1.3,FALSE,BR-SP,2023-09,2025-07-31 13:35
sintomas de dengue em criança,Dengue,1.2,FALSE,BR-SP,2023-09,2025-07-31 13:35
teste rapido dengue,Dengue,0.9,FALSE,BR-SP,2023-09,2025-07-31 13:35
dengue da dor de garganta,Dengue,0.9,FALSE,BR-SP,2023-09,2025-07-31 13:35
sintomas covid,Dengue,0.8,FALSE,BR-SP,2023-09,2025-07-31 13:35
paracetamol dengue,Dengue,0.8,FALSE,BR-SP,2023-09,2025-07-31 13:35
tuberculose,Dengue,0.7,FALSE,BR-SP,2023-09,2025-07-31 13:35
dengue hemorragica,Dengue,0.7,FALSE,BR-SP,2023-09,2025-07-31 13:35
vacina dengue preço,Dengue,0.6,FALSE,BR-SP,2023-09,2025-07-31 13:35
existe vacina para dengue,Dengue,0.6,FALSE,BR-SP,2023-09,2025-07-31 13:35
exame de dengue,Dengue,0.6,FALSE,BR-SP,2023-09,2025-07-31 13:35
febre maculosa,Dengue,0.5,FALSE,BR-SP,2023-09,2025-07-31 13:35
sintomas dengue,Dengue,0.6,FALSE,BR-TO,2023-09,2025-07-31 13:35
morrissey dengue,Dengue,75.5,TRUE,BR,2023-09,2025-07-31 13:35
quem tem dengue pode tomar dipirona,Dengue,66.5,TRUE,BR,2023-09,2025-07-31 13:35
dengue on line,Dengue,51.5,TRUE,BR,2023-09,2025-07-31 13:35
qual remedio tomar para dengue,Dengue,4.5,FALSE,BR,2023-09,2025-07-31 13:35
como ocorre a transmissão da dengue?,Dengue,4,FALSE,BR,2023-09,2025-07-31 13:35
como podemos prevenir a dengue?,Dengue,3,FALSE,BR,2023-09,2025-07-31 13:35
o que é a covid-19?,Dengue,2.5,FALSE,BR,2023-09,2025-07-31 13:35
aedes albopictus,Dengue,2.5,FALSE,BR,2023-09,2025-07-31 13:35
sintomas de dengue em crianças,Dengue,2,FALSE,BR,2023-09,2025-07-31 13:35
sintomas covid 2023,Dengue,1.8,FALSE,BR,2023-09,2025-07-31 13:35
como ocorre a transmissão da dengue,Dengue,1.7,FALSE,BR,2023-09,2025-07-31 13:35
sintomas do covid,Dengue,1.7,FALSE,BR,2023-09,2025-07-31 13:35
imagens do mosquito da dengue,Dengue,1.6,FALSE,BR,2023-09,2025-07-31 13:35
mancha de dengue,Dengue,1.5,FALSE,BR,2023-09,2025-07-31 13:35
agente etiologico da dengue,Dengue,1.3,FALSE,BR,2023-09,2025-07-31 13:35
