topSearches,value,geo,keyword,time,sys_time
,,BR-AC,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-AL,Dengue,2024-05,2025-07-23 15:51
dengue sintomas,26,BR-AL,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue,14,BR-AL,Dengue,2024-05,2025-07-23 15:51
sintomas da dengue,9,BR-AL,Dengue,2024-05,2025-07-23 15:51
mosquito da dengue,8,BR-AL,Dengue,2024-05,2025-07-23 15:51
vacina dengue,5,BR-AL,Dengue,2024-05,2025-07-23 15:51
dengue hemorrágica,4,BR-AL,Dengue,2024-05,2025-07-23 15:51
quais são os sintomas da dengue,2,BR-AL,Dengue,2024-05,2025-07-23 15:51
pode tomar dipirona com dengue,2,BR-AL,Dengue,2024-05,2025-07-23 15:51
quais os sintomas da dengue,2,BR-AL,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-AM,Dengue,2024-05,2025-07-23 15:51
dengue sintomas,23,BR-AM,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue,7,BR-AM,Dengue,2024-05,2025-07-23 15:51
mosquito da dengue,7,BR-AM,Dengue,2024-05,2025-07-23 15:51
sintomas da dengue,6,BR-AM,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-AP,Dengue,2024-05,2025-07-23 15:51
dengue sintomas,21,BR-AP,Dengue,2024-05,2025-07-23 15:51
sintomas da dengue,14,BR-AP,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue,10,BR-AP,Dengue,2024-05,2025-07-23 15:51
dengue hemorrágica,3,BR-AP,Dengue,2024-05,2025-07-23 15:51
quais os sintomas da dengue,3,BR-AP,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-BA,Dengue,2024-05,2025-07-23 15:51
sintomas dengue,21,BR-BA,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue,11,BR-BA,Dengue,2024-05,2025-07-23 15:51
sintomas da dengue,8,BR-BA,Dengue,2024-05,2025-07-23 15:51
mosquito da dengue,6,BR-BA,Dengue,2024-05,2025-07-23 15:51
dipirona dengue,3,BR-BA,Dengue,2024-05,2025-07-23 15:51
o que é dengue,3,BR-BA,Dengue,2024-05,2025-07-23 15:51
dengue hemorrágica,3,BR-BA,Dengue,2024-05,2025-07-23 15:51
vacina dengue,3,BR-BA,Dengue,2024-05,2025-07-23 15:51
coceira dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
paracetamol,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
paracetamol dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
dengue pode tomar dipirona,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
quais sintomas da dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
suspeita de dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
quais os sintomas da dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
vacina da dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
o que é a dengue,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
chikungunya,2,BR-BA,Dengue,2024-05,2025-07-23 15:51
exame de dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
remedio para dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
cid dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
remédio para dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
pode tomar dipirona com dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
paracetamol pode tomar com dengue,1,BR-BA,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-CE,Dengue,2024-05,2025-07-23 15:51
dengue sintomas,23,BR-CE,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue,15,BR-CE,Dengue,2024-05,2025-07-23 15:51
mosquito da dengue,9,BR-CE,Dengue,2024-05,2025-07-23 15:51
vacina dengue,7,BR-CE,Dengue,2024-05,2025-07-23 15:51
sintomas da dengue,7,BR-CE,Dengue,2024-05,2025-07-23 15:51
dengue hemorrágica,4,BR-CE,Dengue,2024-05,2025-07-23 15:51
vacina da dengue,4,BR-CE,Dengue,2024-05,2025-07-23 15:51
dengue pode tomar dipirona,2,BR-CE,Dengue,2024-05,2025-07-23 15:51
dengue cid,2,BR-CE,Dengue,2024-05,2025-07-23 15:51
sintomas dengue hemorrágica,2,BR-CE,Dengue,2024-05,2025-07-23 15:51
pode tomar dipirona com dengue,1,BR-CE,Dengue,2024-05,2025-07-23 15:51
quais os sintomas da dengue,1,BR-CE,Dengue,2024-05,2025-07-23 15:51
qual remedio nao pode tomar com dengue,1,BR-CE,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue hemorrágica,1,BR-CE,Dengue,2024-05,2025-07-23 15:51
sintomas de dengue leve,0,BR-CE,Dengue,2024-05,2025-07-23 15:51
dengue,100,BR-DF,Dengue,2024-05,2025-07-23 15:51
sintomas dengue,16,BR-DF,Dengue,2024-05,2025-07-23 15:51
