topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2022-04,2025-07-23 14:41
dengue sintomas,16,BR-AC,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,11,BR-AC,Dengue,2022-04,2025-07-23 14:41
dengue,100,BR-AL,Dengue,2022-04,2025-07-23 14:41
dengue sintomas,30,BR-AL,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,13,BR-AL,Dengue,2022-04,2025-07-23 14:41
sintomas de dengue,11,BR-AL,Dengue,2022-04,2025-07-23 14:41
mosquito da dengue,7,BR-AL,Dengue,2022-04,2025-07-23 14:41
dengue hemorrágica,4,BR-AL,Dengue,2022-04,2025-07-23 14:41
dengue tratamento,3,BR-AL,Dengue,2022-04,2025-07-23 14:41
quais são os sintomas da dengue,2,BR-AL,Dengue,2022-04,2025-07-23 14:41
quais os sintomas da dengue,2,BR-AL,Dengue,2022-04,2025-07-23 14:41
dengue,100,BR-AM,Dengue,2022-04,2025-07-23 14:41
dengue sintomas,19,BR-AM,Dengue,2022-04,2025-07-23 14:41
mosquito da dengue,10,BR-AM,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,8,BR-AM,Dengue,2022-04,2025-07-23 14:41
sintomas de dengue,5,BR-AM,Dengue,2022-04,2025-07-23 14:41
febre amarela,4,BR-AM,Dengue,2022-04,2025-07-23 14:41
,,BR-AP,Dengue,2022-04,2025-07-23 14:41
dengue,100,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas dengue,28,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,13,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas de dengue,11,BR-BA,Dengue,2022-04,2025-07-23 14:41
chikungunya,9,BR-BA,Dengue,2022-04,2025-07-23 14:41
mosquito da dengue,8,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas chikungunya,4,BR-BA,Dengue,2022-04,2025-07-23 14:41
dengue hemorrágica,3,BR-BA,Dengue,2022-04,2025-07-23 14:41
dengue zika e chikungunya,3,BR-BA,Dengue,2022-04,2025-07-23 14:41
quais os sintomas da dengue,3,BR-BA,Dengue,2022-04,2025-07-23 14:41
dengue tratamento,3,BR-BA,Dengue,2022-04,2025-07-23 14:41
zika sintomas,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas da chikungunya,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
dengue prevenção,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
remédio para dengue,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
febre amarela,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
vacina dengue,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
remedio para dengue,2,BR-BA,Dengue,2022-04,2025-07-23 14:41
cid dengue,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
transmissão da dengue,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
tratamento da dengue,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas de chikungunya,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
sintomas da zika,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
aids,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
quanto tempo dura dengue,1,BR-BA,Dengue,2022-04,2025-07-23 14:41
dengue,100,BR-CE,Dengue,2022-04,2025-07-23 14:41
da dengue,32,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue sintomas,27,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,13,BR-CE,Dengue,2022-04,2025-07-23 14:41
chikungunya,11,BR-CE,Dengue,2022-04,2025-07-23 14:41
mosquito da dengue,9,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas de dengue,9,BR-CE,Dengue,2022-04,2025-07-23 14:41
zika,5,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas chikungunya,5,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue e chikungunya,5,BR-CE,Dengue,2022-04,2025-07-23 14:41
o que é dengue,4,BR-CE,Dengue,2022-04,2025-07-23 14:41
quais sintomas da dengue,3,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas zika,3,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue hemorrágica,3,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas da chikungunya,3,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue zika e chikungunya,3,BR-CE,Dengue,2022-04,2025-07-23 14:41
quais os sintomas da dengue,2,BR-CE,Dengue,2022-04,2025-07-23 14:41
sobre a dengue,2,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas chikungunya e dengue,2,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas de chikungunya,2,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas da zika,2,BR-CE,Dengue,2022-04,2025-07-23 14:41
manchas de dengue,1,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintoma dengue,1,BR-CE,Dengue,2022-04,2025-07-23 14:41
sintomas dengue zika e chikungunya,1,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue hemorrágica sintomas,1,BR-CE,Dengue,2022-04,2025-07-23 14:41
dengue,100,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue sintomas,24,BR-DF,Dengue,2022-04,2025-07-23 14:41
sintomas da dengue,12,BR-DF,Dengue,2022-04,2025-07-23 14:41
sintomas de dengue,7,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue df,4,BR-DF,Dengue,2022-04,2025-07-23 14:41
mosquito da dengue,4,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue hemorrágica,3,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue quantos dias,3,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue coceira,3,BR-DF,Dengue,2022-04,2025-07-23 14:41
dengue tratamento,3,BR-DF,Dengue,2022-04,2025-07-23 14:41
