topSearches,value,geo,keyword,time,sys_time
,,BR-AC,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-AL,Dengue,2024-08,2025-07-23 16:00
sintomas dengue,24,BR-AL,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,12,BR-AL,Dengue,2024-08,2025-07-23 16:00
sintomas da dengue,11,BR-AL,Dengue,2024-08,2025-07-23 16:00
mosquito da dengue,8,BR-AL,Dengue,2024-08,2025-07-23 16:00
dengue hemorrágica,5,BR-AL,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-AM,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,10,BR-AM,Dengue,2024-08,2025-07-23 16:00
mosquito da dengue,7,BR-AM,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-AP,Dengue,2024-08,2025-07-23 16:00
dengue sintomas,18,BR-AP,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,9,BR-AP,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-BA,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,12,BR-BA,Dengue,2024-08,2025-07-23 16:00
mosquito da dengue,9,BR-BA,Dengue,2024-08,2025-07-23 16:00
sintomas da dengue,6,BR-BA,Dengue,2024-08,2025-07-23 16:00
dengue hemorrágica,3,BR-BA,Dengue,2024-08,2025-07-23 16:00
dengue pode tomar dipirona,2,BR-BA,Dengue,2024-08,2025-07-23 16:00
quais os sintomas da dengue,2,BR-BA,Dengue,2024-08,2025-07-23 16:00
cid dengue,2,BR-BA,Dengue,2024-08,2025-07-23 16:00
quais são os sintomas da dengue,1,BR-BA,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue hemorrágica,1,BR-BA,Dengue,2024-08,2025-07-23 16:00
qual remedio nao pode tomar com dengue,0,BR-BA,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-CE,Dengue,2024-08,2025-07-23 16:00
dengue sintomas,22,BR-CE,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,12,BR-CE,Dengue,2024-08,2025-07-23 16:00
mosquito da dengue,10,BR-CE,Dengue,2024-08,2025-07-23 16:00
sintomas da dengue,7,BR-CE,Dengue,2024-08,2025-07-23 16:00
vacina da dengue,5,BR-CE,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-DF,Dengue,2024-08,2025-07-23 16:00
sintomas dengue,18,BR-DF,Dengue,2024-08,2025-07-23 16:00
sintomas de dengue,9,BR-DF,Dengue,2024-08,2025-07-23 16:00
sintomas da dengue,5,BR-DF,Dengue,2024-08,2025-07-23 16:00
mosquito da dengue,5,BR-DF,Dengue,2024-08,2025-07-23 16:00
vacina dengue df,4,BR-DF,Dengue,2024-08,2025-07-23 16:00
dengue,100,BR-ES,Dengue,2024-08,2025-07-23 16:00
dengue sintomas,21,BR-ES,Dengue,2024-08,2025-07-23 16:00
