risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,Dengue,2,FALSE,BR-AC,2022-12,2025-07-31 13:23
,Dengue,,,BR-AL,2022-12,2025-07-31 13:23
dengue sintomas,Dengue,0.6,FALSE,BR-AM,2022-12,2025-07-31 13:23
sintomas de dengue,Dengue,0.5,FALSE,BR-AM,2022-12,2025-07-31 13:23
,Dengue,,,BR-AP,2022-12,2025-07-31 13:23
sintomas do covid,Dengue,2,FALSE,BR-BA,2022-12,2025-07-31 13:23
remedio para dengue,Dengue,0.8,FALSE,BR-BA,2022-12,2025-07-31 13:23
,Dengue,,,BR-CE,2022-12,2025-07-31 13:23
sintomas dengue hemorrágica,Dengue,913.5,TRUE,BR-DF,2022-12,2025-07-31 13:23
dengue pode tomar dipirona,Dengue,0.7,FALSE,BR-DF,2022-12,2025-07-31 13:23
sintomas de dengue,Dengue,0.5,FALSE,BR-DF,2022-12,2025-07-31 13:23
sintomas covid,Dengue,0.5,FALSE,BR-DF,2022-12,2025-07-31 13:23
dengue hemorrágica,Dengue,0.4,FALSE,BR-DF,2022-12,2025-07-31 13:23
cid dengue,Dengue,2789.5,TRUE,BR-ES,2022-12,2025-07-31 13:23
sintomas de dengue,Dengue,0.5,FALSE,BR-ES,2022-12,2025-07-31 13:23
sintomas de covid,Dengue,0.8,FALSE,BR-GO,2022-12,2025-07-31 13:23
sintomas da dengue hemorrágica,Dengue,0.8,FALSE,BR-GO,2022-12,2025-07-31 13:23
sintomas covid,Dengue,0.7,FALSE,BR-GO,2022-12,2025-07-31 13:23
remedio para dengue,Dengue,0.5,FALSE,BR-GO,2022-12,2025-07-31 13:23
quais os sintomas da dengue,Dengue,1.5,FALSE,BR-MA,2022-12,2025-07-31 13:23
dengue em bebe,Dengue,707.5,TRUE,BR-MG,2022-12,2025-07-31 13:23
cid 10 dengue,Dengue,423.5,TRUE,BR-MG,2022-12,2025-07-31 13:23
dengue sintomas iniciais,Dengue,258,TRUE,BR-MG,2022-12,2025-07-31 13:23
quanto tempo dura a dengue,Dengue,225.5,TRUE,BR-MG,2022-12,2025-07-31 13:23
sintomas de dengue hemorrágica,Dengue,3,FALSE,BR-MG,2022-12,2025-07-31 13:23
dengue da diarreia,Dengue,2.5,FALSE,BR-MG,2022-12,2025-07-31 13:23
como saber se estou com dengue,Dengue,1.8,FALSE,BR-MG,2022-12,2025-07-31 13:23
chikungunya sintomas,Dengue,1.5,FALSE,BR-MG,2022-12,2025-07-31 13:23
manchas de dengue,Dengue,1.5,FALSE,BR-MG,2022-12,2025-07-31 13:23
pode tomar dipirona com dengue,Dengue,1.4,FALSE,BR-MG,2022-12,2025-07-31 13:23
dengue hemorrágica,Dengue,1.3,FALSE,BR-MG,2022-12,2025-07-31 13:23
sintomas dengue hemorrágica,Dengue,1,FALSE,BR-MG,2022-12,2025-07-31 13:23
sintomas de chikungunya,Dengue,1,FALSE,BR-MG,2022-12,2025-07-31 13:23
notificação dengue,Dengue,0.6,FALSE,BR-MG,2022-12,2025-07-31 13:23
dengue pode tomar dipirona,Dengue,0.6,FALSE,BR-MG,2022-12,2025-07-31 13:23
sintomas de dengue leve,Dengue,0.5,FALSE,BR-MG,2022-12,2025-07-31 13:23
covid sintomas,Dengue,0.4,FALSE,BR-MG,2022-12,2025-07-31 13:23
cid dengue suspeita,Dengue,0.4,FALSE,BR-MG,2022-12,2025-07-31 13:23
pernilongo,Dengue,0.4,FALSE,BR-MG,2022-12,2025-07-31 13:23
remedio para dengue,Dengue,1.2,FALSE,BR-MS,2022-12,2025-07-31 13:23
sintomas covid,Dengue,0.9,FALSE,BR-MT,2022-12,2025-07-31 13:23
quais os sintomas da dengue,Dengue,0.4,FALSE,BR-MT,2022-12,2025-07-31 13:23
sintomas de dengue,Dengue,0.6,FALSE,BR-PA,2022-12,2025-07-31 13:23
dengue sintomas,Dengue,0.5,FALSE,BR-PA,2022-12,2025-07-31 13:23
,Dengue,,,BR-PB,2022-12,2025-07-31 13:23
,Dengue,,,BR-PE,2022-12,2025-07-31 13:23
sintomas dengue,Dengue,0.5,FALSE,BR-PI,2022-12,2025-07-31 13:23
quais os sintomas da dengue,Dengue,1,FALSE,BR-PR,2022-12,2025-07-31 13:23
quais sintomas da dengue,Dengue,0.6,FALSE,BR-PR,2022-12,2025-07-31 13:23
sintomas da dengue,Dengue,0.5,FALSE,BR-PR,2022-12,2025-07-31 13:23
vacina contra dengue,Dengue,0.5,FALSE,BR-PR,2022-12,2025-07-31 13:23
quais os sintomas da dengue,Dengue,1.2,FALSE,BR-RJ,2022-12,2025-07-31 13:23
,Dengue,,,BR-RN,2022-12,2025-07-31 13:23
quais são os sintomas da dengue,Dengue,1358,TRUE,BR-RO,2022-12,2025-07-31 13:23
quais os sintomas da dengue,Dengue,2,FALSE,BR-RO,2022-12,2025-07-31 13:23
,Dengue,,,BR-RR,2022-12,2025-07-31 13:23
