risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,Dengue,1.5,FALSE,BR-AC,2021-05,2025-07-30 17:25
sintomas da dengue,Dengue,1.9,FALSE,BR-AL,2021-05,2025-07-30 17:25
quais os sintomas da dengue,Dengue,1,FALSE,BR-AM,2021-05,2025-07-30 17:25
sintomas da dengue,Dengue,0.5,FALSE,BR-AM,2021-05,2025-07-30 17:25
,Dengue,,,BR-AP,2021-05,2025-07-30 17:25
dengue online,Dengue,1,FALSE,BR-BA,2021-05,2025-07-30 17:25
remédio para dengue,Dengue,0.5,FALSE,BR-BA,2021-05,2025-07-30 17:25
quais os sintomas da dengue,Dengue,0.4,FALSE,BR-BA,2021-05,2025-07-30 17:25
manchas vermelhas na pele,Dengue,271,TRUE,BR-CE,2021-05,2025-07-30 17:25
rubeola,Dengue,114.5,TRUE,BR-CE,2021-05,2025-07-30 17:25
plaquetas baixas dengue,Dengue,2.5,FALSE,BR-CE,2021-05,2025-07-30 17:25
cartaz sobre a dengue,Dengue,2.5,FALSE,BR-CE,2021-05,2025-07-30 17:25
como tratar a dengue,Dengue,1.4,FALSE,BR-CE,2021-05,2025-07-30 17:25
dengue manchas vermelhas,Dengue,1.3,FALSE,BR-CE,2021-05,2025-07-30 17:25
como tratar dengue,Dengue,1.2,FALSE,BR-CE,2021-05,2025-07-30 17:25
quais são os sintomas da dengue,Dengue,1,FALSE,BR-CE,2021-05,2025-07-30 17:25
dengue é contagiosa,Dengue,0.9,FALSE,BR-CE,2021-05,2025-07-30 17:25
sintomas da dengue hemorrágica,Dengue,605.5,TRUE,BR-DF,2021-05,2025-07-30 17:25
quais os sintomas da dengue,Dengue,1.6,FALSE,BR-DF,2021-05,2025-07-30 17:25
mosquito da dengue,Dengue,0.6,FALSE,BR-DF,2021-05,2025-07-30 17:25
,Dengue,,,BR-ES,2021-05,2025-07-30 17:25
suco de inhame para dengue,Dengue,398,TRUE,BR-GO,2021-05,2025-07-30 17:26
quanto tempo dura a dengue,Dengue,371.5,TRUE,BR-GO,2021-05,2025-07-30 17:26
inhame para dengue,Dengue,2.5,FALSE,BR-GO,2021-05,2025-07-30 17:26
cid dengue,Dengue,0.7,FALSE,BR-GO,2021-05,2025-07-30 17:26
dengue sintomas finais,Dengue,0.5,FALSE,BR-GO,2021-05,2025-07-30 17:26
,Dengue,,,BR-MA,2021-05,2025-07-30 17:26
dengue hemorrágica,Dengue,1,FALSE,BR-MG,2021-05,2025-07-30 17:26
vacina da dengue,Dengue,0.9,FALSE,BR-MG,2021-05,2025-07-30 17:26
dengue sintomas iniciais,Dengue,0.7,FALSE,BR-MG,2021-05,2025-07-30 17:26
cid dengue,Dengue,0.7,FALSE,BR-MS,2021-05,2025-07-30 17:26
,Dengue,,,BR-MT,2021-05,2025-07-30 17:26
,Dengue,,,BR-PA,2021-05,2025-07-30 17:26
sintomas do covid,Dengue,2342.5,TRUE,BR-PB,2021-05,2025-07-30 17:26
manchas vermelhas na pele dengue,Dengue,553,TRUE,BR-PE,2021-05,2025-07-30 17:26
diferença entre dengue zika e chikungunya,Dengue,487.5,TRUE,BR-PE,2021-05,2025-07-30 17:26
mancha de dengue,Dengue,469.5,TRUE,BR-PE,2021-05,2025-07-30 17:26
dengue da diarreia,Dengue,293,TRUE,BR-PE,2021-05,2025-07-30 17:26
simtomas de dengue,Dengue,229,TRUE,BR-PE,2021-05,2025-07-30 17:26
tratamentos para chikungunya,Dengue,173,TRUE,BR-PE,2021-05,2025-07-30 17:26
"sintomas da dengue, zika e chikungunya",Dengue,143,TRUE,BR-PE,2021-05,2025-07-30 17:26
sintomas chicungunha,Dengue,3.5,FALSE,BR-PE,2021-05,2025-07-30 17:26
tylenol,Dengue,1.2,FALSE,BR-PE,2021-05,2025-07-30 17:26
sintomas de dengue e chikungunya,Dengue,1,FALSE,BR-PE,2021-05,2025-07-30 17:26
remedio pra dengue,Dengue,0.9,FALSE,BR-PE,2021-05,2025-07-30 17:26
sorologia para dengue,Dengue,0.8,FALSE,BR-PE,2021-05,2025-07-30 17:26
chicungunha,Dengue,0.7,FALSE,BR-PE,2021-05,2025-07-30 17:26
sintomas da chikungunya,Dengue,0.7,FALSE,BR-PE,2021-05,2025-07-30 17:26
dengue online,Dengue,0.6,FALSE,BR-PE,2021-05,2025-07-30 17:26
chikungunya sintomas,Dengue,0.5,FALSE,BR-PE,2021-05,2025-07-30 17:26
dengue manchas na pele,Dengue,0.5,FALSE,BR-PE,2021-05,2025-07-30 17:26
manchas vermelhas na pele,Dengue,0.5,FALSE,BR-PE,2021-05,2025-07-30 17:26
tratamentos para dengue,Dengue,0.5,FALSE,BR-PE,2021-05,2025-07-30 17:26
sintomas de chikungunya,Dengue,0.4,FALSE,BR-PE,2021-05,2025-07-30 17:26
sintomas da dengue zika e chikungunya,Dengue,0.4,FALSE,BR-PE,2021-05,2025-07-30 17:26
chikungunya,Dengue,0.4,FALSE,BR-PE,2021-05,2025-07-30 17:26
,Dengue,,,BR-PI,2021-05,2025-07-30 17:26
sintoma de dengue,Dengue,2.5,FALSE,BR-PR,2021-05,2025-07-30 17:26
sintomas do covid,Dengue,1.7,FALSE,BR-PR,2021-05,2025-07-30 17:26
plaquetas baixas dengue,Dengue,0.9,FALSE,BR-PR,2021-05,2025-07-30 17:26
sintomas de covid,Dengue,0.7,FALSE,BR-PR,2021-05,2025-07-30 17:26
vacina da dengue,Dengue,0.6,FALSE,BR-PR,2021-05,2025-07-30 17:26
quais são os sintomas da dengue,Dengue,0.5,FALSE,BR-PR,2021-05,2025-07-30 17:26
sintomas covid,Dengue,0.4,FALSE,BR-PR,2021-05,2025-07-30 17:26
sintomas da covid,Dengue,1,FALSE,BR-RJ,2021-05,2025-07-30 17:26
