topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-AL,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,22,BR-AL,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,12,BR-AL,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,6,BR-AL,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-AM,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,22,BR-AM,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,14,BR-AM,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,10,BR-AM,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,4,BR-AM,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-AP,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-BA,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,29,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,16,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,11,BR-BA,Dengue,2021-06,2025-07-30 15:34
chikungunya,10,BR-BA,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,10,BR-BA,Dengue,2021-06,2025-07-30 15:34
o que é dengue,9,BR-BA,Dengue,2021-06,2025-07-30 15:34
dengue zika e chikungunya,5,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas da covid,4,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas do covid,3,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas de covid,2,BR-BA,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,2,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue zika e chikungunya,2,BR-BA,Dengue,2021-06,2025-07-30 15:34
dengue tratamento,2,BR-BA,Dengue,2021-06,2025-07-30 15:34
sintomas de chikungunya,2,BR-BA,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,1,BR-BA,Dengue,2021-06,2025-07-30 15:34
cid dengue,1,BR-BA,Dengue,2021-06,2025-07-30 15:34
quais são os sintomas da dengue,1,BR-BA,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,29,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,17,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,9,BR-CE,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,6,BR-CE,Dengue,2021-06,2025-07-30 15:34
o que é dengue,6,BR-CE,Dengue,2021-06,2025-07-30 15:34
quais sintomas da dengue,3,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue tratamento,3,BR-CE,Dengue,2021-06,2025-07-30 15:34
chikungunya,3,BR-CE,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,3,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,3,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue cid,2,BR-CE,Dengue,2021-06,2025-07-30 15:34
aedes aegypti,2,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas do covid,2,BR-CE,Dengue,2021-06,2025-07-30 15:34
zika sintomas,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas de covid,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue manchas vermelhas,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
plaquetas baixas dengue,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
sorologia para dengue,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
tratamento da dengue,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue é contagiosa,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas da chikungunya,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
sintomas da zika,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
notificação dengue,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
quais são os sintomas da dengue,1,BR-CE,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-DF,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,20,BR-DF,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,12,BR-DF,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,12,BR-DF,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,7,BR-DF,Dengue,2021-06,2025-07-30 15:34
dengue tratamento,3,BR-DF,Dengue,2021-06,2025-07-30 15:34
sintomas covid,2,BR-DF,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,2,BR-DF,Dengue,2021-06,2025-07-30 15:34
cid dengue,2,BR-DF,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-ES,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,23,BR-ES,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,11,BR-ES,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,9,BR-ES,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,7,BR-ES,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-GO,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,25,BR-GO,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,14,BR-GO,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,9,BR-GO,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,8,BR-GO,Dengue,2021-06,2025-07-30 15:34
covid sintomas,5,BR-GO,Dengue,2021-06,2025-07-30 15:34
cid dengue,3,BR-GO,Dengue,2021-06,2025-07-30 15:34
sintomas da covid,3,BR-GO,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,2,BR-GO,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,2,BR-GO,Dengue,2021-06,2025-07-30 15:34
quais são os sintomas da dengue,1,BR-GO,Dengue,2021-06,2025-07-30 15:34
desenho do mosquito da dengue,1,BR-GO,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-MA,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,19,BR-MA,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,9,BR-MA,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,7,BR-MA,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-MG,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,23,BR-MG,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,11,BR-MG,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,10,BR-MG,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,9,BR-MG,Dengue,2021-06,2025-07-30 15:34
sintomas covid,5,BR-MG,Dengue,2021-06,2025-07-30 15:34
quais sintomas da dengue,3,BR-MG,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,2,BR-MG,Dengue,2021-06,2025-07-30 15:34
sintoma de dengue,2,BR-MG,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,2,BR-MG,Dengue,2021-06,2025-07-30 15:34
vacina da dengue,2,BR-MG,Dengue,2021-06,2025-07-30 15:34
dengue cid,1,BR-MG,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-MS,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,27,BR-MS,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,18,BR-MS,Dengue,2021-06,2025-07-30 15:34
sintomas covid,5,BR-MS,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,5,BR-MS,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,1,BR-MS,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-MT,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,23,BR-MT,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,11,BR-MT,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,10,BR-MT,Dengue,2021-06,2025-07-30 15:34
sintomas covid,5,BR-MT,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,5,BR-MT,Dengue,2021-06,2025-07-30 15:34
dengue igg reagente,2,BR-MT,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-PA,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,16,BR-PA,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,9,BR-PA,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,5,BR-PA,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-PB,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,30,BR-PB,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,13,BR-PB,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,13,BR-PB,Dengue,2021-06,2025-07-30 15:34
chikungunya,9,BR-PB,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,6,BR-PB,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,4,BR-PB,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,27,BR-PE,Dengue,2021-06,2025-07-30 15:34
chikungunya,15,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,14,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,10,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue e chikungunya,7,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas chikungunya,7,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas da chikungunya,5,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue zika e chikungunya,4,BR-PE,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,4,BR-PE,Dengue,2021-06,2025-07-30 15:34
zika sintomas,4,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,3,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas covid,3,BR-PE,Dengue,2021-06,2025-07-30 15:34
coceira dengue,3,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas da zika,3,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue tratamento,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas de chikungunya,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas dengue zika e chikungunya,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
remédio para dengue,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
quais sintomas da dengue,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue zika e chikungunya,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue pode tomar dipirona,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
sintomas da covid,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
remedio para dengue,2,BR-PE,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-PI,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,26,BR-PI,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,16,BR-PI,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,7,BR-PI,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,1,BR-PI,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-PR,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,25,BR-PR,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,15,BR-PR,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,9,BR-PR,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,7,BR-PR,Dengue,2021-06,2025-07-30 15:34
sintomas covid,5,BR-PR,Dengue,2021-06,2025-07-30 15:34
vacina dengue,4,BR-PR,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,3,BR-PR,Dengue,2021-06,2025-07-30 15:34
sintomas de covid,2,BR-PR,Dengue,2021-06,2025-07-30 15:34
tratamento dengue,2,BR-PR,Dengue,2021-06,2025-07-30 15:34
cartaz sobre a dengue,1,BR-PR,Dengue,2021-06,2025-07-30 15:34
sinan dengue,1,BR-PR,Dengue,2021-06,2025-07-30 15:34
quais são os sintomas da dengue,0,BR-PR,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-RJ,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,21,BR-RJ,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,11,BR-RJ,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,10,BR-RJ,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,10,BR-RJ,Dengue,2021-06,2025-07-30 15:34
chikungunya,6,BR-RJ,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,3,BR-RJ,Dengue,2021-06,2025-07-30 15:34
sintomas do covid 19,1,BR-RJ,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-RN,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,28,BR-RN,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,16,BR-RN,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,10,BR-RN,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,8,BR-RN,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-RO,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,25,BR-RO,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,12,BR-RO,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,9,BR-RO,Dengue,2021-06,2025-07-30 15:34
,,BR-RR,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-RS,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,26,BR-RS,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,17,BR-RS,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,13,BR-RS,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,11,BR-RS,Dengue,2021-06,2025-07-30 15:34
febre amarela,5,BR-RS,Dengue,2021-06,2025-07-30 15:34
prevenção da dengue,4,BR-RS,Dengue,2021-06,2025-07-30 15:34
dengue transmissão,3,BR-RS,Dengue,2021-06,2025-07-30 15:34
sintomas covid,3,BR-RS,Dengue,2021-06,2025-07-30 15:34
aedes aegypti,3,BR-RS,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,2,BR-RS,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-SC,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,30,BR-SC,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,16,BR-SC,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,10,BR-SC,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,9,BR-SC,Dengue,2021-06,2025-07-30 15:34
o que é dengue,5,BR-SC,Dengue,2021-06,2025-07-30 15:34
dengue joinville,5,BR-SC,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,3,BR-SC,Dengue,2021-06,2025-07-30 15:34
sintomas covid,3,BR-SC,Dengue,2021-06,2025-07-30 15:34
dengue é transmissivel,1,BR-SC,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-SE,Dengue,2021-06,2025-07-30 15:34
dengue sintomas,25,BR-SE,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,14,BR-SE,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,8,BR-SE,Dengue,2021-06,2025-07-30 15:34
sintomas do covid,3,BR-SE,Dengue,2021-06,2025-07-30 15:34
dengue,100,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintomas dengue,27,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintomas da dengue,16,BR-SP,Dengue,2021-06,2025-07-30 15:34
covid,10,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintomas de dengue,9,BR-SP,Dengue,2021-06,2025-07-30 15:34
mosquito dengue,7,BR-SP,Dengue,2021-06,2025-07-30 15:34
mosquito da dengue,6,BR-SP,Dengue,2021-06,2025-07-30 15:34
covid sintomas,6,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintomas da covid,4,BR-SP,Dengue,2021-06,2025-07-30 15:34
vacina dengue,4,BR-SP,Dengue,2021-06,2025-07-30 15:34
exame dengue,3,BR-SP,Dengue,2021-06,2025-07-30 15:34
tratamento dengue,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintomas de covid,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
chikungunya,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
vacina da dengue,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
dengue hemorrágica,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
quais sintomas da dengue,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
exame de dengue,2,BR-SP,Dengue,2021-06,2025-07-30 15:34
quais os sintomas da dengue,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
sintoma dengue,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
dengue cid,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
coceira dengue,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
teste de dengue,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
aedes aegypti,1,BR-SP,Dengue,2021-06,2025-07-30 15:34
