topSearches,value,geo,keyword,time,sys_time
sintomas de dengue,100,BR-AC,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-AL,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,18,BR-AL,Dengue,2023-08,2025-07-23 15:27
dengue sintomas,16,BR-AL,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,9,BR-AL,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-AM,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,11,BR-AM,Dengue,2023-08,2025-07-23 15:27
,,BR-AP,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue sintomas,28,BR-BA,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,15,BR-BA,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,12,BR-BA,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,11,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue hemorrágica,4,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue tratamento,3,BR-BA,Dengue,2023-08,2025-07-23 15:27
vacina dengue,3,BR-BA,Dengue,2023-08,2025-07-23 15:27
quais os sintomas da dengue,2,BR-BA,Dengue,2023-08,2025-07-23 15:27
chikungunya sintomas,2,BR-BA,Dengue,2023-08,2025-07-23 15:27
febre amarela,2,BR-BA,Dengue,2023-08,2025-07-23 15:27
aedes aegypti,2,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue hemorrágica sintomas,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
cid dengue,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue hemorrágica,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
quais são os sintomas da dengue,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
sintomas da chikungunya,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue é contagioso,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
sintomas de chikungunya,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
prevenção da dengue,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue da xuxa,1,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue sintomas finais,0,BR-BA,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-CE,Dengue,2023-08,2025-07-23 15:27
dengue sintomas,22,BR-CE,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,10,BR-CE,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,8,BR-CE,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,6,BR-CE,Dengue,2023-08,2025-07-23 15:27
cid dengue,2,BR-CE,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-DF,Dengue,2023-08,2025-07-23 15:27
dengue sintomas,25,BR-DF,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,11,BR-DF,Dengue,2023-08,2025-07-23 15:27
vacina dengue,8,BR-DF,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,6,BR-DF,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,6,BR-DF,Dengue,2023-08,2025-07-23 15:27
cid dengue,4,BR-DF,Dengue,2023-08,2025-07-23 15:27
dengue hemorrágica,3,BR-DF,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-ES,Dengue,2023-08,2025-07-23 15:27
dengue sintomas,27,BR-ES,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,13,BR-ES,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,8,BR-ES,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,6,BR-ES,Dengue,2023-08,2025-07-23 15:27
vacina dengue,4,BR-ES,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-GO,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,17,BR-GO,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,7,BR-GO,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,7,BR-GO,Dengue,2023-08,2025-07-23 15:27
dengue cid,3,BR-GO,Dengue,2023-08,2025-07-23 15:27
dengue hemorrágica,3,BR-GO,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-MA,Dengue,2023-08,2025-07-23 15:27
sintomas dengue,28,BR-MA,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,13,BR-MA,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,9,BR-MA,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,8,BR-MA,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-MG,Dengue,2023-08,2025-07-23 15:27
sintomas dengue,28,BR-MG,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue,17,BR-MG,Dengue,2023-08,2025-07-23 15:27
mosquito da dengue,9,BR-MG,Dengue,2023-08,2025-07-23 15:27
sintomas da dengue,8,BR-MG,Dengue,2023-08,2025-07-23 15:27
vacina dengue,6,BR-MG,Dengue,2023-08,2025-07-23 15:27
chikungunya,5,BR-MG,Dengue,2023-08,2025-07-23 15:27
dengue hemorrágica,3,BR-MG,Dengue,2023-08,2025-07-23 15:27
vacina da dengue,3,BR-MG,Dengue,2023-08,2025-07-23 15:27
cid dengue,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
dengue da xuxa,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
dengue xuxa,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
quais os sintomas da dengue,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
febre amarela,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
dengue pode tomar dipirona,2,BR-MG,Dengue,2023-08,2025-07-23 15:27
vacina contra dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
pode tomar dipirona com dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
tratamento da dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
quais são os sintomas da dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
sintomas de dengue hemorrágica,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
sintomas de gravidez,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
remedio para dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
zika virus,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
tuberculose,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
manchas de dengue,1,BR-MG,Dengue,2023-08,2025-07-23 15:27
dengue,100,BR-MS,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,25,BR-MS,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,14,BR-MS,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,8,BR-MS,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,5,BR-MS,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-MT,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,25,BR-MT,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,12,BR-MT,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,9,BR-MT,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,6,BR-MT,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-PA,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,21,BR-PA,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,12,BR-PA,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,7,BR-PA,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,5,BR-PA,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,4,BR-PA,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-PB,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,19,BR-PB,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,16,BR-PB,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,9,BR-PB,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,4,BR-PB,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-PE,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,22,BR-PE,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,15,BR-PE,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,12,BR-PE,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,10,BR-PE,Dengue,2023-08,2025-07-23 15:28
dengue transmissão,3,BR-PE,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,3,BR-PE,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-PI,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,19,BR-PI,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,15,BR-PI,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,14,BR-PI,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-PR,Dengue,2023-08,2025-07-23 15:28
sintomas dengue,28,BR-PR,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,15,BR-PR,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,11,BR-PR,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,10,BR-PR,Dengue,2023-08,2025-07-23 15:28
vacina dengue,5,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,3,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue transmissão,2,BR-PR,Dengue,2023-08,2025-07-23 15:28
tratamento da dengue,2,BR-PR,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR-PR,Dengue,2023-08,2025-07-23 15:28
quais são os sintomas da dengue,2,BR-PR,Dengue,2023-08,2025-07-23 15:28
prevenção da dengue,2,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica sintomas,1,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue da diarreia,1,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,1,BR-PR,Dengue,2023-08,2025-07-23 15:28
sinan dengue,0,BR-PR,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,28,BR-RJ,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,14,BR-RJ,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,8,BR-RJ,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,7,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue xuxa,6,BR-RJ,Dengue,2023-08,2025-07-23 15:28
vacina dengue,5,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,5,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,4,BR-RJ,Dengue,2023-08,2025-07-23 15:28
chikungunya,3,BR-RJ,Dengue,2023-08,2025-07-23 15:28
zika,3,BR-RJ,Dengue,2023-08,2025-07-23 15:28
vacina da dengue,3,BR-RJ,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue tratamento,2,BR-RJ,Dengue,2023-08,2025-07-23 15:28
febre amarela,2,BR-RJ,Dengue,2023-08,2025-07-23 15:28
aids,1,BR-RJ,Dengue,2023-08,2025-07-23 15:28
chikungunya sintomas,1,BR-RJ,Dengue,2023-08,2025-07-23 15:28
quais são os sintomas da dengue,1,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue passa de uma pessoa para outra,1,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue é contagioso,0,BR-RJ,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-RN,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,20,BR-RN,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,11,BR-RN,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,11,BR-RN,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-RO,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,30,BR-RO,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,12,BR-RO,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,11,BR-RO,Dengue,2023-08,2025-07-23 15:28
,,BR-RR,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-RS,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,30,BR-RS,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,17,BR-RS,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,11,BR-RS,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,9,BR-RS,Dengue,2023-08,2025-07-23 15:28
vacina dengue,7,BR-RS,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,3,BR-RS,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,2,BR-RS,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR-RS,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue quais são,2,BR-RS,Dengue,2023-08,2025-07-23 15:28
quais são os sintomas da dengue,1,BR-RS,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue leve,1,BR-RS,Dengue,2023-08,2025-07-23 15:28
dengue sintomas iniciais,1,BR-RS,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-SC,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,31,BR-SC,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,16,BR-SC,Dengue,2023-08,2025-07-23 15:28
mosquito dengue,12,BR-SC,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,11,BR-SC,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,10,BR-SC,Dengue,2023-08,2025-07-23 15:28
vacina dengue,6,BR-SC,Dengue,2023-08,2025-07-23 15:28
vacina da dengue,3,BR-SC,Dengue,2023-08,2025-07-23 15:28
dengue sintomas iniciais,2,BR-SC,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR-SC,Dengue,2023-08,2025-07-23 15:28
suspeita de dengue,1,BR-SC,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,0,BR-SC,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-SE,Dengue,2023-08,2025-07-23 15:28
dengue sintomas,20,BR-SE,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,11,BR-SE,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,9,BR-SE,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,3,BR-SE,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,3,BR-SE,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-SP,Dengue,2023-08,2025-07-23 15:28
sintomas dengue,24,BR-SP,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,12,BR-SP,Dengue,2023-08,2025-07-23 15:28
mosquito dengue,9,BR-SP,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,8,BR-SP,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,8,BR-SP,Dengue,2023-08,2025-07-23 15:28
vacina dengue,5,BR-SP,Dengue,2023-08,2025-07-23 15:28
o que é dengue,5,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue xuxa,3,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,3,BR-SP,Dengue,2023-08,2025-07-23 15:28
quais sintomas da dengue,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
vacina da dengue,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue tratamento,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
como evitar a dengue,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue prevenção,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue transmissão,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue cid,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
febre amarela,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
chikungunya,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
vacina de dengue,2,BR-SP,Dengue,2023-08,2025-07-23 15:28
transmissão da dengue,1,BR-SP,Dengue,2023-08,2025-07-23 15:28
gripe,1,BR-SP,Dengue,2023-08,2025-07-23 15:28
exame de dengue,1,BR-SP,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR-TO,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,9,BR-TO,Dengue,2023-08,2025-07-23 15:28
dengue,100,BR,Dengue,2023-08,2025-07-23 15:28
sintomas dengue,24,BR,Dengue,2023-08,2025-07-23 15:28
sintomas de dengue,11,BR,Dengue,2023-08,2025-07-23 15:28
mosquito,8,BR,Dengue,2023-08,2025-07-23 15:28
dengue mosquito,8,BR,Dengue,2023-08,2025-07-23 15:28
sintomas da dengue,7,BR,Dengue,2023-08,2025-07-23 15:28
mosquito da dengue,7,BR,Dengue,2023-08,2025-07-23 15:28
febre,5,BR,Dengue,2023-08,2025-07-23 15:28
dengue vacina,4,BR,Dengue,2023-08,2025-07-23 15:28
o que é dengue,4,BR,Dengue,2023-08,2025-07-23 15:28
chikungunya,3,BR,Dengue,2023-08,2025-07-23 15:28
dengue hemorrágica,3,BR,Dengue,2023-08,2025-07-23 15:28
zika,2,BR,Dengue,2023-08,2025-07-23 15:28
sobre a dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
exame dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
dengue tratamento,2,BR,Dengue,2023-08,2025-07-23 15:28
dengue xuxa,2,BR,Dengue,2023-08,2025-07-23 15:28
virus,2,BR,Dengue,2023-08,2025-07-23 15:28
quais sintomas da dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
vacina da dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
virus dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
quais os sintomas da dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
dengue da xuxa,2,BR,Dengue,2023-08,2025-07-23 15:28
teste dengue,2,BR,Dengue,2023-08,2025-07-23 15:28
febre amarela,2,BR,Dengue,2023-08,2025-07-23 15:28
,,BR-AC,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-AL,Chikungunya,2023-08,2025-07-23 15:28
,,BR-AM,Chikungunya,2023-08,2025-07-23 15:28
,,BR-AP,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
chikungunya sintomas,28,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
dengue,21,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
sintomas de chikungunya,12,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
sintomas da chikungunya,9,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
dengue sintomas,7,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
chikungunya tratamento,5,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
sintomas da dengue,5,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
chikungunha,2,BR-BA,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-CE,Chikungunya,2023-08,2025-07-23 15:28
chikungunya sintomas,25,BR-CE,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-DF,Chikungunya,2023-08,2025-07-23 15:28
chikungunya sintomas,35,BR-DF,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-ES,Chikungunya,2023-08,2025-07-23 15:28
chikungunya sintomas,29,BR-ES,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-GO,Chikungunya,2023-08,2025-07-23 15:28
chikungunya,100,BR-MA,Chikungunya,2023-08,2025-07-23 15:28
chikungunya sintomas,32,BR-MA,Chikungunya,2023-08,2025-07-23 15:28
chicungunha,17,BR-MA,Chikungunya,2023-08,2025-07-23 15:28
