topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-AL,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,25,BR-AL,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,14,BR-AL,Dengue,2024-06,2025-07-23 15:54
vacina dengue,8,BR-AL,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,8,BR-AL,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,8,BR-AL,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,5,BR-AL,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,5,BR-AL,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,2,BR-AL,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue hemorrágica,2,BR-AL,Dengue,2024-06,2025-07-23 15:54
pode tomar dipirona com dengue,1,BR-AL,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica sintomas,1,BR-AL,Dengue,2024-06,2025-07-23 15:54
cid dengue,1,BR-AL,Dengue,2024-06,2025-07-23 15:54
dengue tipo 2,1,BR-AL,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-AM,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,19,BR-AM,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,10,BR-AM,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,9,BR-AM,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,7,BR-AM,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,3,BR-AM,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-AP,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,24,BR-AP,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-AP,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,18,BR-BA,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,10,BR-BA,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,6,BR-BA,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,5,BR-BA,Dengue,2024-06,2025-07-23 15:54
vacina dengue,4,BR-BA,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,3,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,3,BR-BA,Dengue,2024-06,2025-07-23 15:54
chikungunya,2,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,2,BR-BA,Dengue,2024-06,2025-07-23 15:54
quais sintomas da dengue,2,BR-BA,Dengue,2024-06,2025-07-23 15:54
dipirona pode tomar com dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
remédio para dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue hemorragica,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
o que tomar para dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
vacina dengue salvador,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
remedio para dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
cid dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica sintomas,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
paracetamol pode tomar com dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue online,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
qual os sintomas da dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
tratamento da dengue,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue manchas vermelhas,1,BR-BA,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-CE,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,21,BR-CE,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-CE,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,10,BR-CE,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,7,BR-CE,Dengue,2024-06,2025-07-23 15:54
vacina dengue,5,BR-CE,Dengue,2024-06,2025-07-23 15:54
cid dengue,3,BR-CE,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,2,BR-CE,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,1,BR-CE,Dengue,2024-06,2025-07-23 15:54
sinan dengue,1,BR-CE,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue leve,1,BR-CE,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-DF,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,16,BR-DF,Dengue,2024-06,2025-07-23 15:54
vacina dengue,10,BR-DF,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,8,BR-DF,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,7,BR-DF,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,5,BR-DF,Dengue,2024-06,2025-07-23 15:54
vacina dengue df,4,BR-DF,Dengue,2024-06,2025-07-23 15:54
cid dengue,1,BR-DF,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-ES,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,19,BR-ES,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-ES,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,7,BR-ES,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,5,BR-ES,Dengue,2024-06,2025-07-23 15:54
chikungunya,4,BR-ES,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,3,BR-ES,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,2,BR-ES,Dengue,2024-06,2025-07-23 15:54
cid dengue,2,BR-ES,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,1,BR-ES,Dengue,2024-06,2025-07-23 15:54
quais são os sintomas da dengue,1,BR-ES,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-GO,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,16,BR-GO,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,9,BR-GO,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,6,BR-GO,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,5,BR-GO,Dengue,2024-06,2025-07-23 15:54
vacina dengue,5,BR-GO,Dengue,2024-06,2025-07-23 15:54
dengue cid,3,BR-GO,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,2,BR-GO,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,2,BR-GO,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,2,BR-GO,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,2,BR-GO,Dengue,2024-06,2025-07-23 15:54
paracetamol dengue,2,BR-GO,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica sintomas,1,BR-GO,Dengue,2024-06,2025-07-23 15:54
plaquetas baixas dengue,1,BR-GO,Dengue,2024-06,2025-07-23 15:54
dipirona pode tomar com dengue,1,BR-GO,Dengue,2024-06,2025-07-23 15:54
pode tomar paracetamol com dengue,1,BR-GO,Dengue,2024-06,2025-07-23 15:54
quantos dias dura a dengue,1,BR-GO,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue hemorrágica,0,BR-GO,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-MA,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,22,BR-MA,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-MA,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,10,BR-MA,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,7,BR-MA,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,6,BR-MA,Dengue,2024-06,2025-07-23 15:54
remedio para dengue,1,BR-MA,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-MG,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,16,BR-MG,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,9,BR-MG,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,5,BR-MG,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,5,BR-MG,Dengue,2024-06,2025-07-23 15:54
vacina dengue,5,BR-MG,Dengue,2024-06,2025-07-23 15:54
o que é dengue,3,BR-MG,Dengue,2024-06,2025-07-23 15:54
chikungunya,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
coceira dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
exame de dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
teste dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
dipirona dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
cid dengue,2,BR-MG,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
teste de dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
diarreia dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
remedio para dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
notificação dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
chikungunya sintomas,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
o que tomar para dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
ibuprofeno dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
sintoma de dengue,1,BR-MG,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-MS,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-MS,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,8,BR-MS,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,4,BR-MS,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,3,BR-MS,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-MT,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,21,BR-MT,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-MT,Dengue,2024-06,2025-07-23 15:54
chikungunya,7,BR-MT,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,6,BR-MT,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,5,BR-MT,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,3,BR-MT,Dengue,2024-06,2025-07-23 15:54
remedio para dengue,2,BR-MT,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,2,BR-MT,Dengue,2024-06,2025-07-23 15:54
notificação dengue,2,BR-MT,Dengue,2024-06,2025-07-23 15:54
cid dengue,2,BR-MT,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica sintomas,1,BR-MT,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,1,BR-MT,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-PA,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,22,BR-PA,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,10,BR-PA,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,9,BR-PA,Dengue,2024-06,2025-07-23 15:54
vacina dengue,6,BR-PA,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,5,BR-PA,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,3,BR-PA,Dengue,2024-06,2025-07-23 15:54
remedio para dengue,2,BR-PA,Dengue,2024-06,2025-07-23 15:54
quais são os sintomas da dengue,1,BR-PA,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-PB,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,18,BR-PB,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,10,BR-PB,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,5,BR-PB,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-PE,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,12,BR-PE,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,9,BR-PE,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,8,BR-PE,Dengue,2024-06,2025-07-23 15:54
vacina dengue,5,BR-PE,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,4,BR-PE,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,2,BR-PE,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,2,BR-PE,Dengue,2024-06,2025-07-23 15:54
tratamento para dengue,1,BR-PE,Dengue,2024-06,2025-07-23 15:54
pode tomar dipirona com dengue,1,BR-PE,Dengue,2024-06,2025-07-23 15:54
quais são os sintomas da dengue,1,BR-PE,Dengue,2024-06,2025-07-23 15:54
qual remedio nao pode tomar com dengue,1,BR-PE,Dengue,2024-06,2025-07-23 15:54
dengue é contagioso,0,BR-PE,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-PI,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,19,BR-PI,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,12,BR-PI,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,8,BR-PI,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,8,BR-PI,Dengue,2024-06,2025-07-23 15:54
vacina dengue,7,BR-PI,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,3,BR-PI,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,2,BR-PI,Dengue,2024-06,2025-07-23 15:54
vacina dengue teresina,2,BR-PI,Dengue,2024-06,2025-07-23 15:54
cid dengue,1,BR-PI,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-PR,Dengue,2024-06,2025-07-23 15:54
sintomas dengue,21,BR-PR,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,12,BR-PR,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,7,BR-PR,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,6,BR-PR,Dengue,2024-06,2025-07-23 15:54
vacina dengue,3,BR-PR,Dengue,2024-06,2025-07-23 15:54
teste dengue,3,BR-PR,Dengue,2024-06,2025-07-23 15:54
o que é dengue,3,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue curitiba,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
exame de dengue,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
dipirona dengue,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
covid,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
quais os sintomas da dengue,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
teste de dengue,2,BR-PR,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue brasil,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
cid dengue,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
tratamento dengue,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue hemorrágica sintomas,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
sintoma de dengue,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
sintomas covid,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
sinan dengue,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue pode tomar dipirona,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue da febre,1,BR-PR,Dengue,2024-06,2025-07-23 15:54
dengue,100,BR-RJ,Dengue,2024-06,2025-07-23 15:54
dengue sintomas,21,BR-RJ,Dengue,2024-06,2025-07-23 15:54
sintomas de dengue,11,BR-RJ,Dengue,2024-06,2025-07-23 15:54
vacina dengue,8,BR-RJ,Dengue,2024-06,2025-07-23 15:54
sintomas da dengue,7,BR-RJ,Dengue,2024-06,2025-07-23 15:54
mosquito da dengue,6,BR-RJ,Dengue,2024-06,2025-07-23 15:54
vacina da dengue,4,BR-RJ,Dengue,2024-06,2025-07-23 15:54
