risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas da dengue,Dengue,1,FALSE,BR-AC,2023-11,2025-07-31 13:37
,Dengue,,,BR-AL,2023-11,2025-07-31 13:37
,Dengue,,,BR-AM,2023-11,2025-07-31 13:37
,Dengue,,,BR-AP,2023-11,2025-07-31 13:37
sintomas de covid,Dengue,1522,TRUE,BR-BA,2023-11,2025-07-31 13:37
quais são os sintomas da dengue,Dengue,897,TRUE,BR-BA,2023-11,2025-07-31 13:37
um estudo buscou identificar os fatores associados as mortes por dengue,Dengue,490.5,TRUE,BR-BA,2023-11,2025-07-31 13:37
tratamento da dengue,Dengue,1.4,FALSE,BR-CE,2023-11,2025-07-31 13:37
quais os sintomas da dengue,Dengue,1090,TRUE,BR-DF,2023-11,2025-07-31 13:37
pode tomar dipirona com dengue,Dengue,1.3,FALSE,BR-DF,2023-11,2025-07-31 13:37
vacina dengue,Dengue,1.1,FALSE,BR-DF,2023-11,2025-07-31 13:37
teste de dengue,Dengue,2645,TRUE,BR-ES,2023-11,2025-07-31 13:37
quais são os sintomas da dengue,Dengue,764.5,TRUE,BR-ES,2023-11,2025-07-31 13:37
dengue da dor de garganta,Dengue,463,TRUE,BR-GO,2023-11,2025-07-31 13:37
pode tomar dipirona com dengue,Dengue,4,FALSE,BR-GO,2023-11,2025-07-31 13:37
sintomas da dengue,Dengue,0.8,FALSE,BR-MA,2023-11,2025-07-31 13:37
sintomas de dengue hemorrágica,Dengue,351,TRUE,BR-MG,2023-11,2025-07-31 13:37
dengue é transmissivel,Dengue,296,TRUE,BR-MG,2023-11,2025-07-31 13:37
quantos dias dura a dengue,Dengue,183.5,TRUE,BR-MG,2023-11,2025-07-31 13:37
dengue sintomas iniciais,Dengue,2.5,FALSE,BR-MG,2023-11,2025-07-31 13:37
dengue da dor de garganta,Dengue,1.2,FALSE,BR-MG,2023-11,2025-07-31 13:37
qual sintomas da dengue,Dengue,0.9,FALSE,BR-MG,2023-11,2025-07-31 13:37
vacina contra dengue,Dengue,0.7,FALSE,BR-MG,2023-11,2025-07-31 13:37
sintomas de dengue leve,Dengue,0.6,FALSE,BR-MG,2023-11,2025-07-31 13:37
mancha de dengue,Dengue,0.4,FALSE,BR-MG,2023-11,2025-07-31 13:37
dipirona pode tomar com dengue,Dengue,0.4,FALSE,BR-MG,2023-11,2025-07-31 13:37
,Dengue,,,BR-MS,2023-11,2025-07-31 13:37
,Dengue,,,BR-MT,2023-11,2025-07-31 13:37
dengue hemorrágica,Dengue,1080,TRUE,BR-PA,2023-11,2025-07-31 13:37
sintomas de dengue,Dengue,0.8,FALSE,BR-PA,2023-11,2025-07-31 13:37
sintomas de dengue,Dengue,0.7,FALSE,BR-PB,2023-11,2025-07-31 13:37
dengue sintomas,Dengue,0.4,FALSE,BR-PB,2023-11,2025-07-31 13:37
dengue hemorrágica,Dengue,0.8,FALSE,BR-PE,2023-11,2025-07-31 13:37
mosquito da dengue,Dengue,0.6,FALSE,BR-PE,2023-11,2025-07-31 13:37
,Dengue,,,BR-PI,2023-11,2025-07-31 13:37
sintomas da dengue no corpo,Dengue,1.7,FALSE,BR-PR,2023-11,2025-07-31 13:37
dengue hemorrágica,Dengue,0.6,FALSE,BR-PR,2023-11,2025-07-31 13:37
vacina da dengue valor,Dengue,808,TRUE,BR-RJ,2023-11,2025-07-31 13:37
cid dengue,Dengue,744,TRUE,BR-RJ,2023-11,2025-07-31 13:37
dengue passa?,Dengue,218,TRUE,BR-RJ,2023-11,2025-07-31 13:37
quanto tempo dura a dengue,Dengue,1.2,FALSE,BR-RJ,2023-11,2025-07-31 13:37
dengue hemorragica,Dengue,1,FALSE,BR-RJ,2023-11,2025-07-31 13:37
dengue tratamento,Dengue,0.6,FALSE,BR-RJ,2023-11,2025-07-31 13:37
vacina da dengue,Dengue,0.5,FALSE,BR-RJ,2023-11,2025-07-31 13:37
vacina dengue,Dengue,0.4,FALSE,BR-RJ,2023-11,2025-07-31 13:37
sintomas de dengue hemorrágica,Dengue,0.4,FALSE,BR-RJ,2023-11,2025-07-31 13:37
dengue é contagioso,Dengue,0.4,FALSE,BR-RJ,2023-11,2025-07-31 13:37
dengue hemorrágica,Dengue,3,FALSE,BR-RN,2023-11,2025-07-31 13:37
mosquito da dengue,Dengue,1.1,FALSE,BR-RN,2023-11,2025-07-31 13:37
,Dengue,,,BR-RO,2023-11,2025-07-31 13:37
,Dengue,,,BR-RR,2023-11,2025-07-31 13:37
quais são os sintomas da dengue,Dengue,515,TRUE,BR-RS,2023-11,2025-07-31 13:37
vacina da dengue,Dengue,1.7,FALSE,BR-RS,2023-11,2025-07-31 13:37
vacina dengue,Dengue,1.3,FALSE,BR-RS,2023-11,2025-07-31 13:37
chikungunya,Dengue,0.5,FALSE,BR-RS,2023-11,2025-07-31 13:37
dengue tipo 3,Dengue,703.5,TRUE,BR-SC,2023-11,2025-07-31 13:37
vacina dengue,Dengue,1,FALSE,BR-SC,2023-11,2025-07-31 13:37
sintomas covid,Dengue,0.8,FALSE,BR-SC,2023-11,2025-07-31 13:37
vacina da dengue,Dengue,0.5,FALSE,BR-SC,2023-11,2025-07-31 13:37
sintomas de dengue,Dengue,0.5,FALSE,BR-SE,2023-11,2025-07-31 13:37
sintomas de dengue em bebe,Dengue,200,TRUE,BR-SP,2023-11,2025-07-31 13:37
sintomas de pneumonia,Dengue,94.5,TRUE,BR-SP,2023-11,2025-07-31 13:37
um estudo buscou identificar os fatores associados as mortes por dengue,Dengue,89,TRUE,BR-SP,2023-11,2025-07-31 13:37
dengue tipo 3,Dengue,4,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina dengue sus,Dengue,2,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina para dengue,Dengue,1.4,FALSE,BR-SP,2023-11,2025-07-31 13:37
sintomas da dengue 2023,Dengue,1.2,FALSE,BR-SP,2023-11,2025-07-31 13:37
quem está com dengue pode tomar dipirona,Dengue,1.2,FALSE,BR-SP,2023-11,2025-07-31 13:37
o que tomar para dengue,Dengue,1,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina contra dengue,Dengue,1,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina dengue preço,Dengue,0.9,FALSE,BR-SP,2023-11,2025-07-31 13:37
existe vacina para dengue,Dengue,0.8,FALSE,BR-SP,2023-11,2025-07-31 13:37
prova do laço dengue,Dengue,0.8,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina da dengue,Dengue,0.6,FALSE,BR-SP,2023-11,2025-07-31 13:37
vacina dengue,Dengue,0.5,FALSE,BR-SP,2023-11,2025-07-31 13:37
qual o sintomas da dengue,Dengue,0.5,FALSE,BR-SP,2023-11,2025-07-31 13:37
sintomas de infecção urinária,Dengue,0.4,FALSE,BR-SP,2023-11,2025-07-31 13:37
como prevenir a dengue,Dengue,0.4,FALSE,BR-SP,2023-11,2025-07-31 13:37
,Dengue,,,BR-TO,2023-11,2025-07-31 13:37
