risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2024-09,2025-07-31 13:50
,Dengue,,,BR-AL,2024-09,2025-07-31 13:50
,Dengue,,,BR-AM,2024-09,2025-07-31 13:50
,Dengue,,,BR-AP,2024-09,2025-07-31 13:50
o que não pode comer quando está com dengue,Dengue,387,TRUE,BR-BA,2024-09,2025-07-31 13:50
,Dengue,,,BR-CE,2024-09,2025-07-31 13:50
vacina da dengue,Dengue,0.7,FALSE,BR-DF,2024-09,2025-07-31 13:50
vacina dengue,Dengue,0.4,FALSE,BR-DF,2024-09,2025-07-31 13:50
,Dengue,,,BR-ES,2024-09,2025-07-31 13:50
dengue pode tomar dipirona,Dengue,4,FALSE,BR-GO,2024-09,2025-07-31 13:50
quais são os sintomas da dengue,Dengue,1,FALSE,BR-GO,2024-09,2025-07-31 13:50
sintomas de dengue,Dengue,0.5,FALSE,BR-MA,2024-09,2025-07-31 13:50
notificação dengue,Dengue,921.5,TRUE,BR-MG,2024-09,2025-07-31 13:50
sintomas de dengue em crianças,Dengue,168.5,TRUE,BR-MG,2024-09,2025-07-31 13:50
teste rapido dengue,Dengue,0.6,FALSE,BR-MG,2024-09,2025-07-31 13:50
dengue pode tomar dipirona,Dengue,0.5,FALSE,BR-MG,2024-09,2025-07-31 13:50
,Dengue,,,BR-MS,2024-09,2025-07-31 13:50
,Dengue,,,BR-MT,2024-09,2025-07-31 13:50
mosquito da dengue,Dengue,1.3,FALSE,BR-PA,2024-09,2025-07-31 13:50
sintomas da dengue,Dengue,2.5,FALSE,BR-PB,2024-09,2025-07-31 13:50
sintomas de dengue,Dengue,0.6,FALSE,BR-PB,2024-09,2025-07-31 13:50
qual remedio nao pode tomar com dengue,Dengue,1886.5,TRUE,BR-PE,2024-09,2025-07-31 13:50
,Dengue,,,BR-PI,2024-09,2025-07-31 13:50
,Dengue,,,BR-PR,2024-09,2025-07-31 13:50
sintomas de dengue hemorrágica,Dengue,938,TRUE,BR-RJ,2024-09,2025-07-31 13:50
sintomas da dengue 2024,Dengue,731,TRUE,BR-RJ,2024-09,2025-07-31 13:50
cid dengue,Dengue,2,FALSE,BR-RJ,2024-09,2025-07-31 13:50
sintomas de covid,Dengue,0.8,FALSE,BR-RJ,2024-09,2025-07-31 13:50
,Dengue,,,BR-RN,2024-09,2025-07-31 13:50
sintomas de dengue,Dengue,1.2,FALSE,BR-RO,2024-09,2025-07-31 13:50
,Dengue,,,BR-RR,2024-09,2025-07-31 13:50
dengue hemorrágica,Dengue,1.2,FALSE,BR-RS,2024-09,2025-07-31 13:50
vacina dengue,Dengue,0.6,FALSE,BR-RS,2024-09,2025-07-31 13:50
vacina da dengue,Dengue,1.7,FALSE,BR-SC,2024-09,2025-07-31 13:50
vacina dengue,Dengue,0.9,FALSE,BR-SC,2024-09,2025-07-31 13:50
https //resultado.itajai.sc.gov.br dengue,Dengue,0.9,FALSE,BR-SC,2024-09,2025-07-31 13:50
,Dengue,,,BR-SE,2024-09,2025-07-31 13:50
"a figura a seguir representa um bairro de uma cidade. uma pessoa, deseja se deslocar de sua casa, até o supermercado, mas antes precisa passar ao banco para retirar dinheiro. quantos caminhos diferentes essa pessoa poderá fazer?",Dengue,1377.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
"a quantidade de ração utilizada para alimentar 10 cachorros em um canil, durante 15 dias, é de 60 kg. caso cheguem mais 8 cachorros no canil, quantos dias 48kg dessa ração duraria aproximadamente?",Dengue,1377.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
"figura a seguir representa um bairro de uma cidade. uma pessoa, deseja se deslocar de sua casa, até o supermercado, mas antes precisa passar ao banco para retirar dinheiro. quantos caminhos diferentes essa pessoa poderá fazer?",Dengue,1291.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
"o gráfico abaixo, relaciona a distância percorrida, em quilômetros, por um automóvel e o tempo transcorrido, em horas, para fazer determinado percurso a uma velocidade constante.",Dengue,852,TRUE,BR-SP,2024-09,2025-07-31 13:50
"a quantidade de ração utilizada para alimentar 10 cachorros em um canil, durante 15 dias, é de 60 kg. caso cheguem mais 8 cachorros no canil, quantos dias 48kg dessa ração duraria aproximadamente? 6 dias. 5 dias. 4 dias. 8 dias. 10 dias.",Dengue,691.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
"a figura a seguir representa um bairro de uma cidade. uma pessoa, deseja se deslocar de sua casa, até o supermercado, mas antes precisa passar ao banco para retirar dinheiro. quantos caminhos diferentes essa pessoa poderá fazer? 24 48 52 12 10",Dengue,441.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
na aula de matemática a professora rosângela propôs o seguinte desafio para sala,Dengue,433,TRUE,BR-SP,2024-09,2025-07-31 13:50
"repartindo 420 em três partes que são diretamente proporcionais aos números 3, 7 e 4, respectivamente,",Dengue,409,TRUE,BR-SP,2024-09,2025-07-31 13:50
relacione o efeito da urbanização e da expansão das cidades no estado de são paulo com a incidência de doenças endêmicas como a dengue.,Dengue,386.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
observe as situações a seguir e indique as duas alternativas que contém uma relação entre duas grandezas diretamente proporcionais,Dengue,277,TRUE,BR-SP,2024-09,2025-07-31 13:50
"os números abaixo representam um conjunto de dados de uma certa pesquisa. indique três alternativas corretas quanto às medidas de tendência média, moda e 14, 14, 16, 15, 20, 18, 16, 15, 17, 15",Dengue,242.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
teste de dengue drogasil,Dengue,194.5,TRUE,BR-SP,2024-09,2025-07-31 13:50
