topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,21,BR-AC,Dengue,2020-01,2025-07-22 18:07
mosquito da dengue,100,BR-AL,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,51,BR-AL,Dengue,2020-01,2025-07-22 18:07
sintomas de dengue,49,BR-AL,Dengue,2020-01,2025-07-22 18:07
dengue,100,BR-AM,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,12,BR-AM,Dengue,2020-01,2025-07-22 18:07
mosquito da dengue,8,BR-AM,Dengue,2020-01,2025-07-22 18:07
sintomas de dengue,6,BR-AM,Dengue,2020-01,2025-07-22 18:07
,,BR-AP,Dengue,2020-01,2025-07-22 18:07
dengue,100,BR-BA,Dengue,2020-01,2025-07-22 18:07
dengue sintomas,27,BR-BA,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,15,BR-BA,Dengue,2020-01,2025-07-22 18:07
mosquito da dengue,13,BR-BA,Dengue,2020-01,2025-07-22 18:07
sintomas de dengue,9,BR-BA,Dengue,2020-01,2025-07-22 18:07
chikungunya,6,BR-BA,Dengue,2020-01,2025-07-22 18:07
zika sintomas,3,BR-BA,Dengue,2020-01,2025-07-22 18:07
sintomas da zika,3,BR-BA,Dengue,2020-01,2025-07-22 18:07
dengue hemorrágica,2,BR-BA,Dengue,2020-01,2025-07-22 18:07
quais são os sintomas da dengue,1,BR-BA,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue zika e chikungunya,1,BR-BA,Dengue,2020-01,2025-07-22 18:07
cid dengue,1,BR-BA,Dengue,2020-01,2025-07-22 18:07
dengue,100,BR-CE,Dengue,2020-01,2025-07-22 18:07
sintomas dengue,19,BR-CE,Dengue,2020-01,2025-07-22 18:07
mosquito da dengue,17,BR-CE,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,11,BR-CE,Dengue,2020-01,2025-07-22 18:07
sintomas de dengue,6,BR-CE,Dengue,2020-01,2025-07-22 18:07
dengue,100,BR-DF,Dengue,2020-01,2025-07-22 18:07
sintomas dengue,25,BR-DF,Dengue,2020-01,2025-07-22 18:07
sintomas da dengue,14,BR-DF,Dengue,2020-01,2025-07-22 18:07
mosquito da dengue,9,BR-DF,Dengue,2020-01,2025-07-22 18:07
dengue df,9,BR-DF,Dengue,2020-01,2025-07-22 18:07
sintomas de dengue,6,BR-DF,Dengue,2020-01,2025-07-22 18:07
dengue paracetamol,2,BR-DF,Dengue,2020-01,2025-07-22 18:07
