topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2023-04,2025-07-23 15:16
dengue sintomas,29,BR-AC,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,15,BR-AC,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,7,BR-AC,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,6,BR-AC,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,3,BR-AC,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-AL,Dengue,2023-04,2025-07-23 15:16
dengue sintomas,30,BR-AL,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,18,BR-AL,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,11,BR-AL,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,7,BR-AL,Dengue,2023-04,2025-07-23 15:16
dengue tratamento,5,BR-AL,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-AM,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,14,BR-AM,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,11,BR-AM,Dengue,2023-04,2025-07-23 15:16
dengue tratamento,5,BR-AM,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,5,BR-AM,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,4,BR-AM,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,3,BR-AM,Dengue,2023-04,2025-07-23 15:16
tratamento da dengue,2,BR-AM,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,100,BR-AP,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue sintomas,31,BR-BA,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,17,BR-BA,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,11,BR-BA,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,8,BR-BA,Dengue,2023-04,2025-07-23 15:16
chikungunya,6,BR-BA,Dengue,2023-04,2025-07-23 15:16
o que é dengue,4,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,4,BR-BA,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,3,BR-BA,Dengue,2023-04,2025-07-23 15:16
chikungunya sintomas,3,BR-BA,Dengue,2023-04,2025-07-23 15:16
quais sintomas da dengue,3,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue tratamento,3,BR-BA,Dengue,2023-04,2025-07-23 15:16
gripe,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
vacina dengue,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
sintomas dengue hemorrágica,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue cid,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
qual sintomas da dengue,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
remédio para dengue,2,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue pode tomar dipirona,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
sintomas de chikungunya,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
remedio para dengue,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
zika sintomas,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
prevenção da dengue,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
tratamento da dengue,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
vacina da dengue,1,BR-BA,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-CE,Dengue,2023-04,2025-07-23 15:16
dengue sintomas,32,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,18,BR-CE,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,12,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,12,BR-CE,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,5,BR-CE,Dengue,2023-04,2025-07-23 15:16
chikungunya,4,BR-CE,Dengue,2023-04,2025-07-23 15:16
tratamento dengue,3,BR-CE,Dengue,2023-04,2025-07-23 15:16
chikungunya sintomas,3,BR-CE,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica sintomas,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
vacina dengue,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
aedes aegypti,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
cid dengue,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas da chikungunya,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas de chikungunya,2,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue hemorrágica,1,BR-CE,Dengue,2023-04,2025-07-23 15:16
muriçoca,1,BR-CE,Dengue,2023-04,2025-07-23 15:16
foto do mosquito da dengue,1,BR-CE,Dengue,2023-04,2025-07-23 15:16
sinan dengue,1,BR-CE,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue leve,0,BR-CE,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-DF,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,15,BR-DF,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,10,BR-DF,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,7,BR-DF,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,4,BR-DF,Dengue,2023-04,2025-07-23 15:16
vacina dengue,3,BR-DF,Dengue,2023-04,2025-07-23 15:16
cid dengue,3,BR-DF,Dengue,2023-04,2025-07-23 15:16
dengue tratamento,3,BR-DF,Dengue,2023-04,2025-07-23 15:16
remedio para dengue,2,BR-DF,Dengue,2023-04,2025-07-23 15:16
quais sintomas da dengue,2,BR-DF,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,2,BR-DF,Dengue,2023-04,2025-07-23 15:16
sintomas covid,2,BR-DF,Dengue,2023-04,2025-07-23 15:16
vacina da dengue,2,BR-DF,Dengue,2023-04,2025-07-23 15:16
dengue hemorragica,1,BR-DF,Dengue,2023-04,2025-07-23 15:16
quais são os sintomas da dengue,1,BR-DF,Dengue,2023-04,2025-07-23 15:16
dengue,100,BR-ES,Dengue,2023-04,2025-07-23 15:16
dengue sintomas,34,BR-ES,Dengue,2023-04,2025-07-23 15:16
sintomas de dengue,19,BR-ES,Dengue,2023-04,2025-07-23 15:16
sintomas da dengue,11,BR-ES,Dengue,2023-04,2025-07-23 15:16
mosquito da dengue,5,BR-ES,Dengue,2023-04,2025-07-23 15:16
dengue hemorrágica,4,BR-ES,Dengue,2023-04,2025-07-23 15:16
o que é dengue,3,BR-ES,Dengue,2023-04,2025-07-23 15:16
quais os sintomas da dengue,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
tratamento dengue,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
exame de dengue,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
chikungunya,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
sintomas dengue hemorrágica,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
dengue pode tomar dipirona,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
plaquetas baixas dengue,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
remedio para dengue,2,BR-ES,Dengue,2023-04,2025-07-23 15:16
remédio para dengue,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
cid dengue,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
plaquetas baixas,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
sintomas de covid,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
manchas de dengue,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
vacina dengue,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
teste de dengue,1,BR-ES,Dengue,2023-04,2025-07-23 15:16
