risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2024-07,2025-07-31 13:47
sintomas de dengue leve,Dengue,741,TRUE,BR-AL,2024-07,2025-07-31 13:47
,Dengue,,,BR-AM,2024-07,2025-07-31 13:47
dengue hemorrágica,Dengue,0.9,FALSE,BR-AP,2024-07,2025-07-31 13:47
sintomas da dengue,Dengue,0.6,FALSE,BR-AP,2024-07,2025-07-31 13:47
dengue é transmissivel,Dengue,3.5,FALSE,BR-BA,2024-07,2025-07-31 13:47
sinan dengue,Dengue,1.2,FALSE,BR-BA,2024-07,2025-07-31 13:47
tratamento para dengue,Dengue,1.1,FALSE,BR-BA,2024-07,2025-07-31 13:47
dengue hemorrágica sintomas,Dengue,0.9,FALSE,BR-BA,2024-07,2025-07-31 13:47
pode tomar paracetamol com dengue,Dengue,0.9,FALSE,BR-BA,2024-07,2025-07-31 13:47
dengue é contagioso,Dengue,0.5,FALSE,BR-BA,2024-07,2025-07-31 13:47
quais os sintomas da dengue,Dengue,0.4,FALSE,BR-BA,2024-07,2025-07-31 13:47
cid dengue,Dengue,1.2,FALSE,BR-CE,2024-07,2025-07-31 13:47
dengue hemorrágica,Dengue,0.8,FALSE,BR-CE,2024-07,2025-07-31 13:47
dengue sintomas,Dengue,0.4,FALSE,BR-DF,2024-07,2025-07-31 13:47
,Dengue,,,BR-ES,2024-07,2025-07-31 13:47
sinan dengue,Dengue,2.5,FALSE,BR-GO,2024-07,2025-07-31 13:47
vacina dengue goiania,Dengue,1.1,FALSE,BR-GO,2024-07,2025-07-31 13:47
vacina dengue,Dengue,1,FALSE,BR-GO,2024-07,2025-07-31 13:47
plaquetas baixas dengue,Dengue,0.9,FALSE,BR-GO,2024-07,2025-07-31 13:47
dengue hemorrágica,Dengue,0.5,FALSE,BR-GO,2024-07,2025-07-31 13:47
,Dengue,,,BR-MA,2024-07,2025-07-31 13:47
sinan online dengue,Dengue,308.5,TRUE,BR-MG,2024-07,2025-07-31 13:47
queda de cabelo após dengue,Dengue,1.7,FALSE,BR-MG,2024-07,2025-07-31 13:47
remedio pra dengue,Dengue,1.3,FALSE,BR-MG,2024-07,2025-07-31 13:47
dengue faz cair cabelo,Dengue,1.2,FALSE,BR-MG,2024-07,2025-07-31 13:47
sintomas de dengue leve,Dengue,1.1,FALSE,BR-MG,2024-07,2025-07-31 13:47
sequelas da dengue,Dengue,1,FALSE,BR-MG,2024-07,2025-07-31 13:47
dengue online,Dengue,0.7,FALSE,BR-MG,2024-07,2025-07-31 13:47
qual remedio tomar para dengue,Dengue,0.7,FALSE,BR-MG,2024-07,2025-07-31 13:47
dengue da dor de garganta,Dengue,0.6,FALSE,BR-MG,2024-07,2025-07-31 13:47
dengue hemorrágica sintomas,Dengue,0.5,FALSE,BR-MG,2024-07,2025-07-31 13:47
,Dengue,,,BR-MS,2024-07,2025-07-31 13:47
,Dengue,,,BR-MT,2024-07,2025-07-31 13:47
dengue hemorrágica,Dengue,0.6,FALSE,BR-PA,2024-07,2025-07-31 13:47
mosquito da dengue,Dengue,0.4,FALSE,BR-PB,2024-07,2025-07-31 13:47
dengue online,Dengue,1.3,FALSE,BR-PE,2024-07,2025-07-31 13:47
,Dengue,,,BR-PI,2024-07,2025-07-31 13:47
remedios para dengue,Dengue,1097,TRUE,BR-PR,2024-07,2025-07-31 13:47
queda de cabelo após dengue,Dengue,3,FALSE,BR-PR,2024-07,2025-07-31 13:47
pode tomar paracetamol com dengue,Dengue,1.5,FALSE,BR-PR,2024-07,2025-07-31 13:47
sintomas de covid,Dengue,1,FALSE,BR-RJ,2024-07,2025-07-31 13:47
covid sintomas,Dengue,0.9,FALSE,BR-RJ,2024-07,2025-07-31 13:47
dengue tratamento,Dengue,0.6,FALSE,BR-RJ,2024-07,2025-07-31 13:47
dengue hemorrágica sintomas,Dengue,0.5,FALSE,BR-RJ,2024-07,2025-07-31 13:47
cid dengue,Dengue,0.4,FALSE,BR-RJ,2024-07,2025-07-31 13:47
,Dengue,,,BR-RN,2024-07,2025-07-31 13:48
,Dengue,,,BR-RO,2024-07,2025-07-31 13:48
,Dengue,,,BR-RR,2024-07,2025-07-31 13:48
cid dengue,Dengue,1.1,FALSE,BR-RS,2024-07,2025-07-31 13:48
quanto tempo dura a dengue,Dengue,0.9,FALSE,BR-RS,2024-07,2025-07-31 13:48
sintomas h1n1,Dengue,0.6,FALSE,BR-RS,2024-07,2025-07-31 13:48
sinan dengue,Dengue,0.5,FALSE,BR-RS,2024-07,2025-07-31 13:48
vacina dengue,Dengue,0.4,FALSE,BR-RS,2024-07,2025-07-31 13:48
vacina da dengue,Dengue,0.4,FALSE,BR-RS,2024-07,2025-07-31 13:48
dengue em blumenau,Dengue,5.5,FALSE,BR-SC,2024-07,2025-07-31 13:48
sinan dengue,Dengue,1.5,FALSE,BR-SC,2024-07,2025-07-31 13:48
quais os sintomas da dengue,Dengue,0.7,FALSE,BR-SC,2024-07,2025-07-31 13:48
,Dengue,,,BR-SE,2024-07,2025-07-31 13:48
queda de cabelo após dengue,Dengue,5.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
diarreia é sintoma de dengue,Dengue,4,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue faz cair cabelo,Dengue,4,FALSE,BR-SP,2024-07,2025-07-31 13:48
queda de cabelo,Dengue,3.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue causa queda de cabelo,Dengue,3,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue passa de uma pessoa para outra,Dengue,3,FALSE,BR-SP,2024-07,2025-07-31 13:48
qual exame detecta dengue,Dengue,2.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
sintomas.dengue,Dengue,2.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
intoxicação alimentar,Dengue,1.9,FALSE,BR-SP,2024-07,2025-07-31 13:48
posso tomar dorflex com dengue,Dengue,1.8,FALSE,BR-SP,2024-07,2025-07-31 13:48
encefalite por dengue,Dengue,1.6,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue da dor nas costas,Dengue,1.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
sintomas de h1n1,Dengue,1.5,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue assintomática,Dengue,1.4,FALSE,BR-SP,2024-07,2025-07-31 13:48
dengue causa diarreia,Dengue,1.4,FALSE,BR-SP,2024-07,2025-07-31 13:48
