risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2023-05,2025-07-31 13:30
mosquito da dengue,Dengue,0.5,FALSE,BR-AL,2023-05,2025-07-31 13:30
sintomas da dengue,Dengue,0.5,FALSE,BR-AL,2023-05,2025-07-31 13:30
,Dengue,,,BR-AM,2023-05,2025-07-31 13:30
,Dengue,,,BR-AP,2023-05,2025-07-31 13:30
sitomas da dengue,Dengue,371.5,TRUE,BR-BA,2023-05,2025-07-31 13:30
leptospirose,Dengue,252,TRUE,BR-BA,2023-05,2025-07-31 13:30
dengue hemorrágica tem cura,Dengue,137.5,TRUE,BR-BA,2023-05,2025-07-31 13:30
sintomas da zika,Dengue,0.7,FALSE,BR-BA,2023-05,2025-07-31 13:30
sintomas de chikungunya,Dengue,0.5,FALSE,BR-BA,2023-05,2025-07-31 13:30
dengue é transmissivel,Dengue,0.5,FALSE,BR-BA,2023-05,2025-07-31 13:30
mosquito da dengue desenho,Dengue,691,TRUE,BR-CE,2023-05,2025-07-31 13:30
zika sintomas,Dengue,0.4,FALSE,BR-CE,2023-05,2025-07-31 13:30
sintomas de dengue hemorrágica,Dengue,825.5,TRUE,BR-DF,2023-05,2025-07-31 13:30
cid a90,Dengue,2,FALSE,BR-DF,2023-05,2025-07-31 13:30
vacina da dengue,Dengue,1,FALSE,BR-DF,2023-05,2025-07-31 13:30
chikungunya,Dengue,0.5,FALSE,BR-DF,2023-05,2025-07-31 13:30
boca amarga dengue,Dengue,723.5,TRUE,BR-ES,2023-05,2025-07-31 13:30
erupções cutâneas,Dengue,291,TRUE,BR-ES,2023-05,2025-07-31 13:30
dengue é contagioso,Dengue,2,FALSE,BR-ES,2023-05,2025-07-31 13:30
sintomas da gripe,Dengue,0.8,FALSE,BR-ES,2023-05,2025-07-31 13:30
fotos de manchas de dengue,Dengue,0.8,FALSE,BR-ES,2023-05,2025-07-31 13:30
quais são os sintomas da dengue,Dengue,0.7,FALSE,BR-ES,2023-05,2025-07-31 13:30
dengue mata,Dengue,0.6,FALSE,BR-ES,2023-05,2025-07-31 13:30
medicamento para dengue,Dengue,0.5,FALSE,BR-ES,2023-05,2025-07-31 13:30
sintomas da dengue no inicio,Dengue,830,TRUE,BR-GO,2023-05,2025-07-31 13:30
proteina c reativa,Dengue,3,FALSE,BR-GO,2023-05,2025-07-31 13:30
quantos dias dura a dengue,Dengue,2,FALSE,BR-GO,2023-05,2025-07-31 13:30
dengue da diarreia,Dengue,1.8,FALSE,BR-GO,2023-05,2025-07-31 13:30
sintomas de pneumonia,Dengue,1.5,FALSE,BR-GO,2023-05,2025-07-31 13:30
chikungunya sintomas,Dengue,1,FALSE,BR-GO,2023-05,2025-07-31 13:30
sintomas de gripe,Dengue,0.8,FALSE,BR-GO,2023-05,2025-07-31 13:30
sintomas de chikungunya,Dengue,0.4,FALSE,BR-GO,2023-05,2025-07-31 13:30
raiva,Dengue,468,TRUE,BR-MA,2023-05,2025-07-31 13:30
gripe,Dengue,0.8,FALSE,BR-MA,2023-05,2025-07-31 13:30
chikungunya,Dengue,0.6,FALSE,BR-MA,2023-05,2025-07-31 13:30
remedio para dengue,Dengue,0.6,FALSE,BR-MA,2023-05,2025-07-31 13:30
dengue deixa sequelas,Dengue,60,TRUE,BR-MG,2023-05,2025-07-31 13:30
quais os sintomas da dengue e como tratar,Dengue,46,FALSE,BR-MG,2023-05,2025-07-31 13:30
dengue da dor nas pernas,Dengue,2.5,FALSE,BR-MG,2023-05,2025-07-31 13:30
o que a dengue causa no corpo,Dengue,2.5,FALSE,BR-MG,2023-05,2025-07-31 13:30
dengue e transmissíveis,Dengue,2.5,FALSE,BR-MG,2023-05,2025-07-31 13:30
em caso de suspeita de dengue não ingerir,Dengue,2,FALSE,BR-MG,2023-05,2025-07-31 13:30
quanto tempo dura a coceira da dengue,Dengue,2,FALSE,BR-MG,2023-05,2025-07-31 13:30
principais sintomas da dengue,Dengue,1.8,FALSE,BR-MG,2023-05,2025-07-31 13:30
cid a90,Dengue,1.5,FALSE,BR-MG,2023-05,2025-07-31 13:30
febre amarela sintomas,Dengue,1.3,FALSE,BR-MG,2023-05,2025-07-31 13:30
como é feito o teste de dengue,Dengue,1.3,FALSE,BR-MG,2023-05,2025-07-31 13:30
quando a dengue está sarando coça,Dengue,1.2,FALSE,BR-MG,2023-05,2025-07-31 13:30
dengue da diarréia,Dengue,1.1,FALSE,BR-MG,2023-05,2025-07-31 13:30
hepatite,Dengue,1.1,FALSE,BR-MG,2023-05,2025-07-31 13:30
como aumentar as plaquetas dengue,Dengue,1.1,FALSE,BR-MG,2023-05,2025-07-31 13:30
quantos dias de atestado para dengue,Dengue,1,FALSE,BR-MG,2023-05,2025-07-31 13:30
cid 10 dengue,Dengue,1,FALSE,BR-MG,2023-05,2025-07-31 13:30
o'que tomar para dengue,Dengue,1,FALSE,BR-MG,2023-05,2025-07-31 13:30
leucopenia dengue,Dengue,0.9,FALSE,BR-MG,2023-05,2025-07-31 13:30
dengue tipo c,Dengue,0.9,FALSE,BR-MG,2023-05,2025-07-31 13:30
dengue sintomas e tratamento,Dengue,0.9,FALSE,BR-MG,2023-05,2025-07-31 13:30
exame de dengue precisa de jejum,Dengue,0.8,FALSE,BR-MG,2023-05,2025-07-31 13:30
aedes aegypti,Dengue,0.8,FALSE,BR-MG,2023-05,2025-07-31 13:30
sintomas da gripe,Dengue,0.8,FALSE,BR-MG,2023-05,2025-07-31 13:30
sintomas de gravidez,Dengue,0.8,FALSE,BR-MG,2023-05,2025-07-31 13:30
qual remedio nao pode tomar para dengue,Dengue,277.5,TRUE,BR-MS,2023-05,2025-07-31 13:30
manchas de dengue,Dengue,3,FALSE,BR-MS,2023-05,2025-07-31 13:30
pernilongo da dengue,Dengue,1.7,FALSE,BR-MS,2023-05,2025-07-31 13:30
soro caseiro para dengue,Dengue,1.6,FALSE,BR-MS,2023-05,2025-07-31 13:30
qual o sintoma da dengue,Dengue,1.5,FALSE,BR-MS,2023-05,2025-07-31 13:30
qual remedio tomar para dengue,Dengue,1,FALSE,BR-MS,2023-05,2025-07-31 13:30
dengue da diarreia,Dengue,0.9,FALSE,BR-MS,2023-05,2025-07-31 13:30
chikungunya,Dengue,0.4,FALSE,BR-MS,2023-05,2025-07-31 13:30
o que é dengue,Dengue,0.4,FALSE,BR-MS,2023-05,2025-07-31 13:30
chikungunya sintomas,Dengue,1.5,FALSE,BR-MT,2023-05,2025-07-31 13:30
sintomas de pneumonia,Dengue,1.1,FALSE,BR-MT,2023-05,2025-07-31 13:30
leishmaniose,Dengue,2648.5,TRUE,BR-PA,2023-05,2025-07-31 13:30
esquistossomose,Dengue,1052.5,TRUE,BR-PA,2023-05,2025-07-31 13:30
doença de chagas,Dengue,7.5,FALSE,BR-PA,2023-05,2025-07-31 13:30
febre amarela,Dengue,2.5,FALSE,BR-PA,2023-05,2025-07-31 13:30
quais os sintomas da dengue,Dengue,1.8,FALSE,BR-PA,2023-05,2025-07-31 13:30
,Dengue,,,BR-PB,2023-05,2025-07-31 13:30
periodo de incubação da dengue,Dengue,1284,TRUE,BR-PE,2023-05,2025-07-31 13:30
quais são os sintomas da dengue,Dengue,2,FALSE,BR-PE,2023-05,2025-07-31 13:30
mancha de dengue,Dengue,1,FALSE,BR-PE,2023-05,2025-07-31 13:30
sintomas de dengue leve,Dengue,972.5,TRUE,BR-PI,2023-05,2025-07-31 13:30
sintomas de chikungunya,Dengue,0.4,FALSE,BR-PI,2023-05,2025-07-31 13:30
como sao as manchas de dengue,Dengue,84.5,TRUE,BR-PR,2023-05,2025-07-31 13:30
porque dengue coça tanto,Dengue,74,TRUE,BR-PR,2023-05,2025-07-31 13:30
petequias de dengue,Dengue,38.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
sintomas de gripe forte,Dengue,5.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
sintomas de dengue em bebe,Dengue,5,FALSE,BR-PR,2023-05,2025-07-31 13:30
leucopenia,Dengue,3.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
primeiro sintomas da dengue,Dengue,3.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
prostração,Dengue,3.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
quantos dias a dengue fica no corpo,Dengue,3,FALSE,BR-PR,2023-05,2025-07-31 13:30
quanto tempo depois da picada aparecem os sintomas da dengue,Dengue,3,FALSE,BR-PR,2023-05,2025-07-31 13:30
sintomas de intoxicação alimentar,Dengue,1.9,FALSE,BR-PR,2023-05,2025-07-31 13:30
qual remedio nao tomar com dengue,Dengue,1.7,FALSE,BR-PR,2023-05,2025-07-31 13:30
como aumentar plaquetas dengue,Dengue,1.7,FALSE,BR-PR,2023-05,2025-07-31 13:30
dengue antigeno ns1,Dengue,1.6,FALSE,BR-PR,2023-05,2025-07-31 13:30
sintomas de anemia,Dengue,1.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
exantema,Dengue,1.5,FALSE,BR-PR,2023-05,2025-07-31 13:30
dengue deixa sequelas,Dengue,1.2,FALSE,BR-PR,2023-05,2025-07-31 13:30
dengue vermelhidão,Dengue,1,FALSE,BR-PR,2023-05,2025-07-31 13:30
dexclorfeniramina,Dengue,1,FALSE,BR-PR,2023-05,2025-07-31 13:30
sintomas influenza,Dengue,0.9,FALSE,BR-PR,2023-05,2025-07-31 13:30
gatorade é bom para dengue,Dengue,0.9,FALSE,BR-PR,2023-05,2025-07-31 13:30
como evitar a dengue,Dengue,0.8,FALSE,BR-PR,2023-05,2025-07-31 13:30
sorologia para dengue,Dengue,0.8,FALSE,BR-PR,2023-05,2025-07-31 13:30
fotos de manchas de dengue,Dengue,0.8,FALSE,BR-PR,2023-05,2025-07-31 13:30
dengue igg,Dengue,0.7,FALSE,BR-PR,2023-05,2025-07-31 13:30
como saber se estou com dengue,Dengue,327,TRUE,BR-RJ,2023-05,2025-07-31 13:30
dengue coça o corpo,Dengue,201.5,TRUE,BR-RJ,2023-05,2025-07-31 13:30
quem tem dengue pode tomar dipirona,Dengue,174.5,TRUE,BR-RJ,2023-05,2025-07-31 13:30
sinais de alarme dengue,Dengue,164,TRUE,BR-RJ,2023-05,2025-07-31 13:30
dengue quantos dias de repouso,Dengue,150,TRUE,BR-RJ,2023-05,2025-07-31 13:30
dengue coça,Dengue,2.5,FALSE,BR-RJ,2023-05,2025-07-31 13:30
pneumonia,Dengue,2,FALSE,BR-RJ,2023-05,2025-07-31 13:30
dengue sintomas finais,Dengue,1.6,FALSE,BR-RJ,2023-05,2025-07-31 13:30
vacina da dengue existe,Dengue,1.2,FALSE,BR-RJ,2023-05,2025-07-31 13:30
vacina para dengue,Dengue,1.1,FALSE,BR-RJ,2023-05,2025-07-31 13:30
tratamentos para dengue,Dengue,0.7,FALSE,BR-RJ,2023-05,2025-07-31 13:30
plaquetas baixas,Dengue,0.7,FALSE,BR-RJ,2023-05,2025-07-31 13:30
cid dengue,Dengue,0.6,FALSE,BR-RJ,2023-05,2025-07-31 13:30
dengue passa,Dengue,0.6,FALSE,BR-RJ,2023-05,2025-07-31 13:30
