risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,/m/09wsg,0.6,FALSE,BR-AC,2022-07,2025-07-31 14:20
sequelas da dengue,/m/09wsg,2.5,FALSE,BR-AL,2022-07,2025-07-31 14:20
"sintomas da dengue, zika e chikungunya",/m/09wsg,1.6,FALSE,BR-AL,2022-07,2025-07-31 14:20
sintomas da dengue hemorrágica,/m/09wsg,1.1,FALSE,BR-AL,2022-07,2025-07-31 14:20
quanto tempo dura os sintomas da dengue,/m/09wsg,1.1,FALSE,BR-AL,2022-07,2025-07-31 14:20
sintomas do covid,/m/09wsg,1,FALSE,BR-AL,2022-07,2025-07-31 14:20
dengue é transmissivel,/m/09wsg,0.6,FALSE,BR-AL,2022-07,2025-07-31 14:20
quais os sintomas da chikungunya,/m/09wsg,0.5,FALSE,BR-AL,2022-07,2025-07-31 14:20
sintomas da zika,/m/09wsg,0.4,FALSE,BR-AL,2022-07,2025-07-31 14:20
sintomas de dengue,/m/09wsg,0.6,FALSE,BR-AM,2022-07,2025-07-31 14:20
sintomas da dengue,/m/09wsg,0.6,FALSE,BR-AP,2022-07,2025-07-31 14:20
sintomas de covid,/m/09wsg,0.6,FALSE,BR-BA,2022-07,2025-07-31 14:20
febre amarela,/m/09wsg,0.6,FALSE,BR-BA,2022-07,2025-07-31 14:20
quais são os sintomas da dengue,/m/09wsg,0.5,FALSE,BR-BA,2022-07,2025-07-31 14:20
sintomas da covid,/m/09wsg,0.5,FALSE,BR-BA,2022-07,2025-07-31 14:20
sintomas da dengue normal,/m/09wsg,3,FALSE,BR-CE,2022-07,2025-07-31 14:20
cid 10 dengue,/m/09wsg,2.5,FALSE,BR-CE,2022-07,2025-07-31 14:20
sintomas de covid,/m/09wsg,1.6,FALSE,BR-CE,2022-07,2025-07-31 14:20
sintomas da covid,/m/09wsg,1.5,FALSE,BR-CE,2022-07,2025-07-31 14:20
sintomas do covid,/m/09wsg,1.4,FALSE,BR-CE,2022-07,2025-07-31 14:20
quanto tempo dura a dengue,/m/09wsg,1.1,FALSE,BR-CE,2022-07,2025-07-31 14:20
sintomas do chikungunya,/m/09wsg,1.1,FALSE,BR-CE,2022-07,2025-07-31 14:20
quantos dias dura a dengue,/m/09wsg,0.9,FALSE,BR-CE,2022-07,2025-07-31 14:20
quais os sintomas da chikungunya,/m/09wsg,0.8,FALSE,BR-CE,2022-07,2025-07-31 14:20
sintoma da dengue,/m/09wsg,0.7,FALSE,BR-CE,2022-07,2025-07-31 14:20
exantema,/m/09wsg,0.6,FALSE,BR-CE,2022-07,2025-07-31 14:20
qual o sintomas da dengue,/m/09wsg,0.6,FALSE,BR-CE,2022-07,2025-07-31 14:20
quais os sintomas de dengue,/m/09wsg,0.5,FALSE,BR-CE,2022-07,2025-07-31 14:20
qual os sintomas da dengue,/m/09wsg,0.5,FALSE,BR-CE,2022-07,2025-07-31 14:20
dengue é transmissivel,/m/09wsg,0.5,FALSE,BR-CE,2022-07,2025-07-31 14:20
dengue é contagiosa,/m/09wsg,0.4,FALSE,BR-CE,2022-07,2025-07-31 14:20
dengue hemorrágica sintomas,/m/09wsg,1.4,FALSE,BR-DF,2022-07,2025-07-31 14:20
dengue hemorrágica,/m/09wsg,0.5,FALSE,BR-DF,2022-07,2025-07-31 14:20
quais os sintomas da dengue,/m/09wsg,0.7,FALSE,BR-ES,2022-07,2025-07-31 14:20
plaquetas baixas,/m/09wsg,0.9,FALSE,BR-GO,2022-07,2025-07-31 14:20
sintomas de gripe,/m/09wsg,0.8,FALSE,BR-GO,2022-07,2025-07-31 14:20
dengue da dor de garganta,/m/09wsg,0.6,FALSE,BR-GO,2022-07,2025-07-31 14:20
dengue cid,/m/09wsg,0.5,FALSE,BR-GO,2022-07,2025-07-31 14:20
pode tomar dipirona com dengue,/m/09wsg,0.4,FALSE,BR-GO,2022-07,2025-07-31 14:20
sintomas de covid,/m/09wsg,2.5,FALSE,BR-MA,2022-07,2025-07-31 14:20
remedio para dengue,/m/09wsg,2,FALSE,BR-MA,2022-07,2025-07-31 14:20
dengue hemorrágica,/m/09wsg,0.4,FALSE,BR-MA,2022-07,2025-07-31 14:20
quanto tempo dura os sintomas da dengue,/m/09wsg,4,FALSE,BR-MG,2022-07,2025-07-31 14:20
dengue sintomas iniciais,/m/09wsg,1.1,FALSE,BR-MG,2022-07,2025-07-31 14:20
dengue é contagioso,/m/09wsg,0.7,FALSE,BR-MG,2022-07,2025-07-31 14:20
cid dengue,/m/09wsg,0.6,FALSE,BR-MG,2022-07,2025-07-31 14:20
quais são os sintomas da dengue,/m/09wsg,0.5,FALSE,BR-MG,2022-07,2025-07-31 14:20
sintomas covid,/m/09wsg,0.6,FALSE,BR-MS,2022-07,2025-07-31 14:20
quais são os sintomas da dengue,/m/09wsg,1542.5,TRUE,BR-MT,2022-07,2025-07-31 14:20
sintomas do covid,/m/09wsg,1.2,FALSE,BR-MT,2022-07,2025-07-31 14:20
sintomas covid,/m/09wsg,0.9,FALSE,BR-MT,2022-07,2025-07-31 14:20
sintomas da covid,/m/09wsg,0.6,FALSE,BR-MT,2022-07,2025-07-31 14:20
,/m/09wsg,,,BR-PA,2022-07,2025-07-31 14:20
