topSearches,value,geo,keyword,time,sys_time
dengue sintomas,100,BR-AC,Dengue,2024-11,2025-07-30 15:41
dengue,100,BR-AL,Dengue,2024-11,2025-07-30 15:41
mosquito da dengue,15,BR-AL,Dengue,2024-11,2025-07-30 15:41
sintomas de dengue,7,BR-AL,Dengue,2024-11,2025-07-30 15:41
sintomas da dengue,3,BR-AL,Dengue,2024-11,2025-07-30 15:41
dengue,100,BR-AM,Dengue,2024-11,2025-07-30 15:41
dengue sintomas,12,BR-AM,Dengue,2024-11,2025-07-30 15:41
sintomas da dengue,4,BR-AM,Dengue,2024-11,2025-07-30 15:41
,,BR-AP,Dengue,2024-11,2025-07-30 15:41
dengue,100,BR-BA,Dengue,2024-11,2025-07-30 15:41
dengue sintomas,16,BR-BA,Dengue,2024-11,2025-07-30 15:41
mosquito da dengue,9,BR-BA,Dengue,2024-11,2025-07-30 15:41
sintomas de dengue,8,BR-BA,Dengue,2024-11,2025-07-30 15:41
sintomas da dengue,6,BR-BA,Dengue,2024-11,2025-07-30 15:41
vacina da dengue,4,BR-BA,Dengue,2024-11,2025-07-30 15:41
dengue hemorrágica,3,BR-BA,Dengue,2024-11,2025-07-30 15:41
dengue,100,BR-CE,Dengue,2024-11,2025-07-30 15:41
sintomas de dengue,8,BR-CE,Dengue,2024-11,2025-07-30 15:41
mosquito da dengue,8,BR-CE,Dengue,2024-11,2025-07-30 15:41
sintomas da dengue,7,BR-CE,Dengue,2024-11,2025-07-30 15:41
dengue,100,BR-DF,Dengue,2024-11,2025-07-30 15:41
dengue sintomas,16,BR-DF,Dengue,2024-11,2025-07-30 15:41
mosquito da dengue,13,BR-DF,Dengue,2024-11,2025-07-30 15:41
vacina dengue,13,BR-DF,Dengue,2024-11,2025-07-30 15:41
sintomas de dengue,6,BR-DF,Dengue,2024-11,2025-07-30 15:41
vacina da dengue,5,BR-DF,Dengue,2024-11,2025-07-30 15:41
