risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,Dengue,12670,TRUE,BR-AC,2023-10,2025-07-31 13:36
dengue sintomas,Dengue,0.7,FALSE,BR-AL,2023-10,2025-07-31 13:36
sintomas de dengue,Dengue,0.5,FALSE,BR-AL,2023-10,2025-07-31 13:36
,Dengue,,,BR-AM,2023-10,2025-07-31 13:36
sintomas de dengue,Dengue,0.4,FALSE,BR-AP,2023-10,2025-07-31 13:36
sintomas de dengue hemorrágica,Dengue,5,FALSE,BR-BA,2023-10,2025-07-31 13:36
quais os sintomas da dengue,Dengue,0.5,FALSE,BR-BA,2023-10,2025-07-31 13:36
,Dengue,,,BR-CE,2023-10,2025-07-31 13:36
cid dengue,Dengue,0.6,FALSE,BR-DF,2023-10,2025-07-31 13:36
dengue hemorrágica,Dengue,1.1,FALSE,BR-ES,2023-10,2025-07-31 13:36
dengue tratamento,Dengue,0.4,FALSE,BR-ES,2023-10,2025-07-31 13:36
dengue pode tomar dipirona,Dengue,0.5,FALSE,BR-GO,2023-10,2025-07-31 13:36
,Dengue,,,BR-MA,2023-10,2025-07-31 13:36
qual remedio tomar para dengue,Dengue,251,TRUE,BR-MG,2023-10,2025-07-31 13:36
dengue cid,Dengue,1.1,FALSE,BR-MG,2023-10,2025-07-31 13:36
manchas de dengue,Dengue,1,FALSE,BR-MG,2023-10,2025-07-31 13:36
teste de dengue,Dengue,0.9,FALSE,BR-MG,2023-10,2025-07-31 13:36
sintomas dengue leve,Dengue,0.9,FALSE,BR-MG,2023-10,2025-07-31 13:36
sintomas de dengue leve,Dengue,0.9,FALSE,BR-MG,2023-10,2025-07-31 13:36
sintomas de dengue hemorrágica,Dengue,0.7,FALSE,BR-MG,2023-10,2025-07-31 13:36
vacina da dengue,Dengue,0.6,FALSE,BR-MG,2023-10,2025-07-31 13:36
exame de dengue,Dengue,0.5,FALSE,BR-MG,2023-10,2025-07-31 13:36
mosquito da dengue,Dengue,0.9,FALSE,BR-MS,2023-10,2025-07-31 13:36
,Dengue,,,BR-MT,2023-10,2025-07-31 13:36
,Dengue,,,BR-PA,2023-10,2025-07-31 13:36
,Dengue,,,BR-PB,2023-10,2025-07-31 13:36
sintomas da dengue,Dengue,0.8,FALSE,BR-PE,2023-10,2025-07-31 13:36
,Dengue,,,BR-PI,2023-10,2025-07-31 13:36
manchas de dengue,Dengue,1044,TRUE,BR-PR,2023-10,2025-07-31 13:36
dengue da dor de garganta,Dengue,736,TRUE,BR-PR,2023-10,2025-07-31 13:36
quais os sintomas da dengue,Dengue,0.9,FALSE,BR-PR,2023-10,2025-07-31 13:36
sintomas covid,Dengue,0.7,FALSE,BR-PR,2023-10,2025-07-31 13:36
pernilongo,Dengue,0.6,FALSE,BR-PR,2023-10,2025-07-31 13:36
sintomas de dengue leve,Dengue,731.5,TRUE,BR-RJ,2023-10,2025-07-31 13:36
dengue sintomas iniciais,Dengue,623,TRUE,BR-RJ,2023-10,2025-07-31 13:36
quais são os sintomas da dengue,Dengue,237.5,TRUE,BR-RJ,2023-10,2025-07-31 13:36
prevenção da dengue,Dengue,1.7,FALSE,BR-RJ,2023-10,2025-07-31 13:36
virose,Dengue,1.6,FALSE,BR-RJ,2023-10,2025-07-31 13:36
sintomas de dengue hemorrágica,Dengue,1.2,FALSE,BR-RJ,2023-10,2025-07-31 13:36
sintomas de covid,Dengue,0.4,FALSE,BR-RJ,2023-10,2025-07-31 13:36
mosquito da dengue,Dengue,0.5,FALSE,BR-RN,2023-10,2025-07-31 13:36
dengue sintomas,Dengue,0.5,FALSE,BR-RO,2023-10,2025-07-31 13:36
,Dengue,,,BR-RR,2023-10,2025-07-31 13:36
sintomas da dengue,Dengue,0.4,FALSE,BR-RS,2023-10,2025-07-31 13:36
dengue hemorrágica,Dengue,1.3,FALSE,BR-SC,2023-10,2025-07-31 13:36
sinan dengue,Dengue,0.5,FALSE,BR-SC,2023-10,2025-07-31 13:36
,Dengue,,,BR-SE,2023-10,2025-07-31 13:36
sintomas de dengue em crianças,Dengue,174,TRUE,BR-SP,2023-10,2025-07-31 13:36
dengo sinônimo,Dengue,90,TRUE,BR-SP,2023-10,2025-07-31 13:36
sintomas da covid,Dengue,2.5,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue sintomas iniciais,Dengue,2,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas da dengue e tratamento,Dengue,1.7,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas do covid,Dengue,1.6,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue sintomas e tratamento,Dengue,1.6,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue é transmissivel,Dengue,1.4,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengo,Dengue,1.4,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue transmite de uma pessoa para outra,Dengue,1.3,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas de covid,Dengue,1.2,FALSE,BR-SP,2023-10,2025-07-31 13:36
pernilongo da dengue,Dengue,1.1,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintoma dengue,Dengue,1,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas gripe,Dengue,0.8,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas covid,Dengue,0.7,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintoma de dengue,Dengue,0.7,FALSE,BR-SP,2023-10,2025-07-31 13:36
pernilongo,Dengue,0.6,FALSE,BR-SP,2023-10,2025-07-31 13:36
sintomas de gravidez,Dengue,0.6,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue passa,Dengue,0.5,FALSE,BR-SP,2023-10,2025-07-31 13:36
dengue em bebe,Dengue,0.4,FALSE,BR-SP,2023-10,2025-07-31 13:36
