risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas de dengue,/m/09wsg,8724,TRUE,BR-AC,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,3,FALSE,BR-AL,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,0.6,FALSE,BR-AM,2023-07,2025-07-31 14:33
,/m/09wsg,,,BR-AP,2023-07,2025-07-31 14:33
mortes por dengue 2023,/m/09wsg,778.5,TRUE,BR-BA,2023-07,2025-07-31 14:33
sintomas da dengue 2023,/m/09wsg,493,TRUE,BR-BA,2023-07,2025-07-31 14:33
sintomas de dengue leve,/m/09wsg,473,TRUE,BR-BA,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,2.5,FALSE,BR-BA,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,2.5,FALSE,BR-BA,2023-07,2025-07-31 14:33
prevenção da dengue,/m/09wsg,2.5,FALSE,BR-BA,2023-07,2025-07-31 14:33
quais são os sintomas da dengue,/m/09wsg,2.5,FALSE,BR-BA,2023-07,2025-07-31 14:33
sintoma de dengue,/m/09wsg,2,FALSE,BR-BA,2023-07,2025-07-31 14:33
vacina contra dengue,/m/09wsg,2,FALSE,BR-BA,2023-07,2025-07-31 14:33
agente etiológico da dengue,/m/09wsg,1.3,FALSE,BR-BA,2023-07,2025-07-31 14:33
qual o sintoma da dengue,/m/09wsg,1,FALSE,BR-BA,2023-07,2025-07-31 14:33
dengue é transmissivel,/m/09wsg,0.8,FALSE,BR-BA,2023-07,2025-07-31 14:33
tratamento da dengue,/m/09wsg,0.6,FALSE,BR-BA,2023-07,2025-07-31 14:33
cid dengue,/m/09wsg,1492.5,TRUE,BR-CE,2023-07,2025-07-31 14:33
vacina contra dengue,/m/09wsg,4.5,FALSE,BR-CE,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,2.5,FALSE,BR-CE,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,2.5,FALSE,BR-CE,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,2.5,FALSE,BR-DF,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,2,FALSE,BR-DF,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,3,FALSE,BR-ES,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,2,FALSE,BR-ES,2023-07,2025-07-31 14:33
vacina contra dengue,/m/09wsg,1,FALSE,BR-ES,2023-07,2025-07-31 14:33
quais os sintomas da dengue,/m/09wsg,0.4,FALSE,BR-ES,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,3,FALSE,BR-GO,2023-07,2025-07-31 14:33
dengue pode tomar dipirona,/m/09wsg,2.5,FALSE,BR-GO,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,2.5,FALSE,BR-GO,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,4,FALSE,BR-MA,2023-07,2025-07-31 14:33
quais os sintomas da dengue,/m/09wsg,1.5,FALSE,BR-MA,2023-07,2025-07-31 14:33
mortes por dengue 2023,/m/09wsg,10.5,FALSE,BR-MG,2023-07,2025-07-31 14:33
vacina contra dengue,/m/09wsg,4.5,FALSE,BR-MG,2023-07,2025-07-31 14:33
vacina da dengue,/m/09wsg,4,FALSE,BR-MG,2023-07,2025-07-31 14:33
vacina dengue,/m/09wsg,4,FALSE,BR-MG,2023-07,2025-07-31 14:33
vacina da dengue valor,/m/09wsg,3.5,FALSE,BR-MG,2023-07,2025-07-31 14:33
dengue xuxa,/m/09wsg,2.5,FALSE,BR-MG,2023-07,2025-07-31 14:33
