risingSearches,keyword,value,unknown,geo,time,sys_time
,/m/09wsg,,,BR-AC,2023-06,2025-07-31 14:32
,/m/09wsg,,,BR-AL,2023-06,2025-07-31 14:32
dengue tratamento,/m/09wsg,0.8,FALSE,BR-AM,2023-06,2025-07-31 14:32
,/m/09wsg,,,BR-AP,2023-06,2025-07-31 14:32
quem está com dengue pode tomar dipirona,/m/09wsg,243.5,TRUE,BR-BA,2023-06,2025-07-31 14:32
plaquetas baixas,/m/09wsg,2,FALSE,BR-BA,2023-06,2025-07-31 14:32
"sintomas de dengue, chikungunya",/m/09wsg,2,FALSE,BR-BA,2023-06,2025-07-31 14:32
vacina contra dengue,/m/09wsg,1.7,FALSE,BR-BA,2023-06,2025-07-31 14:32
zica,/m/09wsg,1.7,FALSE,BR-BA,2023-06,2025-07-31 14:32
vacina dengue,/m/09wsg,0.9,FALSE,BR-BA,2023-06,2025-07-31 14:32
pode tomar dipirona com dengue,/m/09wsg,0.7,FALSE,BR-BA,2023-06,2025-07-31 14:32
dengue é contagioso,/m/09wsg,0.6,FALSE,BR-BA,2023-06,2025-07-31 14:32
dengue sintomas iniciais,/m/09wsg,0.5,FALSE,BR-BA,2023-06,2025-07-31 14:32
dengue cid,/m/09wsg,0.4,FALSE,BR-BA,2023-06,2025-07-31 14:32
vacina da dengue,/m/09wsg,0.7,FALSE,BR-CE,2023-06,2025-07-31 14:32
dengue hemorrágica sintomas,/m/09wsg,0.6,FALSE,BR-CE,2023-06,2025-07-31 14:32
vacina dengue,/m/09wsg,0.5,FALSE,BR-CE,2023-06,2025-07-31 14:32
vacina dengue,/m/09wsg,0.8,FALSE,BR-DF,2023-06,2025-07-31 14:32
dengue hemorrágica,/m/09wsg,0.4,FALSE,BR-DF,2023-06,2025-07-31 14:32
vacina da dengue,/m/09wsg,3.5,FALSE,BR-ES,2023-06,2025-07-31 14:32
dengue pode tomar dipirona,/m/09wsg,0.5,FALSE,BR-ES,2023-06,2025-07-31 14:32
quais são os sintomas da dengue,/m/09wsg,397,TRUE,BR-GO,2023-06,2025-07-31 14:32
sintomas de gravidez,/m/09wsg,5,FALSE,BR-GO,2023-06,2025-07-31 14:32
vacina dengue,/m/09wsg,2,FALSE,BR-GO,2023-06,2025-07-31 14:32
vacina da dengue,/m/09wsg,1.7,FALSE,BR-GO,2023-06,2025-07-31 14:32
dengue cid,/m/09wsg,0.7,FALSE,BR-GO,2023-06,2025-07-31 14:32
dengue tratamento,/m/09wsg,0.6,FALSE,BR-GO,2023-06,2025-07-31 14:32
quais os sintomas da dengue,/m/09wsg,0.6,FALSE,BR-GO,2023-06,2025-07-31 14:32
dengue hemorrágica,/m/09wsg,0.4,FALSE,BR-GO,2023-06,2025-07-31 14:32
mosquito da dengue,/m/09wsg,0.5,FALSE,BR-MA,2023-06,2025-07-31 14:32
sintomas de chikungunya,/m/09wsg,0.4,FALSE,BR-MA,2023-06,2025-07-31 14:32
febre maculosa sintomas,/m/09wsg,294.5,TRUE,BR-MG,2023-06,2025-07-31 14:32
caxumba,/m/09wsg,286,TRUE,BR-MG,2023-06,2025-07-31 14:32
vacina da dengue valor,/m/09wsg,165,TRUE,BR-MG,2023-06,2025-07-31 14:32
sintomas de febre maculosa,/m/09wsg,160,TRUE,BR-MG,2023-06,2025-07-31 14:32
