risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2025-08,2025-08-06 17:59
dengue é transmissivel,Dengue,11.5,FALSE,BR-AL,2025-08,2025-08-06 17:59
quais são os sintomas da dengue,Dengue,5,FALSE,BR-AL,2025-08,2025-08-06 17:59
zika virus,Dengue,1.7,FALSE,BR-AL,2025-08,2025-08-06 17:59
quais os sintomas da dengue,Dengue,1.7,FALSE,BR-AL,2025-08,2025-08-06 17:59
dengue zika e chikungunya,Dengue,0.9,FALSE,BR-AL,2025-08,2025-08-06 17:59
,Dengue,,,BR-AM,2025-08,2025-08-06 17:59
sintomas de dengue,Dengue,4,FALSE,BR-AP,2025-08,2025-08-06 17:59
denga,Dengue,22.5,FALSE,BR-BA,2025-08,2025-08-06 17:59
pesquisa sobre a dengue,Dengue,10.5,FALSE,BR-BA,2025-08,2025-08-06 17:59
sintomas de chikungunya,Dengue,1,FALSE,BR-BA,2025-08,2025-08-06 17:59
quais os sintomas da dengue,Dengue,0.6,FALSE,BR-BA,2025-08,2025-08-06 17:59
dengue online,Dengue,5,FALSE,BR-CE,2025-08,2025-08-06 18:00
pode tomar dipirona com dengue,Dengue,3,FALSE,BR-CE,2025-08,2025-08-06 18:00
sintomas da dengue,Dengue,0.5,FALSE,BR-CE,2025-08,2025-08-06 18:00
dengue pode tomar dipirona,Dengue,0.4,FALSE,BR-CE,2025-08,2025-08-06 18:00
mosquito da dengue,Dengue,0.9,FALSE,BR-DF,2025-08,2025-08-06 18:00
sintomas da dengue,Dengue,0.8,FALSE,BR-ES,2025-08,2025-08-06 18:00
dengue da diarreia,Dengue,10,FALSE,BR-GO,2025-08,2025-08-06 18:00
pode tomar paracetamol com dengue,Dengue,3.5,FALSE,BR-GO,2025-08,2025-08-06 18:00
remedio para dengue,Dengue,1.7,FALSE,BR-GO,2025-08,2025-08-06 18:00
dengue pode tomar dipirona,Dengue,1.3,FALSE,BR-GO,2025-08,2025-08-06 18:00
quais os sintomas da dengue,Dengue,1.1,FALSE,BR-GO,2025-08,2025-08-06 18:00
dengue cid,Dengue,0.7,FALSE,BR-GO,2025-08,2025-08-06 18:00
cid de dengue,Dengue,0.5,FALSE,BR-GO,2025-08,2025-08-06 18:00
cid dengue,Dengue,6,FALSE,BR-MA,2025-08,2025-08-06 18:00
dengue hemorrágica,Dengue,1.9,FALSE,BR-MA,2025-08,2025-08-06 18:00
sintomas dengue,Dengue,0.5,FALSE,BR-MA,2025-08,2025-08-06 18:00
sintomas de dengue leve,Dengue,9,FALSE,BR-MG,2025-08,2025-08-06 18:00
esquistossomose,Dengue,6.5,FALSE,BR-MG,2025-08,2025-08-06 18:00
qual remedio tomar para dengue,Dengue,3.5,FALSE,BR-MG,2025-08,2025-08-06 18:00
teste rapido dengue,Dengue,0.9,FALSE,BR-MG,2025-08,2025-08-06 18:00
sintomas de pneumonia,Dengue,0.6,FALSE,BR-MG,2025-08,2025-08-06 18:00
dengue pode tomar dipirona,Dengue,0.5,FALSE,BR-MG,2025-08,2025-08-06 18:00
dengue hemorrágica,Dengue,0.5,FALSE,BR-MG,2025-08,2025-08-06 18:00
cid dengue,Dengue,0.4,FALSE,BR-MG,2025-08,2025-08-06 18:00
sintomas de dengue,Dengue,0.7,FALSE,BR-MS,2025-08,2025-08-06 18:00
sintomas da chikungunya,Dengue,3.5,FALSE,BR-MT,2025-08,2025-08-06 18:00
sintomas da dengue,Dengue,1.4,FALSE,BR-MT,2025-08,2025-08-06 18:00
dengue online,Dengue,1,FALSE,BR-MT,2025-08,2025-08-06 18:00
cid dengue,Dengue,4,FALSE,BR-PA,2025-08,2025-08-06 18:00
pode tomar dipirona com dengue,Dengue,0.8,FALSE,BR-PB,2025-08,2025-08-06 18:00
febre amarela,Dengue,9.5,FALSE,BR-PE,2025-08,2025-08-06 18:00
tratamento para dengue,Dengue,5.5,FALSE,BR-PE,2025-08,2025-08-06 18:00
dengue hemorrágica tem cura,Dengue,4,FALSE,BR-PE,2025-08,2025-08-06 18:00
dengue pode tomar paracetamol,Dengue,3.5,FALSE,BR-PE,2025-08,2025-08-06 18:00
