topSearches,value,geo,keyword,time,sys_time
,,BR-AC,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-AL,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,23,BR-AL,Dengue,2021-09,2025-07-23 14:21
sintomas da dengue,15,BR-AL,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,6,BR-AL,Dengue,2021-09,2025-07-23 14:21
dengue hemorrágica,5,BR-AL,Dengue,2021-09,2025-07-23 14:21
quais os sintomas da dengue,3,BR-AL,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-AM,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,23,BR-AM,Dengue,2021-09,2025-07-23 14:21
,,BR-AP,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-BA,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,20,BR-BA,Dengue,2021-09,2025-07-23 14:21
mosquito da dengue,15,BR-BA,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,10,BR-BA,Dengue,2021-09,2025-07-23 14:21
sintomas da dengue,9,BR-BA,Dengue,2021-09,2025-07-23 14:21
quais são os sintomas da dengue,2,BR-BA,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-CE,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,24,BR-CE,Dengue,2021-09,2025-07-23 14:21
sintomas da dengue,12,BR-CE,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,6,BR-CE,Dengue,2021-09,2025-07-23 14:21
quais os sintomas da dengue,3,BR-CE,Dengue,2021-09,2025-07-23 14:21
dengue hemorrágica,3,BR-CE,Dengue,2021-09,2025-07-23 14:21
dengue online,1,BR-CE,Dengue,2021-09,2025-07-23 14:21
dengue é contagiosa,1,BR-CE,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-DF,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,24,BR-DF,Dengue,2021-09,2025-07-23 14:21
sintomas da dengue,11,BR-DF,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,8,BR-DF,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-ES,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,22,BR-ES,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,11,BR-ES,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-GO,Dengue,2021-09,2025-07-23 14:21
dengue sintomas,21,BR-GO,Dengue,2021-09,2025-07-23 14:21
sintomas da dengue,10,BR-GO,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,10,BR-GO,Dengue,2021-09,2025-07-23 14:21
sintomas covid,2,BR-GO,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-MA,Dengue,2021-09,2025-07-23 14:21
dengue,100,BR-MG,Dengue,2021-09,2025-07-23 14:21
sintomas dengue,21,BR-MG,Dengue,2021-09,2025-07-23 14:21
mosquito da dengue,11,BR-MG,Dengue,2021-09,2025-07-23 14:21
sintomas de dengue,9,BR-MG,Dengue,2021-09,2025-07-23 14:21
