risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2024-06,2025-07-31 13:46
dengue tipo 2,Dengue,1321.5,TRUE,BR-AL,2024-06,2025-07-31 13:46
dengue hemorrágica sintomas,Dengue,1.5,FALSE,BR-AL,2024-06,2025-07-31 13:46
sintomas de dengue hemorrágica,Dengue,0.8,FALSE,BR-AL,2024-06,2025-07-31 13:46
dengue hemorrágica,Dengue,0.6,FALSE,BR-AL,2024-06,2025-07-31 13:46
,Dengue,,,BR-AM,2024-06,2025-07-31 13:46
,Dengue,,,BR-AP,2024-06,2025-07-31 13:46
dengue sintomas finais,Dengue,4,FALSE,BR-BA,2024-06,2025-07-31 13:46
vacina dengue salvador,Dengue,2,FALSE,BR-BA,2024-06,2025-07-31 13:46
quantos dias dura a dengue,Dengue,1.6,FALSE,BR-BA,2024-06,2025-07-31 13:46
vacina da dengue,Dengue,0.9,FALSE,BR-BA,2024-06,2025-07-31 13:46
dengue manchas vermelhas,Dengue,0.8,FALSE,BR-BA,2024-06,2025-07-31 13:46
vacina dengue,Dengue,0.8,FALSE,BR-BA,2024-06,2025-07-31 13:46
quais remedios nao pode tomar com dengue,Dengue,0.8,FALSE,BR-BA,2024-06,2025-07-31 13:46
dengue online,Dengue,0.5,FALSE,BR-BA,2024-06,2025-07-31 13:46
quais são os sintomas da dengue,Dengue,0.5,FALSE,BR-BA,2024-06,2025-07-31 13:46
sintomas de dengue hemorrágica,Dengue,0.4,FALSE,BR-BA,2024-06,2025-07-31 13:46
cid dengue,Dengue,0.4,FALSE,BR-CE,2024-06,2025-07-31 13:46
mosquito da dengue,Dengue,0.6,FALSE,BR-DF,2024-06,2025-07-31 13:46
cid dengue,Dengue,1.4,FALSE,BR-ES,2024-06,2025-07-31 13:46
vacina da dengue,Dengue,0.6,FALSE,BR-ES,2024-06,2025-07-31 13:46
mosquito da dengue,Dengue,0.7,FALSE,BR-GO,2024-06,2025-07-31 13:46
cid dengue,Dengue,0.5,FALSE,BR-GO,2024-06,2025-07-31 13:46
vacina dengue goiania,Dengue,0.5,FALSE,BR-GO,2024-06,2025-07-31 13:46
remedio para dengue,Dengue,2,FALSE,BR-MA,2024-06,2025-07-31 13:46
diarreia é sintoma de dengue,Dengue,92,TRUE,BR-MG,2024-06,2025-07-31 13:46
boca amarga é sintoma de dengue,Dengue,4.5,FALSE,BR-MG,2024-06,2025-07-31 13:46
sinais de alarme dengue,Dengue,3,FALSE,BR-MG,2024-06,2025-07-31 13:46
dor de garganta é sintoma de dengue,Dengue,3,FALSE,BR-MG,2024-06,2025-07-31 13:46
queda de cabelo após dengue,Dengue,3,FALSE,BR-MG,2024-06,2025-07-31 13:46
texto sobre a dengue,Dengue,2.5,FALSE,BR-MG,2024-06,2025-07-31 13:46
sintomas de pneumonia,Dengue,2,FALSE,BR-MG,2024-06,2025-07-31 13:46
foto do mosquito da dengue,Dengue,1.7,FALSE,BR-MG,2024-06,2025-07-31 13:46
dengue faz cair cabelo,Dengue,1.6,FALSE,BR-MG,2024-06,2025-07-31 13:46
sinan dengue,Dengue,1.1,FALSE,BR-MG,2024-06,2025-07-31 13:46
notificação de dengue,Dengue,1.1,FALSE,BR-MG,2024-06,2025-07-31 13:46
qual antialérgico pode tomar com dengue,Dengue,1.1,FALSE,BR-MG,2024-06,2025-07-31 13:46
dengue online,Dengue,1.1,FALSE,BR-MG,2024-06,2025-07-31 13:46
prevenção da dengue,Dengue,1.1,FALSE,BR-MG,2024-06,2025-07-31 13:46
sintomas covid 2024,Dengue,1,FALSE,BR-MG,2024-06,2025-07-31 13:46
tipos de dengue,Dengue,0.9,FALSE,BR-MG,2024-06,2025-07-31 13:46
antialérgico para dengue,Dengue,0.8,FALSE,BR-MG,2024-06,2025-07-31 13:46
dengue cid,Dengue,0.6,FALSE,BR-MG,2024-06,2025-07-31 13:46
notificação dengue,Dengue,0.6,FALSE,BR-MG,2024-06,2025-07-31 13:46
