risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2025-06,2025-07-31 14:00
,Dengue,,,BR-AL,2025-06,2025-07-31 14:00
,Dengue,,,BR-AM,2025-06,2025-07-31 14:00
,Dengue,,,BR-AP,2025-06,2025-07-31 14:00
vacina da dengue,Dengue,1.3,FALSE,BR-BA,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,0.6,FALSE,BR-BA,2025-06,2025-07-31 14:00
quais os sintomas da dengue,Dengue,0.9,FALSE,BR-CE,2025-06,2025-07-31 14:00
cid dengue,Dengue,1.2,FALSE,BR-DF,2025-06,2025-07-31 14:00
,Dengue,,,BR-ES,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,0.4,FALSE,BR-GO,2025-06,2025-07-31 14:00
notificação dengue,Dengue,0.4,FALSE,BR-GO,2025-06,2025-07-31 14:00
sintomas da dengue,Dengue,1.2,FALSE,BR-MA,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,0.8,FALSE,BR-MA,2025-06,2025-07-31 14:00
sinan dengue,Dengue,1.2,FALSE,BR-MG,2025-06,2025-07-31 14:00
teste rapido dengue,Dengue,1.1,FALSE,BR-MG,2025-06,2025-07-31 14:00
quais são os sintomas da dengue,Dengue,0.7,FALSE,BR-MG,2025-06,2025-07-31 14:00
paracetamol pode tomar com dengue,Dengue,0.5,FALSE,BR-MG,2025-06,2025-07-31 14:00
,Dengue,,,BR-MS,2025-06,2025-07-31 14:00
dengue online,Dengue,1.6,FALSE,BR-MT,2025-06,2025-07-31 14:00
mosquito da dengue,Dengue,1.1,FALSE,BR-MT,2025-06,2025-07-31 14:00
notificação dengue,Dengue,1,FALSE,BR-PA,2025-06,2025-07-31 14:00
,Dengue,,,BR-PB,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,0.6,FALSE,BR-PE,2025-06,2025-07-31 14:00
,Dengue,,,BR-PI,2025-06,2025-07-31 14:00
,Dengue,,,BR-PR,2025-06,2025-07-31 14:00
de gue,Dengue,2,FALSE,BR-RJ,2025-06,2025-07-31 14:00
sintomas de covid,Dengue,1,FALSE,BR-RJ,2025-06,2025-07-31 14:00
,Dengue,,,BR-RN,2025-06,2025-07-31 14:00
,Dengue,,,BR-RO,2025-06,2025-07-31 14:00
,Dengue,,,BR-RR,2025-06,2025-07-31 14:00
qual remedio nao pode tomar com dengue,Dengue,6,FALSE,BR-RS,2025-06,2025-07-31 14:00
painel da dengue,Dengue,3.5,FALSE,BR-RS,2025-06,2025-07-31 14:00
influenza,Dengue,1.2,FALSE,BR-RS,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,1,FALSE,BR-RS,2025-06,2025-07-31 14:00
quais os sintomas da dengue,Dengue,1,FALSE,BR-RS,2025-06,2025-07-31 14:00
sintomas dengue adulto,Dengue,0.9,FALSE,BR-RS,2025-06,2025-07-31 14:00
sinan dengue,Dengue,0.8,FALSE,BR-RS,2025-06,2025-07-31 14:00
vacina dengue,Dengue,0.5,FALSE,BR-RS,2025-06,2025-07-31 14:00
vacina da dengue,Dengue,0.5,FALSE,BR-RS,2025-06,2025-07-31 14:00
sinais e sintomas da dengue,Dengue,426,TRUE,BR-SC,2025-06,2025-07-31 14:00
dengue da diarreia,Dengue,8.5,FALSE,BR-SC,2025-06,2025-07-31 14:00
dengue hemorrágica,Dengue,1.4,FALSE,BR-SC,2025-06,2025-07-31 14:00
sintomas influenza,Dengue,0.8,FALSE,BR-SC,2025-06,2025-07-31 14:00
cid dengue,Dengue,0.8,FALSE,BR-SC,2025-06,2025-07-31 14:00
dengue hemorrágica sintomas,Dengue,0.4,FALSE,BR-SC,2025-06,2025-07-31 14:00
,Dengue,,,BR-SE,2025-06,2025-07-31 14:00
sintomas de pneumonia,Dengue,147,TRUE,BR-SP,2025-06,2025-07-31 14:00
ciclo de vida do mosquito da dengue,Dengue,69,TRUE,BR-SP,2025-06,2025-07-31 14:00
dengue on line,Dengue,1.5,FALSE,BR-SP,2025-06,2025-07-31 14:00
qual remédio não pode tomar com dengue,Dengue,1.1,FALSE,BR-SP,2025-06,2025-07-31 14:00
fases da dengue,Dengue,1,FALSE,BR-SP,2025-06,2025-07-31 14:00
manchas na pele dengue,Dengue,1,FALSE,BR-SP,2025-06,2025-07-31 14:00
chikungunya sintomas,Dengue,1,FALSE,BR-SP,2025-06,2025-07-31 14:00
sinais de alarme dengue,Dengue,0.9,FALSE,BR-SP,2025-06,2025-07-31 14:00
aedes aegypti,Dengue,0.9,FALSE,BR-SP,2025-06,2025-07-31 14:00
notificação de dengue,Dengue,0.9,FALSE,BR-SP,2025-06,2025-07-31 14:00
dengue nao pode tomar qual remedio,Dengue,0.8,FALSE,BR-SP,2025-06,2025-07-31 14:00
qual remedio pode tomar com dengue,Dengue,0.8,FALSE,BR-SP,2025-06,2025-07-31 14:00
qual remédio pode tomar com dengue,Dengue,0.8,FALSE,BR-SP,2025-06,2025-07-31 14:00
leucócitos baixos dengue,Dengue,0.8,FALSE,BR-SP,2025-06,2025-07-31 14:00
cid de dengue,Dengue,0.7,FALSE,BR-SP,2025-06,2025-07-31 14:00
qual remedio tomar para dengue,Dengue,0.7,FALSE,BR-SP,2025-06,2025-07-31 14:00
o que não pode tomar com dengue,Dengue,0.7,FALSE,BR-SP,2025-06,2025-07-31 14:00
dengue online,Dengue,0.6,FALSE,BR-SP,2025-06,2025-07-31 14:00
prova do laço dengue,Dengue,0.6,FALSE,BR-SP,2025-06,2025-07-31 14:00
vacina para dengue,Dengue,0.6,FALSE,BR-SP,2025-06,2025-07-31 14:00
qual remedio nao pode tomar com dengue,Dengue,0.6,FALSE,BR-SP,2025-06,2025-07-31 14:00
