risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2021-09,2025-07-30 17:32
,Dengue,,,BR-AL,2021-09,2025-07-30 17:32
,Dengue,,,BR-AM,2021-09,2025-07-30 17:32
,Dengue,,,BR-AP,2021-09,2025-07-30 17:32
sintomas da dengue,Dengue,0.5,FALSE,BR-BA,2021-09,2025-07-30 17:32
dengue online,Dengue,1838.5,TRUE,BR-CE,2021-09,2025-07-30 17:32
,Dengue,,,BR-DF,2021-09,2025-07-30 17:32
,Dengue,,,BR-ES,2021-09,2025-07-30 17:32
,Dengue,,,BR-GO,2021-09,2025-07-30 17:32
,Dengue,,,BR-MA,2021-09,2025-07-30 17:32
,Dengue,,,BR-MG,2021-09,2025-07-30 17:32
sintomas de dengue,Dengue,1.1,FALSE,BR-MS,2021-09,2025-07-30 17:32
dengue hemorrágica,Dengue,4532.5,TRUE,BR-MT,2021-09,2025-07-30 17:32
,Dengue,,,BR-PA,2021-09,2025-07-30 17:32
dengue hemorrágica,Dengue,2,FALSE,BR-PB,2021-09,2025-07-30 17:32
sintomas de dengue,Dengue,0.6,FALSE,BR-PB,2021-09,2025-07-30 17:32
dengue online,Dengue,3,FALSE,BR-PE,2021-09,2025-07-30 17:32
quais os sintomas da dengue,Dengue,3,FALSE,BR-PE,2021-09,2025-07-30 17:32
,Dengue,,,BR-PI,2021-09,2025-07-30 17:32
sintomas de dengue,Dengue,0.6,FALSE,BR-PR,2021-09,2025-07-30 17:32
,Dengue,,,BR-RJ,2021-09,2025-07-30 17:32
,Dengue,,,BR-RN,2021-09,2025-07-30 17:32
,Dengue,,,BR-RO,2021-09,2025-07-30 17:32
,Dengue,,,BR-RR,2021-09,2025-07-30 17:32
,Dengue,,,BR-RS,2021-09,2025-07-30 17:32
mosquito da dengue,Dengue,1.2,FALSE,BR-SC,2021-09,2025-07-30 17:32
,Dengue,,,BR-SE,2021-09,2025-07-30 17:32
lua nova,Dengue,1401.5,TRUE,BR-SP,2021-09,2025-07-30 17:32
"dirigir sob a influência da substância mencionada nesse texto gera prejuízos, pois afeta a atuação do sistema cardiovascular. endócrino. linfático. nervoso.",Dengue,1078,TRUE,BR-SP,2021-09,2025-07-30 17:32
a doença abordada nesse texto é denominada conjuntivite. dengue. hepatite. meningite.,Dengue,894,TRUE,BR-SP,2021-09,2025-07-30 17:32
"dirigir sob a influência da substância mencionada nesse texto gera prejuízos, pois afeta a atuação do sistema",Dengue,879,TRUE,BR-SP,2021-09,2025-07-30 17:32
atualmente qual a medida de prevenção à dengue mais efetiva,Dengue,726,TRUE,BR-SP,2021-09,2025-07-30 17:32
como a vacina contra a dengue pode ajudar a conter a proliferação da doença,Dengue,672,TRUE,BR-SP,2021-09,2025-07-30 17:32
qual é o método contraceptivo representado nessa imagem? diafragma. diu. laqueadura. vasectomia.,Dengue,653.5,TRUE,BR-SP,2021-09,2025-07-30 17:32
"com base nos dados desse quadro, qual região brasileira apresentou os piores índices de mortalidade infantil por doença diarreica aguda? centro-oeste. nordeste. norte. sul.",Dengue,625,TRUE,BR-SP,2021-09,2025-07-30 17:32
sarampo sintomas,Dengue,605.5,TRUE,BR-SP,2021-09,2025-07-30 17:32
catapora,Dengue,605.5,TRUE,BR-SP,2021-09,2025-07-30 17:32
essa radiação utilizada em pequenas doses pela medicina nuclear é classificada como corpuscular. infravermelha. ionizante. não ionizante.,Dengue,599.5,TRUE,BR-SP,2021-09,2025-07-30 17:32
