topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,82,BR-AC,Dengue,2021-11,2025-07-23 14:26
Time,/m/07c_l,46,BR-AC,Dengue,2021-11,2025-07-23 14:26
Disease,/m/027x3,42,BR-AC,Dengue,2021-11,2025-07-23 14:26
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,44,BR-AL,Dengue,2021-11,2025-07-23 14:26
Yellow fever mosquito,/m/06y6_w,42,BR-AL,Dengue,2021-11,2025-07-23 14:26
Disease,/m/027x3,28,BR-AL,Dengue,2021-11,2025-07-23 14:26
Bleeding,/m/012n6x,26,BR-AL,Dengue,2021-11,2025-07-23 14:26
Chikungunya virus infection,/m/01__7l,22,BR-AL,Dengue,2021-11,2025-07-23 14:26
Zika fever,/m/02vkznh,20,BR-AL,Dengue,2021-11,2025-07-23 14:26
Virus,/m/0g9pc,19,BR-AL,Dengue,2021-11,2025-07-23 14:26
Aedes,/m/01yz26,13,BR-AL,Dengue,2021-11,2025-07-23 14:26
Health,/m/0kt51,11,BR-AL,Dengue,2021-11,2025-07-23 14:26
Pain,/m/062t2,8,BR-AL,Dengue,2021-11,2025-07-23 14:26
Fever,/m/0cjf0,6,BR-AL,Dengue,2021-11,2025-07-23 14:26
Symptom,/m/01b_06,100,BR-AM,Dengue,2021-11,2025-07-23 14:26
Infection,/m/098s1,70,BR-AM,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,69,BR-AM,Dengue,2021-11,2025-07-23 14:26
Yellow fever mosquito,/m/06y6_w,63,BR-AM,Dengue,2021-11,2025-07-23 14:26
Disease,/m/027x3,35,BR-AM,Dengue,2021-11,2025-07-23 14:26
Fever,/m/0cjf0,33,BR-AM,Dengue,2021-11,2025-07-23 14:26
Combat,/m/0byj4,30,BR-AM,Dengue,2021-11,2025-07-23 14:26
Pain,/m/062t2,28,BR-AM,Dengue,2021-11,2025-07-23 14:26
Bleeding,/m/012n6x,26,BR-AM,Dengue,2021-11,2025-07-23 14:26
Zika fever,/m/02vkznh,20,BR-AM,Dengue,2021-11,2025-07-23 14:26
Malaria,/m/0542n,16,BR-AM,Dengue,2021-11,2025-07-23 14:26
Dengue virus,/m/0g58pft,14,BR-AM,Dengue,2021-11,2025-07-23 14:26
Yellow fever,/m/087z2,13,BR-AM,Dengue,2021-11,2025-07-23 14:26
Patient,/m/028hfb,10,BR-AM,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,100,BR-AP,Dengue,2021-11,2025-07-23 14:26
Yellow fever mosquito,/m/06y6_w,70,BR-AP,Dengue,2021-11,2025-07-23 14:26
Process,/g/120hndy9,61,BR-AP,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,100,BR-BA,Dengue,2021-11,2025-07-23 14:26
Yellow fever mosquito,/m/06y6_w,95,BR-BA,Dengue,2021-11,2025-07-23 14:26
Symptom,/m/01b_06,92,BR-BA,Dengue,2021-11,2025-07-23 14:26
Disease,/m/027x3,76,BR-BA,Dengue,2021-11,2025-07-23 14:26
Virus,/m/0g9pc,45,BR-BA,Dengue,2021-11,2025-07-23 14:26
Zika fever,/m/02vkznh,40,BR-BA,Dengue,2021-11,2025-07-23 14:26
Chikungunya virus infection,/m/01__7l,37,BR-BA,Dengue,2021-11,2025-07-23 14:26
Combat,/m/0byj4,30,BR-BA,Dengue,2021-11,2025-07-23 14:26
Transmission,/m/036991,29,BR-BA,Dengue,2021-11,2025-07-23 14:26
Health,/m/0kt51,28,BR-BA,Dengue,2021-11,2025-07-23 14:26
Fever,/m/0cjf0,24,BR-BA,Dengue,2021-11,2025-07-23 14:26
Yellow fever,/m/087z2,22,BR-BA,Dengue,2021-11,2025-07-23 14:26
Aedes,/m/01yz26,21,BR-BA,Dengue,2021-11,2025-07-23 14:26
HIV/AIDS,/m/0d19y2,20,BR-BA,Dengue,2021-11,2025-07-23 14:26
Organism,/m/05nnm,18,BR-BA,Dengue,2021-11,2025-07-23 14:26
Bacteria,/m/017q2,18,BR-BA,Dengue,2021-11,2025-07-23 14:26
Hepatitis C,/m/0jdvt,17,BR-BA,Dengue,2021-11,2025-07-23 14:26
Infection,/m/098s1,17,BR-BA,Dengue,2021-11,2025-07-23 14:26
Influenza,/m/0cycc,17,BR-BA,Dengue,2021-11,2025-07-23 14:26
Fungi,/m/03154,15,BR-BA,Dengue,2021-11,2025-07-23 14:26
Epidemiology,/m/0hnfc,15,BR-BA,Dengue,2021-11,2025-07-23 14:26
Viral Infection,/m/02kc20m,14,BR-BA,Dengue,2021-11,2025-07-23 14:26
Mosquito,/m/09f96,100,BR-CE,Dengue,2021-11,2025-07-23 14:26
Yellow fever mosquito,/m/06y6_w,83,BR-CE,Dengue,2021-11,2025-07-23 14:26
Symptom,/m/01b_06,78,BR-CE,Dengue,2021-11,2025-07-23 14:26
Disease,/m/027x3,56,BR-CE,Dengue,2021-11,2025-07-23 14:26
Transmission,/m/036991,35,BR-CE,Dengue,2021-11,2025-07-23 14:26
Chikungunya virus infection,/m/01__7l,28,BR-CE,Dengue,2021-11,2025-07-23 14:26
Fever,/m/0cjf0,24,BR-CE,Dengue,2021-11,2025-07-23 14:26
Food,/m/02wbm,19,BR-CE,Dengue,2021-11,2025-07-23 14:26
Virus,/m/0g9pc,18,BR-CE,Dengue,2021-11,2025-07-23 14:26
Combat,/m/0byj4,18,BR-CE,Dengue,2021-11,2025-07-23 14:26
Bleeding,/m/012n6x,18,BR-CE,Dengue,2021-11,2025-07-23 14:26
Aedes,/m/01yz26,18,BR-CE,Dengue,2021-11,2025-07-23 14:26
