topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2020-11,2025-07-22 18:37
COVID-19,/g/11j2cc_qll,39,BR-AC,Dengue,2020-11,2025-07-22 18:37
Cure,/m/0405g08,23,BR-AC,Dengue,2020-11,2025-07-22 18:37
Zika fever,/m/02vkznh,19,BR-AC,Dengue,2020-11,2025-07-22 18:37
Chikungunya virus infection,/m/01__7l,18,BR-AC,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,17,BR-AC,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,16,BR-AC,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,15,BR-AC,Dengue,2020-11,2025-07-22 18:37
Bleeding,/m/012n6x,13,BR-AC,Dengue,2020-11,2025-07-22 18:37
Cause,/m/0j276x9,12,BR-AC,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,100,BR-AL,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,95,BR-AL,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,86,BR-AL,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,60,BR-AL,Dengue,2020-11,2025-07-22 18:37
Zika fever,/m/02vkznh,47,BR-AL,Dengue,2020-11,2025-07-22 18:37
Human,/m/0dgw9r,36,BR-AL,Dengue,2020-11,2025-07-22 18:37
Chikungunya virus infection,/m/01__7l,34,BR-AL,Dengue,2020-11,2025-07-22 18:37
Virus,/m/0g9pc,33,BR-AL,Dengue,2020-11,2025-07-22 18:37
Fever,/m/0cjf0,31,BR-AL,Dengue,2020-11,2025-07-22 18:37
Aedes,/m/01yz26,30,BR-AL,Dengue,2020-11,2025-07-22 18:37
Viral Infection,/m/02kc20m,29,BR-AL,Dengue,2020-11,2025-07-22 18:37
Bleeding,/m/012n6x,29,BR-AL,Dengue,2020-11,2025-07-22 18:37
Body,/m/0180q,29,BR-AL,Dengue,2020-11,2025-07-22 18:37
Health,/m/0kt51,28,BR-AL,Dengue,2020-11,2025-07-22 18:37
Water,/m/0838f,26,BR-AL,Dengue,2020-11,2025-07-22 18:37
Disease vector,/m/03cln52,23,BR-AL,Dengue,2020-11,2025-07-22 18:37
Malaria,/m/0542n,21,BR-AL,Dengue,2020-11,2025-07-22 18:37
COVID-19,/g/11j2cc_qll,19,BR-AL,Dengue,2020-11,2025-07-22 18:37
City,/m/01n32,17,BR-AL,Dengue,2020-11,2025-07-22 18:37
Person,/m/01g317,17,BR-AL,Dengue,2020-11,2025-07-22 18:37
Bacteria,/m/017q2,14,BR-AL,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,100,BR-AM,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,65,BR-AM,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,49,BR-AM,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,34,BR-AM,Dengue,2020-11,2025-07-22 18:37
COVID-19,/g/11j2cc_qll,32,BR-AM,Dengue,2020-11,2025-07-22 18:37
etiological factor,/g/121bdggj,30,BR-AM,Dengue,2020-11,2025-07-22 18:37
Virus,/m/0g9pc,28,BR-AM,Dengue,2020-11,2025-07-22 18:37
Goal,/m/03g_1kv,26,BR-AM,Dengue,2020-11,2025-07-22 18:37
Malaria,/m/0542n,24,BR-AM,Dengue,2020-11,2025-07-22 18:37
Pain,/m/062t2,24,BR-AM,Dengue,2020-11,2025-07-22 18:37
Tuberculosis,/m/07jwr,23,BR-AM,Dengue,2020-11,2025-07-22 18:37
Water,/m/0838f,23,BR-AM,Dengue,2020-11,2025-07-22 18:37
Cause,/m/0j276x9,21,BR-AM,Dengue,2020-11,2025-07-22 18:37
Head,/m/04hgtk,20,BR-AM,Dengue,2020-11,2025-07-22 18:37
Plant,/m/05s2s,20,BR-AM,Dengue,2020-11,2025-07-22 18:37
Aedes,/m/01yz26,19,BR-AM,Dengue,2020-11,2025-07-22 18:37
Combat,/m/0byj4,18,BR-AM,Dengue,2020-11,2025-07-22 18:37
HIV/AIDS,/m/0d19y2,17,BR-AM,Dengue,2020-11,2025-07-22 18:37
Body,/m/0180q,17,BR-AM,Dengue,2020-11,2025-07-22 18:37
Information,/m/03y39,17,BR-AM,Dengue,2020-11,2025-07-22 18:37
Yellow fever,/m/087z2,15,BR-AM,Dengue,2020-11,2025-07-22 18:37
Phenomenon,/m/0gjyk,14,BR-AM,Dengue,2020-11,2025-07-22 18:37
Coronavirus,/m/01cpyy,13,BR-AM,Dengue,2020-11,2025-07-22 18:37
Country,/m/01lff,12,BR-AM,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,100,BR-AP,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,100,BR-BA,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,64,BR-BA,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,60,BR-BA,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,40,BR-BA,Dengue,2020-11,2025-07-22 18:37
Chikungunya virus infection,/m/01__7l,37,BR-BA,Dengue,2020-11,2025-07-22 18:37
COVID-19,/g/11j2cc_qll,32,BR-BA,Dengue,2020-11,2025-07-22 18:37
Zika fever,/m/02vkznh,28,BR-BA,Dengue,2020-11,2025-07-22 18:37
Health,/m/0kt51,24,BR-BA,Dengue,2020-11,2025-07-22 18:37
Virus,/m/0g9pc,23,BR-BA,Dengue,2020-11,2025-07-22 18:37
Pain,/m/062t2,17,BR-BA,Dengue,2020-11,2025-07-22 18:37
Fever,/m/0cjf0,14,BR-BA,Dengue,2020-11,2025-07-22 18:37
Body,/m/0180q,13,BR-BA,Dengue,2020-11,2025-07-22 18:37
Coronavirus,/m/01cpyy,12,BR-BA,Dengue,2020-11,2025-07-22 18:37
Cure,/m/0405g08,12,BR-BA,Dengue,2020-11,2025-07-22 18:37
Organism,/m/05nnm,11,BR-BA,Dengue,2020-11,2025-07-22 18:37
Aedes,/m/01yz26,10,BR-BA,Dengue,2020-11,2025-07-22 18:37
Therapy,/m/03c1dkx,10,BR-BA,Dengue,2020-11,2025-07-22 18:37
Cause,/m/0j276x9,9,BR-BA,Dengue,2020-11,2025-07-22 18:37
Bacteria,/m/017q2,9,BR-BA,Dengue,2020-11,2025-07-22 18:37
Transmission,/m/036991,9,BR-BA,Dengue,2020-11,2025-07-22 18:37
Dengue virus,/m/0g58pft,8,BR-BA,Dengue,2020-11,2025-07-22 18:37
Analysis,/g/121vr6rm,8,BR-BA,Dengue,2020-11,2025-07-22 18:37
Bleeding,/m/012n6x,8,BR-BA,Dengue,2020-11,2025-07-22 18:37
Tuberculosis,/m/07jwr,7,BR-BA,Dengue,2020-11,2025-07-22 18:37
Vaccine,/m/07__7,7,BR-BA,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,100,BR-CE,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,88,BR-CE,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,87,BR-CE,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,70,BR-CE,Dengue,2020-11,2025-07-22 18:37
Combat,/m/0byj4,43,BR-CE,Dengue,2020-11,2025-07-22 18:37
Virus,/m/0g9pc,36,BR-CE,Dengue,2020-11,2025-07-22 18:37
Transmission,/m/036991,33,BR-CE,Dengue,2020-11,2025-07-22 18:37
Organism,/m/05nnm,32,BR-CE,Dengue,2020-11,2025-07-22 18:37
Health,/m/0kt51,29,BR-CE,Dengue,2020-11,2025-07-22 18:37
Zika fever,/m/02vkznh,28,BR-CE,Dengue,2020-11,2025-07-22 18:37
e,/m/02mj0,28,BR-CE,Dengue,2020-11,2025-07-22 18:37
Chikungunya virus infection,/m/01__7l,27,BR-CE,Dengue,2020-11,2025-07-22 18:37
Cause,/m/0j276x9,23,BR-CE,Dengue,2020-11,2025-07-22 18:37
Aedes,/m/01yz26,23,BR-CE,Dengue,2020-11,2025-07-22 18:37
Bleeding,/m/012n6x,23,BR-CE,Dengue,2020-11,2025-07-22 18:37
Body,/m/0180q,23,BR-CE,Dengue,2020-11,2025-07-22 18:37
Influenza,/m/0cycc,22,BR-CE,Dengue,2020-11,2025-07-22 18:37
Yellow fever,/m/087z2,22,BR-CE,Dengue,2020-11,2025-07-22 18:37
Infection,/m/098s1,21,BR-CE,Dengue,2020-11,2025-07-22 18:37
Oxygen,/m/025s6bf,20,BR-CE,Dengue,2020-11,2025-07-22 18:37
Larva,/m/0d9_3,19,BR-CE,Dengue,2020-11,2025-07-22 18:37
Dengue virus,/m/0g58pft,17,BR-CE,Dengue,2020-11,2025-07-22 18:37
Vaccine,/m/07__7,16,BR-CE,Dengue,2020-11,2025-07-22 18:37
Coronavirus,/m/01cpyy,16,BR-CE,Dengue,2020-11,2025-07-22 18:37
Symptom,/m/01b_06,100,BR-DF,Dengue,2020-11,2025-07-22 18:37
Mosquito,/m/09f96,79,BR-DF,Dengue,2020-11,2025-07-22 18:37
Yellow fever mosquito,/m/06y6_w,77,BR-DF,Dengue,2020-11,2025-07-22 18:37
COVID-19,/g/11j2cc_qll,33,BR-DF,Dengue,2020-11,2025-07-22 18:37
Disease,/m/027x3,30,BR-DF,Dengue,2020-11,2025-07-22 18:37
Pain,/m/062t2,25,BR-DF,Dengue,2020-11,2025-07-22 18:37
Body,/m/0180q,21,BR-DF,Dengue,2020-11,2025-07-22 18:37
Virus,/m/0g9pc,20,BR-DF,Dengue,2020-11,2025-07-22 18:37
Fever,/m/0cjf0,18,BR-DF,Dengue,2020-11,2025-07-22 18:37
