topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-01,2025-07-30 16:01
COVID-19,/g/11j2cc_qll,32,BR-AC,Dengue,2021-01,2025-07-30 16:01
Cure,/m/0405g08,15,BR-AC,Dengue,2021-01,2025-07-30 16:01
Fever,/m/0cjf0,12,BR-AC,Dengue,2021-01,2025-07-30 16:01
Body,/m/0180q,12,BR-AC,Dengue,2021-01,2025-07-30 16:01
Tea,/m/07clx,11,BR-AC,Dengue,2021-01,2025-07-30 16:01
Yellow fever mosquito,/m/06y6_w,10,BR-AC,Dengue,2021-01,2025-07-30 16:01
Metamizole,/m/08j19g,9,BR-AC,Dengue,2021-01,2025-07-30 16:01
Itch,/m/04kllm9,8,BR-AC,Dengue,2021-01,2025-07-30 16:01
Zika fever,/m/02vkznh,7,BR-AC,Dengue,2021-01,2025-07-30 16:01
Mosquito,/m/09f96,7,BR-AC,Dengue,2021-01,2025-07-30 16:01
Virus,/m/0g9pc,7,BR-AC,Dengue,2021-01,2025-07-30 16:01
Clove,/g/121hrbw_,6,BR-AC,Dengue,2021-01,2025-07-30 16:01
Head,/m/04hgtk,6,BR-AC,Dengue,2021-01,2025-07-30 16:01
Bleeding,/m/012n6x,6,BR-AC,Dengue,2021-01,2025-07-30 16:01
Headache,/m/0j5fv,6,BR-AC,Dengue,2021-01,2025-07-30 16:01
Cause,/m/0j276x9,5,BR-AC,Dengue,2021-01,2025-07-30 16:01
Diarrhea,/m/0f3kl,4,BR-AC,Dengue,2021-01,2025-07-30 16:01
Chikungunya virus infection,/m/01__7l,4,BR-AC,Dengue,2021-01,2025-07-30 16:01
Acetaminophen,/m/0lbt3,4,BR-AC,Dengue,2021-01,2025-07-30 16:01
Home remedy,/m/044zht,4,BR-AC,Dengue,2021-01,2025-07-30 16:01
Red blotches,/g/11cnnds5rt,4,BR-AC,Dengue,2021-01,2025-07-30 16:01
Platelet,/m/01bw6w,3,BR-AC,Dengue,2021-01,2025-07-30 16:01
Combat,/m/0byj4,2,BR-AC,Dengue,2021-01,2025-07-30 16:01
Vomiting,/m/012qjw,2,BR-AC,Dengue,2021-01,2025-07-30 16:01
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-01,2025-07-30 16:01
Disease,/m/027x3,96,BR-AL,Dengue,2021-01,2025-07-30 16:01
Mosquito,/m/09f96,89,BR-AL,Dengue,2021-01,2025-07-30 16:01
Yellow fever mosquito,/m/06y6_w,72,BR-AL,Dengue,2021-01,2025-07-30 16:01
