topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,20,BR-AC,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,8,BR-AC,Dengue,2021-03,2025-07-30 15:29
sintomas do covid,8,BR-AC,Dengue,2021-03,2025-07-30 15:29
sintomas da covid,3,BR-AC,Dengue,2021-03,2025-07-30 15:29
dengue tratamento,3,BR-AC,Dengue,2021-03,2025-07-30 15:29
quais os sintomas da dengue,3,BR-AC,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-AL,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,15,BR-AL,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-AM,Dengue,2021-03,2025-07-30 15:29
dengue sintomas,31,BR-AM,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,16,BR-AM,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,11,BR-AM,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,6,BR-AM,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica,5,BR-AM,Dengue,2021-03,2025-07-30 15:29
quais os sintomas da dengue,4,BR-AM,Dengue,2021-03,2025-07-30 15:29
sintomas da covid,2,BR-AM,Dengue,2021-03,2025-07-30 15:29
,,BR-AP,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-BA,Dengue,2021-03,2025-07-30 15:29
dengue sintomas,29,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,15,BR-BA,Dengue,2021-03,2025-07-30 15:29
chikungunya,11,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,9,BR-BA,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,7,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas chikungunya,6,BR-BA,Dengue,2021-03,2025-07-30 15:29
dengue zika e chikungunya,5,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas da covid,4,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas do covid,3,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas da chikungunya,3,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas dengue zika chikungunya,3,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas de covid,3,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas da zika,3,BR-BA,Dengue,2021-03,2025-07-30 15:29
dengue tratamento,2,BR-BA,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica,2,BR-BA,Dengue,2021-03,2025-07-30 15:29
febre amarela,2,BR-BA,Dengue,2021-03,2025-07-30 15:29
remédio para dengue,2,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas de chikungunya,2,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintoma de dengue,1,BR-BA,Dengue,2021-03,2025-07-30 15:29
cid dengue,1,BR-BA,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue zika e chikungunya,1,BR-BA,Dengue,2021-03,2025-07-30 15:29
quais são os sintomas da dengue,1,BR-BA,Dengue,2021-03,2025-07-30 15:29
sitomas da dengue,1,BR-BA,Dengue,2021-03,2025-07-30 15:29
"sintomas da dengue, zika e chikungunya",1,BR-BA,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintomas dengue,28,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,16,BR-CE,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,15,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,10,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintomas da covid,3,BR-CE,Dengue,2021-03,2025-07-30 15:29
quais os sintomas da dengue,2,BR-CE,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica,2,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintomas do covid,2,BR-CE,Dengue,2021-03,2025-07-30 15:29
febre amarela,2,BR-CE,Dengue,2021-03,2025-07-30 15:29
sintoma da dengue,1,BR-CE,Dengue,2021-03,2025-07-30 15:29
prevenção da dengue,1,BR-CE,Dengue,2021-03,2025-07-30 15:29
quais são os sintomas da dengue,1,BR-CE,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-DF,Dengue,2021-03,2025-07-30 15:29
dengue sintomas,32,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,16,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,10,BR-DF,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,7,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas covid,6,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas de covid,4,BR-DF,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica,2,BR-DF,Dengue,2021-03,2025-07-30 15:29
dengue tratamento,2,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas dengue x covid,2,BR-DF,Dengue,2021-03,2025-07-30 15:29
mortes por dengue 2020,1,BR-DF,Dengue,2021-03,2025-07-30 15:29
remédio para dengue,1,BR-DF,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue e covid,1,BR-DF,Dengue,2021-03,2025-07-30 15:29
quais são os sintomas da dengue,1,BR-DF,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-ES,Dengue,2021-03,2025-07-30 15:29
sintomas dengue,27,BR-ES,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,13,BR-ES,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,11,BR-ES,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,8,BR-ES,Dengue,2021-03,2025-07-30 15:29
sintomas covid,6,BR-ES,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue sintomas,33,BR-GO,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,19,BR-GO,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,11,BR-GO,Dengue,2021-03,2025-07-30 15:29
covid sintomas,9,BR-GO,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,8,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue e covid,3,BR-GO,Dengue,2021-03,2025-07-30 15:29
quais sintomas da dengue,3,BR-GO,Dengue,2021-03,2025-07-30 15:29
exame de dengue,2,BR-GO,Dengue,2021-03,2025-07-30 15:29
quais os sintomas da dengue,2,BR-GO,Dengue,2021-03,2025-07-30 15:29
sintoma de dengue,2,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica,2,BR-GO,Dengue,2021-03,2025-07-30 15:29
sintomas do covid,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue hemorrágica sintomas,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
tipos de dengue,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue da diarreia,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
aedes aegypti,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
quais são os sintomas da dengue,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
quais os sintomas da covid 19,1,BR-GO,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-MA,Dengue,2021-03,2025-07-30 15:29
dengue sintomas,26,BR-MA,Dengue,2021-03,2025-07-30 15:29
mosquito da dengue,13,BR-MA,Dengue,2021-03,2025-07-30 15:29
sintomas da dengue,13,BR-MA,Dengue,2021-03,2025-07-30 15:29
sintomas de dengue,6,BR-MA,Dengue,2021-03,2025-07-30 15:29
dengue,100,BR-MG,Dengue,2021-03,2025-07-30 15:29
