risingSearches,keyword,value,unknown,geo,time,sys_time
quais os sintomas da dengue,/m/09wsg,1682.5,TRUE,BR-AC,2023-04,2025-07-31 14:31
sintomas del dengue,/m/09wsg,1077,TRUE,BR-AC,2023-04,2025-07-31 14:31
sintomas de dengue,/m/09wsg,1.6,FALSE,BR-AC,2023-04,2025-07-31 14:31
sintomas de dengue,/m/09wsg,0.7,FALSE,BR-AL,2023-04,2025-07-31 14:31
chikungunya,/m/09wsg,0.5,FALSE,BR-AL,2023-04,2025-07-31 14:31
tratamento da dengue,/m/09wsg,1.6,FALSE,BR-AM,2023-04,2025-07-31 14:31
dengue tratamento,/m/09wsg,1.3,FALSE,BR-AM,2023-04,2025-07-31 14:31
quais os sintomas da dengue,/m/09wsg,0.6,FALSE,BR-AP,2023-04,2025-07-31 14:31
sintomas de dengue leve,/m/09wsg,1.5,FALSE,BR-BA,2023-04,2025-07-31 14:31
sintomas de gravidez,/m/09wsg,1.3,FALSE,BR-BA,2023-04,2025-07-31 14:31
prevenção da dengue,/m/09wsg,0.8,FALSE,BR-BA,2023-04,2025-07-31 14:31
sintomas de covid,/m/09wsg,0.7,FALSE,BR-BA,2023-04,2025-07-31 14:31
dengue sintomas iniciais,/m/09wsg,394.5,TRUE,BR-CE,2023-04,2025-07-31 14:31
foto do mosquito da dengue,/m/09wsg,3,FALSE,BR-CE,2023-04,2025-07-31 14:31
sintomas de dengue hemorrágica,/m/09wsg,2,FALSE,BR-CE,2023-04,2025-07-31 14:31
aedes aegypti,/m/09wsg,1.1,FALSE,BR-CE,2023-04,2025-07-31 14:31
tratamento dengue,/m/09wsg,0.9,FALSE,BR-CE,2023-04,2025-07-31 14:31
sintoma da dengue,/m/09wsg,0.7,FALSE,BR-CE,2023-04,2025-07-31 14:31
manchas de dengue,/m/09wsg,0.6,FALSE,BR-CE,2023-04,2025-07-31 14:31
dengue hemorrágica sintomas,/m/09wsg,0.5,FALSE,BR-CE,2023-04,2025-07-31 14:31
o que é dengue,/m/09wsg,0.5,FALSE,BR-CE,2023-04,2025-07-31 14:31
remedio para dengue,/m/09wsg,5.5,FALSE,BR-DF,2023-04,2025-07-31 14:31
cid dengue,/m/09wsg,0.9,FALSE,BR-DF,2023-04,2025-07-31 14:31
exantema,/m/09wsg,343,TRUE,BR-ES,2023-04,2025-07-31 14:31
dengue da tosse,/m/09wsg,4,FALSE,BR-ES,2023-04,2025-07-31 14:31
remedio pra dengue,/m/09wsg,1.7,FALSE,BR-ES,2023-04,2025-07-31 14:31
sintomas de gripe,/m/09wsg,1.7,FALSE,BR-ES,2023-04,2025-07-31 14:31
quanto tempo dura a dengue,/m/09wsg,1.5,FALSE,BR-ES,2023-04,2025-07-31 14:31
sintomas iniciais de dengue,/m/09wsg,1.4,FALSE,BR-ES,2023-04,2025-07-31 14:31
quais os sintomas de dengue,/m/09wsg,1.2,FALSE,BR-ES,2023-04,2025-07-31 14:31
dengue sintomas iniciais,/m/09wsg,1,FALSE,BR-ES,2023-04,2025-07-31 14:31
sintomas de covid,/m/09wsg,0.9,FALSE,BR-ES,2023-04,2025-07-31 14:31
quantos dias dura a dengue,/m/09wsg,0.9,FALSE,BR-ES,2023-04,2025-07-31 14:31
sinais de dengue,/m/09wsg,0.8,FALSE,BR-ES,2023-04,2025-07-31 14:31
plaquetas baixas dengue,/m/09wsg,0.7,FALSE,BR-ES,2023-04,2025-07-31 14:31
dengue passa de uma pessoa para outra,/m/09wsg,0.6,FALSE,BR-ES,2023-04,2025-07-31 14:31
dengue pode tomar dipirona,/m/09wsg,0.6,FALSE,BR-ES,2023-04,2025-07-31 14:31
dengue anticorpos igg reagente,/m/09wsg,276,TRUE,BR-GO,2023-04,2025-07-31 14:31
sitomas da dengue,/m/09wsg,169.5,TRUE,BR-GO,2023-04,2025-07-31 14:31
dengue igg reagente,/m/09wsg,0.6,FALSE,BR-GO,2023-04,2025-07-31 14:31
sintoma de dengue,/m/09wsg,0.6,FALSE,BR-GO,2023-04,2025-07-31 14:31
remedio para dengue,/m/09wsg,0.4,FALSE,BR-GO,2023-04,2025-07-31 14:31
dengue é contagioso,/m/09wsg,2.5,FALSE,BR-MA,2023-04,2025-07-31 14:31
sintomas de dengue leve,/m/09wsg,0.6,FALSE,BR-MA,2023-04,2025-07-31 14:31
o que a dengue causa no corpo,/m/09wsg,74,TRUE,BR-MG,2023-04,2025-07-31 14:31
como curar a dengue em 72 horas,/m/09wsg,64.5,TRUE,BR-MG,2023-04,2025-07-31 14:31
como o mosquito da dengue se contamina,/m/09wsg,52.5,TRUE,BR-MG,2023-04,2025-07-31 14:31
dexclorferinamina3,/m/09wsg,17.5,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue pega de uma pessoa para outra,/m/09wsg,2.5,FALSE,BR-MG,2023-04,2025-07-31 14:31
sintomas iniciais de dengue,/m/09wsg,2,FALSE,BR-MG,2023-04,2025-07-31 14:31
sequelas da dengue,/m/09wsg,1.9,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue da coçeira no corpo,/m/09wsg,1.8,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue hemorrágica tratamento,/m/09wsg,1.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
qual remedio tomar para dengue,/m/09wsg,1.3,FALSE,BR-MG,2023-04,2025-07-31 14:31
porque dengue coça tanto,/m/09wsg,1.3,FALSE,BR-MG,2023-04,2025-07-31 14:31
tratamentos para dengue,/m/09wsg,1.3,FALSE,BR-MG,2023-04,2025-07-31 14:31
quanto tempo dura os sintomas da dengue,/m/09wsg,1.2,FALSE,BR-MG,2023-04,2025-07-31 14:31
quando a dengue está sarando coça,/m/09wsg,1.2,FALSE,BR-MG,2023-04,2025-07-31 14:31
como se pega dengue,/m/09wsg,1,FALSE,BR-MG,2023-04,2025-07-31 14:31
como evitar a dengue,/m/09wsg,0.9,FALSE,BR-MG,2023-04,2025-07-31 14:31
leucocitos baixos,/m/09wsg,0.8,FALSE,BR-MG,2023-04,2025-07-31 14:31
teste de dengue araujo,/m/09wsg,0.8,FALSE,BR-MG,2023-04,2025-07-31 14:31
sinais de dengue hemorrágica,/m/09wsg,0.8,FALSE,BR-MG,2023-04,2025-07-31 14:31
inhame para dengue,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue da coçeira,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
o que não pode tomar com dengue,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
teste dengue araujo,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
sintomas de sinusite,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue transmite de uma pessoa para outra,/m/09wsg,0.7,FALSE,BR-MG,2023-04,2025-07-31 14:31
dengue da dor de garganta,/m/09wsg,298.5,TRUE,BR-MS,2023-04,2025-07-31 14:31
sintomas de dengue leve,/m/09wsg,120,TRUE,BR-MS,2023-04,2025-07-31 14:31
mosquito da dengue desenho,/m/09wsg,4.5,FALSE,BR-MS,2023-04,2025-07-31 14:31
sintomas da chikungunya,/m/09wsg,2,FALSE,BR-MS,2023-04,2025-07-31 14:31
dengue online,/m/09wsg,1.2,FALSE,BR-MS,2023-04,2025-07-31 14:31
dengue hemorragica,/m/09wsg,1,FALSE,BR-MS,2023-04,2025-07-31 14:31
paracetamol pode tomar com dengue,/m/09wsg,0.8,FALSE,BR-MS,2023-04,2025-07-31 14:31
cid a90,/m/09wsg,0.8,FALSE,BR-MS,2023-04,2025-07-31 14:31
mosquito da dengue,/m/09wsg,0.7,FALSE,BR-MS,2023-04,2025-07-31 14:31
coçeira no corpo dengue,/m/09wsg,0.7,FALSE,BR-MS,2023-04,2025-07-31 14:31
sintomas de dengue hemorrágica,/m/09wsg,0.7,FALSE,BR-MS,2023-04,2025-07-31 14:31
dengue sintomas iniciais,/m/09wsg,0.6,FALSE,BR-MS,2023-04,2025-07-31 14:31
dengue pode tomar dipirona,/m/09wsg,0.5,FALSE,BR-MS,2023-04,2025-07-31 14:31
melão de são caetano para dengue,/m/09wsg,743.5,TRUE,BR-MT,2023-04,2025-07-31 14:31
sintomas de meningite,/m/09wsg,421.5,TRUE,BR-MT,2023-04,2025-07-31 14:31
sinan dengue,/m/09wsg,240,TRUE,BR-MT,2023-04,2025-07-31 14:31
notificação dengue,/m/09wsg,1.8,FALSE,BR-MT,2023-04,2025-07-31 14:31
quais são os sintomas da dengue,/m/09wsg,1,FALSE,BR-MT,2023-04,2025-07-31 14:31
dengue sintomas iniciais,/m/09wsg,1,FALSE,BR-MT,2023-04,2025-07-31 14:31
sintomas da covid,/m/09wsg,0.6,FALSE,BR-MT,2023-04,2025-07-31 14:31
tratamento dengue,/m/09wsg,0.5,FALSE,BR-MT,2023-04,2025-07-31 14:31
sintomas de dengue hemorrágica,/m/09wsg,0.5,FALSE,BR-MT,2023-04,2025-07-31 14:31
cid dengue,/m/09wsg,1.6,FALSE,BR-PA,2023-04,2025-07-31 14:31
remedio para dengue,/m/09wsg,1.4,FALSE,BR-PA,2023-04,2025-07-31 14:31
dengue hemorrágica,/m/09wsg,0.4,FALSE,BR-PA,2023-04,2025-07-31 14:31
dengue tratamento,/m/09wsg,0.4,FALSE,BR-PA,2023-04,2025-07-31 14:31
quais são os sintomas da dengue,/m/09wsg,1.4,FALSE,BR-PB,2023-04,2025-07-31 14:31
quais os sintomas da dengue,/m/09wsg,1.2,FALSE,BR-PB,2023-04,2025-07-31 14:31
sintomas da dengue,/m/09wsg,0.7,FALSE,BR-PB,2023-04,2025-07-31 14:31
periodo de incubação da dengue,/m/09wsg,313,TRUE,BR-PE,2023-04,2025-07-31 14:31
remedio para dengue,/m/09wsg,0.7,FALSE,BR-PE,2023-04,2025-07-31 14:31
sintomas de dengue hemorrágica,/m/09wsg,0.5,FALSE,BR-PE,2023-04,2025-07-31 14:31
"sintomas de dengue, chikungunya",/m/09wsg,519,TRUE,BR-PI,2023-04,2025-07-31 14:31
quais sintomas da dengue,/m/09wsg,0.8,FALSE,BR-PI,2023-04,2025-07-31 14:31
sintomas de chikungunya,/m/09wsg,0.6,FALSE,BR-PI,2023-04,2025-07-31 14:31
quais os sintomas da dengue,/m/09wsg,0.5,FALSE,BR-PI,2023-04,2025-07-31 14:31
sintomas da chikungunya,/m/09wsg,0.4,FALSE,BR-PI,2023-04,2025-07-31 14:31
sintomas da dengue,/m/09wsg,0.4,FALSE,BR-PI,2023-04,2025-07-31 14:31
dengue da vomito,/m/09wsg,268.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
filogenia,/m/09wsg,250,TRUE,BR-PR,2023-04,2025-07-31 14:31
dengue da tosse,/m/09wsg,234.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
como tratar a dengue,/m/09wsg,197,TRUE,BR-PR,2023-04,2025-07-31 14:31
sinusite sintomas,/m/09wsg,146,TRUE,BR-PR,2023-04,2025-07-31 14:31
qual o tratamento para dengue,/m/09wsg,132,TRUE,BR-PR,2023-04,2025-07-31 14:31
o que é dengue hemorragica,/m/09wsg,130.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
remédio caseiro para dengue,/m/09wsg,113,TRUE,BR-PR,2023-04,2025-07-31 14:31
posso tomar dipirona com dengue,/m/09wsg,106,TRUE,BR-PR,2023-04,2025-07-31 14:31
cid 10 dengue,/m/09wsg,97,TRUE,BR-PR,2023-04,2025-07-31 14:31
quanto tempo dura a dengue no corpo,/m/09wsg,91,TRUE,BR-PR,2023-04,2025-07-31 14:31
quem ta com dengue pode tomar dipirona,/m/09wsg,88.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
cachorro pega dengue,/m/09wsg,72,TRUE,BR-PR,2023-04,2025-07-31 14:31
remedio que não pode tomar com dengue,/m/09wsg,70.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
como curar a dengue em 72 horas,/m/09wsg,66.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
suco de inhame com laranja,/m/09wsg,61.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
dengue pega mais de uma vez,/m/09wsg,59,TRUE,BR-PR,2023-04,2025-07-31 14:31
qual remedio não pode tomar com dengue,/m/09wsg,57,TRUE,BR-PR,2023-04,2025-07-31 14:31
dipirona monoidratada,/m/09wsg,50.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
sintomas.dengue,/m/09wsg,50.5,TRUE,BR-PR,2023-04,2025-07-31 14:31
como fazer suco de inhame para dengue,/m/09wsg,50,FALSE,BR-PR,2023-04,2025-07-31 14:31
dengue da tosse seca,/m/09wsg,49.5,FALSE,BR-PR,2023-04,2025-07-31 14:31
dengue hemorrágica tem cura,/m/09wsg,46,FALSE,BR-PR,2023-04,2025-07-31 14:31
dengue transmite de uma pessoa para outra,/m/09wsg,44.5,FALSE,BR-PR,2023-04,2025-07-31 14:31
coçeira no corpo pode ser dengue,/m/09wsg,33.5,FALSE,BR-PR,2023-04,2025-07-31 14:31
sintomas de dengue em bebe,/m/09wsg,317,TRUE,BR-RJ,2023-04,2025-07-31 14:31
manchas vermelhas na pele,/m/09wsg,196,TRUE,BR-RJ,2023-04,2025-07-31 14:31
fases da dengue,/m/09wsg,191,TRUE,BR-RJ,2023-04,2025-07-31 14:31
quem está com dengue pode tomar dipirona,/m/09wsg,151.5,TRUE,BR-RJ,2023-04,2025-07-31 14:31
sintomas de dengue em crianças,/m/09wsg,119.5,TRUE,BR-RJ,2023-04,2025-07-31 14:31
sintomas.dengue,/m/09wsg,109.5,TRUE,BR-RJ,2023-04,2025-07-31 14:31
hixizine,/m/09wsg,103.5,TRUE,BR-RJ,2023-04,2025-07-31 14:31
quanto tempo dura a dengue,/m/09wsg,5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
coçeira no corpo dengue,/m/09wsg,4.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue da coçeira no corpo,/m/09wsg,3.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
como tratar a dengue,/m/09wsg,3,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue passa de uma pessoa para outra,/m/09wsg,2.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
remedios para dengue,/m/09wsg,2.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
sintomas de dengue leve,/m/09wsg,2,FALSE,BR-RJ,2023-04,2025-07-31 14:31
quantos dias dura a dengue,/m/09wsg,1.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue em bebe,/m/09wsg,1.3,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue plaquetas baixas,/m/09wsg,1.1,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue na gravidez,/m/09wsg,0.7,FALSE,BR-RJ,2023-04,2025-07-31 14:31
erupções cutâneas,/m/09wsg,0.6,FALSE,BR-RJ,2023-04,2025-07-31 14:31
como tratar dengue,/m/09wsg,0.6,FALSE,BR-RJ,2023-04,2025-07-31 14:31
o que é dengue,/m/09wsg,0.6,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dipirona para dengue,/m/09wsg,0.6,FALSE,BR-RJ,2023-04,2025-07-31 14:31
dengue pega de uma pessoa para outra,/m/09wsg,0.5,FALSE,BR-RJ,2023-04,2025-07-31 14:31
remédio para dengue,/m/09wsg,0.4,FALSE,BR-RJ,2023-04,2025-07-31 14:31
quais os sintomas da dengue,/m/09wsg,2810,TRUE,BR-RN,2023-04,2025-07-31 14:31
sintomas de dengue leve,/m/09wsg,1264.5,TRUE,BR-RN,2023-04,2025-07-31 14:31
sintomas da dengue,/m/09wsg,0.6,FALSE,BR-RN,2023-04,2025-07-31 14:31
sintomas dengue,/m/09wsg,0.4,FALSE,BR-RN,2023-04,2025-07-31 14:31
,/m/09wsg,,,BR-RO,2023-04,2025-07-31 14:31
,/m/09wsg,,,BR-RR,2023-04,2025-07-31 14:31
o que tomar para dengue,/m/09wsg,333,TRUE,BR-RS,2023-04,2025-07-31 14:31
sintomas de h1n1,/m/09wsg,267,TRUE,BR-RS,2023-04,2025-07-31 14:31
prova do laço dengue,/m/09wsg,245.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
quais os sintomas da covid,/m/09wsg,231,TRUE,BR-RS,2023-04,2025-07-31 14:31
dengue sintomas finais,/m/09wsg,225,TRUE,BR-RS,2023-04,2025-07-31 14:31
fotos de manchas de dengue,/m/09wsg,216,TRUE,BR-RS,2023-04,2025-07-31 14:31
sintomas após dengue,/m/09wsg,208,TRUE,BR-RS,2023-04,2025-07-31 14:31
exantema,/m/09wsg,190.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
quanto tempo dura os sintomas da dengue,/m/09wsg,175,TRUE,BR-RS,2023-04,2025-07-31 14:31
teste da dengue onde fazer,/m/09wsg,157,TRUE,BR-RS,2023-04,2025-07-31 14:31
como se pega dengue,/m/09wsg,137.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
prostração,/m/09wsg,132.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
transmissao da dengue,/m/09wsg,122.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
qual exame detecta dengue,/m/09wsg,114.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
sintomasde dengue,/m/09wsg,108,TRUE,BR-RS,2023-04,2025-07-31 14:31
primeiros sintomas da dengue,/m/09wsg,85,TRUE,BR-RS,2023-04,2025-07-31 14:31
quantos dias duram os sintomas da dengue,/m/09wsg,73.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
desenho do mosquito da dengue,/m/09wsg,71.5,TRUE,BR-RS,2023-04,2025-07-31 14:31
