topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2020-12,2025-07-22 18:39
COVID-19,/g/11j2cc_qll,36,BR-AC,Dengue,2020-12,2025-07-22 18:39
Cure,/m/0405g08,23,BR-AC,Dengue,2020-12,2025-07-22 18:39
Itch,/m/04kllm9,18,BR-AC,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,18,BR-AC,Dengue,2020-12,2025-07-22 18:39
Cause,/m/0j276x9,16,BR-AC,Dengue,2020-12,2025-07-22 18:39
Metamizole,/m/08j19g,15,BR-AC,Dengue,2020-12,2025-07-22 18:39
Leptospirosis,/m/02_j9l,15,BR-AC,Dengue,2020-12,2025-07-22 18:39
Pharmaceutical drug,/m/018l35,11,BR-AC,Dengue,2020-12,2025-07-22 18:39
Headache,/m/0j5fv,10,BR-AC,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,8,BR-AC,Dengue,2020-12,2025-07-22 18:39
Platelet,/m/01bw6w,7,BR-AC,Dengue,2020-12,2025-07-22 18:39
Eating,/m/01f5gx,6,BR-AC,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-AL,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,90,BR-AL,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,55,BR-AL,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,54,BR-AL,Dengue,2020-12,2025-07-22 18:39
Health,/m/0kt51,34,BR-AL,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,33,BR-AL,Dengue,2020-12,2025-07-22 18:39
Vaccine,/m/07__7,26,BR-AL,Dengue,2020-12,2025-07-22 18:39
Transmission,/m/036991,26,BR-AL,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,19,BR-AL,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,17,BR-AL,Dengue,2020-12,2025-07-22 18:39
History,/m/03g3w,13,BR-AL,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-AM,Dengue,2020-12,2025-07-22 18:39
Yellow fever,/m/087z2,30,BR-AM,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,26,BR-AM,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,26,BR-AM,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,25,BR-AM,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,22,BR-AM,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,21,BR-AM,Dengue,2020-12,2025-07-22 18:39
Larva,/m/0d9_3,20,BR-AM,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,18,BR-AM,Dengue,2020-12,2025-07-22 18:39
Bleeding,/m/012n6x,15,BR-AM,Dengue,2020-12,2025-07-22 18:39
Cell,/m/01cbd,14,BR-AM,Dengue,2020-12,2025-07-22 18:39
Therapy,/m/03c1dkx,13,BR-AM,Dengue,2020-12,2025-07-22 18:39
Body,/m/0180q,13,BR-AM,Dengue,2020-12,2025-07-22 18:39
Transmission,/m/036991,11,BR-AM,Dengue,2020-12,2025-07-22 18:39
Cure,/m/0405g08,11,BR-AM,Dengue,2020-12,2025-07-22 18:39
Itch,/m/04kllm9,10,BR-AM,Dengue,2020-12,2025-07-22 18:39
Infection,/m/098s1,9,BR-AM,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,9,BR-AM,Dengue,2020-12,2025-07-22 18:39
Physics,/m/05qjt,8,BR-AM,Dengue,2020-12,2025-07-22 18:39
Aedes,/m/01yz26,5,BR-AM,Dengue,2020-12,2025-07-22 18:39
Cause,/m/0j276x9,4,BR-AM,Dengue,2020-12,2025-07-22 18:39
Acetaminophen,/m/0lbt3,4,BR-AM,Dengue,2020-12,2025-07-22 18:39
Water,/m/0838f,4,BR-AM,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-AP,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-BA,Dengue,2020-12,2025-07-22 18:39
COVID-19,/g/11j2cc_qll,37,BR-BA,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,33,BR-BA,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,32,BR-BA,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,31,BR-BA,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,28,BR-BA,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,24,BR-BA,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,16,BR-BA,Dengue,2020-12,2025-07-22 18:39
Body,/m/0180q,11,BR-BA,Dengue,2020-12,2025-07-22 18:39
Bleeding,/m/012n6x,10,BR-BA,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,9,BR-BA,Dengue,2020-12,2025-07-22 18:39
Headache,/m/0j5fv,9,BR-BA,Dengue,2020-12,2025-07-22 18:39
Health,/m/0kt51,9,BR-BA,Dengue,2020-12,2025-07-22 18:39
Diarrhea,/m/0f3kl,8,BR-BA,Dengue,2020-12,2025-07-22 18:39
Aedes,/m/01yz26,7,BR-BA,Dengue,2020-12,2025-07-22 18:39
Infection,/m/098s1,7,BR-BA,Dengue,2020-12,2025-07-22 18:39
Combat,/m/0byj4,7,BR-BA,Dengue,2020-12,2025-07-22 18:39
Organism,/m/05nnm,7,BR-BA,Dengue,2020-12,2025-07-22 18:39
Transmission,/m/036991,7,BR-BA,Dengue,2020-12,2025-07-22 18:39
Influenza,/m/0cycc,6,BR-BA,Dengue,2020-12,2025-07-22 18:39
Hepatitis A,/m/01yjzm,6,BR-BA,Dengue,2020-12,2025-07-22 18:39
Dengue virus,/m/0g58pft,5,BR-BA,Dengue,2020-12,2025-07-22 18:39
Epidemic,/m/0hn9s,5,BR-BA,Dengue,2020-12,2025-07-22 18:39
Information,/m/03y39,5,BR-BA,Dengue,2020-12,2025-07-22 18:39
Yellow fever,/m/087z2,5,BR-BA,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-CE,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,78,BR-CE,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,74,BR-CE,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,61,BR-CE,Dengue,2020-12,2025-07-22 18:39
COVID-19,/g/11j2cc_qll,42,BR-CE,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,41,BR-CE,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,39,BR-CE,Dengue,2020-12,2025-07-22 18:39
Health,/m/0kt51,30,BR-CE,Dengue,2020-12,2025-07-22 18:39
Temperature,/m/07gr_,27,BR-CE,Dengue,2020-12,2025-07-22 18:39
Infection,/m/098s1,25,BR-CE,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,24,BR-CE,Dengue,2020-12,2025-07-22 18:39
Aedes,/m/01yz26,23,BR-CE,Dengue,2020-12,2025-07-22 18:39
Blood,/m/019jw,23,BR-CE,Dengue,2020-12,2025-07-22 18:39
Bacteria,/m/017q2,22,BR-CE,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,22,BR-CE,Dengue,2020-12,2025-07-22 18:39
Influenza,/m/0cycc,22,BR-CE,Dengue,2020-12,2025-07-22 18:39
Organism,/m/05nnm,22,BR-CE,Dengue,2020-12,2025-07-22 18:39
Malaria,/m/0542n,20,BR-CE,Dengue,2020-12,2025-07-22 18:39
City,/m/01n32,20,BR-CE,Dengue,2020-12,2025-07-22 18:39
Rain,/m/06mb1,19,BR-CE,Dengue,2020-12,2025-07-22 18:39
Motion,/m/0559m,18,BR-CE,Dengue,2020-12,2025-07-22 18:39
Oxygen,/m/025s6bf,18,BR-CE,Dengue,2020-12,2025-07-22 18:39
Chemistry,/m/01lj9,18,BR-CE,Dengue,2020-12,2025-07-22 18:39
Chagas disease,/m/0208m,17,BR-CE,Dengue,2020-12,2025-07-22 18:39
Therapy,/m/03c1dkx,17,BR-CE,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-DF,Dengue,2020-12,2025-07-22 18:39
COVID-19,/g/11j2cc_qll,47,BR-DF,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,37,BR-DF,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,35,BR-DF,Dengue,2020-12,2025-07-22 18:39
Pain,/m/062t2,18,BR-DF,Dengue,2020-12,2025-07-22 18:39
Vaccine,/m/07__7,16,BR-DF,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,15,BR-DF,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,13,BR-DF,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,12,BR-DF,Dengue,2020-12,2025-07-22 18:39
Cure,/m/0405g08,12,BR-DF,Dengue,2020-12,2025-07-22 18:39
Immunoglobulin G,/m/02gsf4,11,BR-DF,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,10,BR-DF,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,9,BR-DF,Dengue,2020-12,2025-07-22 18:39
Platelet,/m/01bw6w,9,BR-DF,Dengue,2020-12,2025-07-22 18:39
Metamizole,/m/08j19g,8,BR-DF,Dengue,2020-12,2025-07-22 18:39
Cause,/m/0j276x9,8,BR-DF,Dengue,2020-12,2025-07-22 18:39
Bleeding,/m/012n6x,8,BR-DF,Dengue,2020-12,2025-07-22 18:39
Larva,/m/0d9_3,8,BR-DF,Dengue,2020-12,2025-07-22 18:39
Therapy,/m/03c1dkx,7,BR-DF,Dengue,2020-12,2025-07-22 18:39
International Classification of Diseases,/m/03zlr,7,BR-DF,Dengue,2020-12,2025-07-22 18:39
Diarrhea,/m/0f3kl,6,BR-DF,Dengue,2020-12,2025-07-22 18:39
Bacteria,/m/017q2,6,BR-DF,Dengue,2020-12,2025-07-22 18:39
Incubation period,/m/0jf0l,6,BR-DF,Dengue,2020-12,2025-07-22 18:39
Yellow fever,/m/087z2,6,BR-DF,Dengue,2020-12,2025-07-22 18:39
Transmission,/m/036991,5,BR-DF,Dengue,2020-12,2025-07-22 18:39
Symptom,/m/01b_06,100,BR-ES,Dengue,2020-12,2025-07-22 18:39
COVID-19,/g/11j2cc_qll,39,BR-ES,Dengue,2020-12,2025-07-22 18:39
Mosquito,/m/09f96,25,BR-ES,Dengue,2020-12,2025-07-22 18:39
Yellow fever mosquito,/m/06y6_w,24,BR-ES,Dengue,2020-12,2025-07-22 18:39
Disease,/m/027x3,23,BR-ES,Dengue,2020-12,2025-07-22 18:39
Virus,/m/0g9pc,21,BR-ES,Dengue,2020-12,2025-07-22 18:39
Chikungunya virus infection,/m/01__7l,16,BR-ES,Dengue,2020-12,2025-07-22 18:39
Pain,/m/062t2,12,BR-ES,Dengue,2020-12,2025-07-22 18:39
Zika fever,/m/02vkznh,12,BR-ES,Dengue,2020-12,2025-07-22 18:39
Yellow fever,/m/087z2,12,BR-ES,Dengue,2020-12,2025-07-22 18:39
Oxygen,/m/025s6bf,11,BR-ES,Dengue,2020-12,2025-07-22 18:39
Body,/m/0180q,10,BR-ES,Dengue,2020-12,2025-07-22 18:39
Blood,/m/019jw,10,BR-ES,Dengue,2020-12,2025-07-22 18:39
Fever,/m/0cjf0,9,BR-ES,Dengue,2020-12,2025-07-22 18:39
