topSearches,value,geo,keyword,time,sys_time
dengue,100,BR-AC,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,36,BR-AC,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,21,BR-AC,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,12,BR-AC,Dengue,2021-01,2025-07-30 15:25
remédio para dengue,5,BR-AC,Dengue,2021-01,2025-07-30 15:25
sintomas do covid,5,BR-AC,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,2,BR-AC,Dengue,2021-01,2025-07-30 15:25
sinan dengue,1,BR-AC,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-AL,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,27,BR-AL,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,21,BR-AL,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-AM,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,40,BR-AM,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,21,BR-AM,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-AM,Dengue,2021-01,2025-07-30 15:25
sintomas covid,8,BR-AM,Dengue,2021-01,2025-07-30 15:25
sintomas da covid,5,BR-AM,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,3,BR-AM,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,2,BR-AM,Dengue,2021-01,2025-07-30 15:25
tratamento para dengue,2,BR-AM,Dengue,2021-01,2025-07-30 15:25
,,BR-AP,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-BA,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,36,BR-BA,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,16,BR-BA,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,12,BR-BA,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,7,BR-BA,Dengue,2021-01,2025-07-30 15:25
sintomas do covid,4,BR-BA,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,2,BR-BA,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-CE,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,31,BR-CE,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,13,BR-CE,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-CE,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,7,BR-CE,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-DF,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,35,BR-DF,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,17,BR-DF,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,11,BR-DF,Dengue,2021-01,2025-07-30 15:25
sintomas covid,11,BR-DF,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,10,BR-DF,Dengue,2021-01,2025-07-30 15:25
vacina dengue,4,BR-DF,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,3,BR-DF,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,2,BR-DF,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-ES,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,40,BR-ES,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,21,BR-ES,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-ES,Dengue,2021-01,2025-07-30 15:25
sintomas covid,7,BR-ES,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-GO,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,33,BR-GO,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,16,BR-GO,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,14,BR-GO,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,9,BR-GO,Dengue,2021-01,2025-07-30 15:25
sintomas covid,9,BR-GO,Dengue,2021-01,2025-07-30 15:25
sintomas de covid,5,BR-GO,Dengue,2021-01,2025-07-30 15:25
dengue cid,3,BR-GO,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,2,BR-GO,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica sintomas,2,BR-GO,Dengue,2021-01,2025-07-30 15:25
quais são os sintomas da dengue,1,BR-GO,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-MA,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,20,BR-MA,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,10,BR-MA,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,36,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,17,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,13,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas covid,10,BR-MG,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,9,BR-MG,Dengue,2021-01,2025-07-30 15:25
exame dengue,4,BR-MG,Dengue,2021-01,2025-07-30 15:25
vacina dengue,4,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas de covid,4,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintoma dengue,3,BR-MG,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,2,BR-MG,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,2,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas da covid 19,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
pernilongo,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintoma de dengue,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
dengue sintomas iniciais,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
mortes por dengue 2020,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
cid dengue,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue e covid,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
quais são os sintomas da dengue,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
dengue da diarreia,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
"sintomas da dengue, zika e chikungunya",1,BR-MG,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue clássica,1,BR-MG,Dengue,2021-01,2025-07-30 15:25
vacina dengue preço,0,BR-MG,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-MS,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,38,BR-MS,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,19,BR-MS,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,10,BR-MS,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,8,BR-MS,Dengue,2021-01,2025-07-30 15:25
sintomas covid,7,BR-MS,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue no começo,2,BR-MS,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-MT,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,38,BR-MT,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,21,BR-MT,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,12,BR-MT,Dengue,2021-01,2025-07-30 15:25
sintomas covid,11,BR-MT,Dengue,2021-01,2025-07-30 15:25
sintomas da covid,6,BR-MT,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,5,BR-MT,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,3,BR-MT,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-PA,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,32,BR-PA,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,15,BR-PA,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-PA,Dengue,2021-01,2025-07-30 15:25
sintomas do covid,5,BR-PA,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-PB,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,35,BR-PB,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,13,BR-PB,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,13,BR-PB,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-PE,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,25,BR-PE,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,12,BR-PE,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,9,BR-PE,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,9,BR-PE,Dengue,2021-01,2025-07-30 15:25
sintomas covid,5,BR-PE,Dengue,2021-01,2025-07-30 15:25
vacina dengue,5,BR-PE,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,3,BR-PE,Dengue,2021-01,2025-07-30 15:25
vacina da dengue,2,BR-PE,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,2,BR-PE,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,100,BR-PI,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-PR,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,36,BR-PR,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,16,BR-PR,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,12,BR-PR,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,12,BR-PR,Dengue,2021-01,2025-07-30 15:25
vacina dengue,3,BR-PR,Dengue,2021-01,2025-07-30 15:25
vacina da dengue,2,BR-PR,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,2,BR-PR,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica sintomas,2,BR-PR,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,1,BR-PR,Dengue,2021-01,2025-07-30 15:25
tratamento dengue,1,BR-PR,Dengue,2021-01,2025-07-30 15:25
sintoma de dengue,1,BR-PR,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-RJ,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,29,BR-RJ,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,11,BR-RJ,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-RJ,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,10,BR-RJ,Dengue,2021-01,2025-07-30 15:25
sintomas covid,8,BR-RJ,Dengue,2021-01,2025-07-30 15:25
chikungunya,7,BR-RJ,Dengue,2021-01,2025-07-30 15:25
vacina dengue,6,BR-RJ,Dengue,2021-01,2025-07-30 15:25
sintomas do covid 19,3,BR-RJ,Dengue,2021-01,2025-07-30 15:25
mortes por dengue 2020,3,BR-RJ,Dengue,2021-01,2025-07-30 15:25
quais os sintomas da dengue,2,BR-RJ,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-RN,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,25,BR-RN,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-RO,Dengue,2021-01,2025-07-30 15:25
dengue sintomas,38,BR-RO,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,25,BR-RO,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,16,BR-RO,Dengue,2021-01,2025-07-30 15:25
sintomas do covid,5,BR-RO,Dengue,2021-01,2025-07-30 15:25
,,BR-RR,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-RS,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,26,BR-RS,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,18,BR-RS,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,13,BR-RS,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,9,BR-RS,Dengue,2021-01,2025-07-30 15:25
sintomas covid,3,BR-RS,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-SC,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,34,BR-SC,Dengue,2021-01,2025-07-30 15:25
mosquito dengue,18,BR-SC,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,16,BR-SC,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,13,BR-SC,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,11,BR-SC,Dengue,2021-01,2025-07-30 15:25
sintomas covid,5,BR-SC,Dengue,2021-01,2025-07-30 15:25
,,BR-SE,Dengue,2021-01,2025-07-30 15:25
dengue,100,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas dengue,33,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas da dengue,14,BR-SP,Dengue,2021-01,2025-07-30 15:25
covid,12,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas de dengue,12,BR-SP,Dengue,2021-01,2025-07-30 15:25
mosquito,9,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas covid,8,BR-SP,Dengue,2021-01,2025-07-30 15:25
mosquito dengue,8,BR-SP,Dengue,2021-01,2025-07-30 15:25
mosquito da dengue,7,BR-SP,Dengue,2021-01,2025-07-30 15:25
vacina dengue,4,BR-SP,Dengue,2021-01,2025-07-30 15:25
febre,3,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas da covid,3,BR-SP,Dengue,2021-01,2025-07-30 15:25
sintomas de covid,3,BR-SP,Dengue,2021-01,2025-07-30 15:25
exame dengue,3,BR-SP,Dengue,2021-01,2025-07-30 15:25
dengue hemorrágica,2,BR-SP,Dengue,2021-01,2025-07-30 15:25
