topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2020-02,2025-07-22 18:10
Yellow fever mosquito,/m/06y6_w,68,BR-AC,Dengue,2020-02,2025-07-22 18:10
Bleeding,/m/012n6x,56,BR-AC,Dengue,2020-02,2025-07-22 18:10
Disease,/m/027x3,32,BR-AC,Dengue,2020-02,2025-07-22 18:10
Mosquito,/m/09f96,26,BR-AC,Dengue,2020-02,2025-07-22 18:10
Symptom,/m/01b_06,100,BR-AL,Dengue,2020-02,2025-07-22 18:10
Mosquito,/m/09f96,70,BR-AL,Dengue,2020-02,2025-07-22 18:10
Yellow fever mosquito,/m/06y6_w,67,BR-AL,Dengue,2020-02,2025-07-22 18:10
Chikungunya virus infection,/m/01__7l,35,BR-AL,Dengue,2020-02,2025-07-22 18:10
Health,/m/0kt51,27,BR-AL,Dengue,2020-02,2025-07-22 18:10
Virus,/m/0g9pc,26,BR-AL,Dengue,2020-02,2025-07-22 18:10
Common cold,/m/0n073,25,BR-AL,Dengue,2020-02,2025-07-22 18:10
Fever,/m/0cjf0,25,BR-AL,Dengue,2020-02,2025-07-22 18:10
Disease,/m/027x3,22,BR-AL,Dengue,2020-02,2025-07-22 18:10
Zika fever,/m/02vkznh,20,BR-AL,Dengue,2020-02,2025-07-22 18:10
Combat,/m/0byj4,20,BR-AL,Dengue,2020-02,2025-07-22 18:10
Epidemic,/m/0hn9s,13,BR-AL,Dengue,2020-02,2025-07-22 18:10
Influenza,/m/0cycc,12,BR-AL,Dengue,2020-02,2025-07-22 18:10
Ministry of Health of Brazil,/m/0c3ty1w,12,BR-AL,Dengue,2020-02,2025-07-22 18:10
Symptom,/m/01b_06,100,BR-AM,Dengue,2020-02,2025-07-22 18:10
Yellow fever mosquito,/m/06y6_w,39,BR-AM,Dengue,2020-02,2025-07-22 18:10
Mosquito,/m/09f96,28,BR-AM,Dengue,2020-02,2025-07-22 18:10
Disease,/m/027x3,25,BR-AM,Dengue,2020-02,2025-07-22 18:10
Malaria,/m/0542n,17,BR-AM,Dengue,2020-02,2025-07-22 18:10
Zika fever,/m/02vkznh,15,BR-AM,Dengue,2020-02,2025-07-22 18:10
Virus,/m/0g9pc,14,BR-AM,Dengue,2020-02,2025-07-22 18:10
Chikungunya virus infection,/m/01__7l,12,BR-AM,Dengue,2020-02,2025-07-22 18:10
Influenza,/m/0cycc,8,BR-AM,Dengue,2020-02,2025-07-22 18:10
Combat,/m/0byj4,8,BR-AM,Dengue,2020-02,2025-07-22 18:10
Pharmaceutical drug,/m/018l35,7,BR-AM,Dengue,2020-02,2025-07-22 18:10
Eating,/m/01f5gx,6,BR-AM,Dengue,2020-02,2025-07-22 18:10
Infection,/m/098s1,5,BR-AM,Dengue,2020-02,2025-07-22 18:10
Yellow fever mosquito,/m/06y6_w,100,BR-AP,Dengue,2020-02,2025-07-22 18:10
Symptom,/m/01b_06,100,BR-BA,Dengue,2020-02,2025-07-22 18:10
Yellow fever mosquito,/m/06y6_w,41,BR-BA,Dengue,2020-02,2025-07-22 18:10
Mosquito,/m/09f96,41,BR-BA,Dengue,2020-02,2025-07-22 18:10
Zika fever,/m/02vkznh,19,BR-BA,Dengue,2020-02,2025-07-22 18:10
Chikungunya virus infection,/m/01__7l,19,BR-BA,Dengue,2020-02,2025-07-22 18:10
Fever,/m/0cjf0,11,BR-BA,Dengue,2020-02,2025-07-22 18:10
Body,/m/0180q,11,BR-BA,Dengue,2020-02,2025-07-22 18:10
Zika virus,/m/080m_5j,10,BR-BA,Dengue,2020-02,2025-07-22 18:10
Virus,/m/0g9pc,10,BR-BA,Dengue,2020-02,2025-07-22 18:10
Bleeding,/m/012n6x,9,BR-BA,Dengue,2020-02,2025-07-22 18:10
Metamizole,/m/08j19g,9,BR-BA,Dengue,2020-02,2025-07-22 18:10
Itch,/m/04kllm9,7,BR-BA,Dengue,2020-02,2025-07-22 18:10
Acetaminophen,/m/0lbt3,6,BR-BA,Dengue,2020-02,2025-07-22 18:10
Pharmaceutical drug,/m/018l35,6,BR-BA,Dengue,2020-02,2025-07-22 18:10
Platelet,/m/01bw6w,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
Preventive healthcare,/m/0400g4,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
Diarrhea,/m/0f3kl,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
International Classification of Diseases,/m/03zlr,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
Nevus,/m/03rd_n,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
Dengue virus,/m/0g58pft,5,BR-BA,Dengue,2020-02,2025-07-22 18:10
Picada,/m/0b6hz2j,4,BR-BA,Dengue,2020-02,2025-07-22 18:10
