location,month,inc,epi_m3,pre,m3
RO,2020-01-01,3.83573406979428,TRUE,4.84033150734982,4.22755636724638
AC,2020-01-01,77.6109330183904,TRUE,19.9076178812364,73.5134613994071
AM,2020-01-01,9.79186096468301,TRUE,3.30415117366066,8.56049860392184
RR,2020-01-01,6.30114759650601,TRUE,4.58785549077711,6.14361890659336
PA,2020-01-01,1.24363937679691,TRUE,1.4848882295236,1.3778734682607
AP,2020-01-01,0.129154246333311,FALSE,3.11327342968705,0.172205661777748
TO,2020-01-01,4.22898101755595,FALSE,10.0215445339353,3.5557104077958
MA,2020-01-01,0.74993327799512,TRUE,0.638578848994235,1.03912323486905
PI,2020-01-01,0.583317727025724,FALSE,1.58424786433578,0.583317727025724
CE,2020-01-01,1.45471945119925,FALSE,5.24104670577372,1.45844950107412
RN,2020-01-01,2.96614388885072,FALSE,5.37118743007576,3.54121260199525
PB,2020-01-01,2.67926184351573,FALSE,3.52823651584221,2.571760596708
PE,2020-01-01,2.06753086508477,FALSE,4.459154341966,1.99750753810329
AL,2020-01-01,1.21590117155278,FALSE,3.76074198701667,1.39721976731065
SE,2020-01-01,0.542527854284252,FALSE,2.59656716970158,0.482246981586002
BA,2020-01-01,3.92932052838719,TRUE,3.10749828945093,3.66782060896328
MG,2020-01-01,6.7369188315654,TRUE,6.58714219564422,6.65005311597215
ES,2020-01-01,13.1569017131645,TRUE,10.0107909449537,13.7438890426237
RJ,2020-01-01,1.33609974189201,FALSE,1.56693347501293,1.28795200344545
SP,2020-01-01,12.4888818424673,TRUE,6.85951251144783,12.6279368942971
PR,2020-01-01,39.4664167493073,TRUE,8.42804452315355,39.8747968555408
SC,2020-01-01,0.334958569489861,FALSE,1.74273086633731,0.309192525682948
RS,2020-01-01,0.126293994738592,FALSE,0.381665310847904,0.11125899536495
MS,2020-01-01,47.5696093716365,TRUE,12.463745200619,50.3692055710553
MT,2020-01-01,28.0901919778323,TRUE,7.31871328003893,26.9627085745201
GO,2020-01-01,17.7102108436597,TRUE,19.2490133607959,17.5662253896462
DF,2020-01-01,14.0249144052632,TRUE,8.00808098899717,14.9028968517716
RO,2020-01-01,5.44426771196607,TRUE,4.84033150734982,5.56800106905621
AC,2020-01-01,75.8032249511919,TRUE,19.9076178812364,66.724513324817
AM,2020-01-01,7.94481742354125,TRUE,3.30415117366066,7.86047753581789
RR,2020-01-01,5.51350414694276,TRUE,4.58785549077711,5.98609021668071
PA,2020-01-01,1.81216023476121,TRUE,1.4848882295236,1.72925094297475
AP,2020-01-01,0.129154246333311,FALSE,3.11327342968705,0.086102830888874
TO,2020-01-01,3.85026629956587,FALSE,10.0215445339353,4.22898101755595
MA,2020-01-01,1.88218548202697,TRUE,0.638578848994235,1.50476808068302
PI,2020-01-01,0.70612145903114,FALSE,1.58424786433578,0.787990613701417
CE,2020-01-01,1.98065648355591,FALSE,5.24104670577372,1.92470573543286
RN,2020-01-01,4.72161680266033,FALSE,5.37118743007576,4.24743733743589
PB,2020-01-01,2.38156608312509,FALSE,3.52823651584221,2.74541645693587
PE,2020-01-01,2.25548821645611,FALSE,4.459154341966,2.24074646340738
AL,2020-01-01,1.53587516406666,FALSE,3.76074198701667,1.30122756955648
SE,2020-01-01,0.542527854284252,FALSE,2.59656716970158,0.497317199760564
BA,2020-01-01,4.29087259089504,TRUE,3.10749828945093,4.47051166597756
MG,2020-01-01,8.78791489418381,TRUE,6.58714219564422,8.52410049867838
ES,2020-01-01,16.1002238937385,TRUE,10.0107909449537,15.3035982323296
RJ,2020-01-01,1.45646908800841,FALSE,1.56693347501293,1.3320874303548
SP,2020-01-01,17.1885080472788,TRUE,6.85951251144783,17.5187637953747
PR,2020-01-01,55.9170939942016,TRUE,8.42804452315355,59.4207136642322
SC,2020-01-01,0.244777416165667,FALSE,1.74273086633731,0.343547250758832
