doenca,termo,geo,max_correlation,lag,p_value
casos_dengue,Artralgia,AC,0.172245988893889,-1,0.00667712241755569
casos_dengue,Artralgia,AL,0.459955019726887,-1,4.37649916307237e-13
casos_dengue,Artralgia,AM,0.249500265465078,2,8.5252286877946e-05
casos_dengue,Artralgia,AP,0.115074038492241,-19,0.0699571880796936
casos_dengue,Artralgia,BA,0.404986171438023,1,1.79733561367357e-10
casos_dengue,Artralgia,Brasil,0.501168822263263,0,2.66453525910038e-15
casos_dengue,Artralgia,CE,0.494797921916631,-1,6.66133814775094e-15
casos_dengue,Artralgia,DF,0.379366370432161,1,2.31126184857544e-09
casos_dengue,Artralgia,ES,0.12080910759697,-12,0.0571053318212844
casos_dengue,Artralgia,GO,0.496299070142179,0,5.55111512312578e-15
casos_dengue,Artralgia,MA,0.345260949692049,-1,5.41320042124482e-08
casos_dengue,Artralgia,MG,0.653417782359266,0,0
casos_dengue,Artralgia,MS,0.277215612545025,-1,1.26776704496567e-05
casos_dengue,Artralgia,MT,0.325831973398329,0,2.878900187131e-07
casos_dengue,Artralgia,PA,0.336324337931698,-2,1.18081486144561e-07
casos_dengue,Artralgia,PB,0.44889947695704,-1,1.55742085894417e-12
casos_dengue,Artralgia,PE,0.42718291602988,1,1.72859504488088e-11
casos_dengue,Artralgia,PI,0.46884847191628,0,1.54321000422897e-13
casos_dengue,Artralgia,PR,0.449261921145243,1,1.49458223575039e-12
casos_dengue,Artralgia,RJ,0.446783753086469,1,1.97886151909188e-12
casos_dengue,Artralgia,RN,0.416346875942584,-1,5.50346435090887e-11
casos_dengue,Artralgia,RO,0.381598587814835,1,1.86187554263029e-09
casos_dengue,Artralgia,RR,0.275872979198231,-19,1.39623754313867e-05
casos_dengue,Artralgia,RS,0.441716530211992,0,3.49675843835939e-12
casos_dengue,Artralgia,SC,0.511543718641676,2,8.88178419700125e-16
casos_dengue,Artralgia,SE,0.249369182078583,3,8.59870307932109e-05
casos_dengue,Artralgia,SP,0.557985426930354,0,0
casos_dengue,Artralgia,TO,0.423401833763236,1,2.59774424193893e-11
casos_dengue,Artrite,AC,0.0989283575195725,-17,0.119250949359492
casos_dengue,Artrite,AL,0.251995756792026,-6,7.23467469188055e-05
casos_dengue,Artrite,AM,0.0132870791074243,20,0.834256882648572
casos_dengue,Artrite,AP,0.150918228397785,14,0.017470057987512
casos_dengue,Artrite,BA,0.320245848316416,20,4.57722549640494e-07
casos_dengue,Artrite,Brasil,0.388507703706909,18,8.7576812468626e-10
casos_dengue,Artrite,CE,0.204669765851046,-5,0.00126792372991846
casos_dengue,Artrite,DF,0.251112873085436,18,7.66854165237252e-05
casos_dengue,Artrite,ES,-0.00690264379731712,19,0.913438107337073
casos_dengue,Artrite,GO,0.266881766076515,20,2.63565642562025e-05
casos_dengue,Artrite,MA,0.191070027120179,20,0.0026213172352656
casos_dengue,Artrite,MG,0.369543767093358,20,5.89953064178417e-09
casos_dengue,Artrite,MS,0.126959382794796,18,0.0455695939364664
casos_dengue,Artrite,MT,0.180036096083544,-18,0.00457953886745011
casos_dengue,Artrite,PA,0.134952079577953,20,0.0335676365698239
casos_dengue,Artrite,PB,0.317487970712727,-6,5.73881572707435e-07
casos_dengue,Artrite,PE,-0.0101715291851565,20,0.872738179440542
casos_dengue,Artrite,PI,0.394458913412254,-2,5.23326937340585e-10
casos_dengue,Artrite,PR,0.430396303696323,17,1.21944676578778e-11
casos_dengue,Artrite,RJ,0.372071115205955,14,4.64593474802655e-09
casos_dengue,Artrite,RN,0.272838060060046,-3,1.73392341236145e-05
casos_dengue,Artrite,RO,0.224760993317476,-16,0.000400825534780935
casos_dengue,Artrite,RR,0.0277403821206198,12,0.662215801960768
casos_dengue,Artrite,RS,0.378124598801098,13,2.60529997575532e-09
casos_dengue,Artrite,SC,0.404171160870437,15,1.95424787463594e-10
casos_dengue,Artrite,SE,0.141589526187452,-10,0.0257637729107092
casos_dengue,Artrite,SP,0.402234232546225,18,2.3828050643715e-10
casos_dengue,Artrite,TO,0.17348982330401,-12,0.00629281267210624
casos_dengue,Calafrio,AC,0.260649637843388,-20,4.04814331038672e-05
casos_dengue,Calafrio,AL,0.3618397022806,0,1.21038263856121e-08
casos_dengue,Calafrio,AM,0.182341148323683,-19,0.00408514208390365
casos_dengue,Calafrio,AP,0.00632226234274771,-3,0.920691200519547
casos_dengue,Calafrio,BA,0.172879818589956,-9,0.0064787267587787
casos_dengue,Calafrio,Brasil,0.00406882243822569,-10,0.94880704785593
casos_dengue,Calafrio,CE,0.399209705800261,-2,3.24158477837955e-10
casos_dengue,Calafrio,DF,0.0163744977218433,-15,0.796510443031494
casos_dengue,Calafrio,ES,0.354995707367757,-20,2.26445389106544e-08
casos_dengue,Calafrio,GO,0.165559755466146,-8,0.00912759896412174
casos_dengue,Calafrio,MA,-0.0673062515636102,-14,0.289171937697168
casos_dengue,Calafrio,MG,-0.0603590002673936,-11,0.341840739171182
casos_dengue,Calafrio,MS,0.217763317199159,-11,0.000605050724079348
casos_dengue,Calafrio,MT,0.293381481519497,-11,3.83414304949703e-06
casos_dengue,Calafrio,PA,-0.0670187321704603,-15,0.291236914341959
casos_dengue,Calafrio,PB,0.471084044265704,-4,1.18349774425042e-13
casos_dengue,Calafrio,PE,0.432263080094766,-3,9.945821943802e-12
casos_dengue,Calafrio,PI,-0.00177546850319161,-7,0.977693969538271
casos_dengue,Calafrio,PR,0.186233065577805,-9,0.00335918857151563
casos_dengue,Calafrio,RJ,0.153445524830572,8,0.0156721386787462
