topicTitle,topicId,value,geo,keyword,time,sys_time
Health,/m/0kt51,32,BR-AC,Dengue,2023-06,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-07,2024-11-13 10:30
Mosquito,/m/09f96,43,BR-AC,Dengue,2023-07,2024-11-13 10:30
Vaccine,/m/07__7,36,BR-AC,Dengue,2023-07,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,33,BR-AC,Dengue,2023-07,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,25,BR-AC,Dengue,2023-07,2024-11-13 10:30
Luiz Inácio Lula da Silva,/m/0pc9q,21,BR-AC,Dengue,2023-07,2024-11-13 10:30
Disease,/m/027x3,20,BR-AC,Dengue,2023-07,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-08,2024-11-13 10:30
Mosquito,/m/09f96,62,BR-AC,Dengue,2023-08,2024-11-13 10:30
Disease,/m/027x3,40,BR-AC,Dengue,2023-08,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,17,BR-AC,Dengue,2023-08,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-09,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-10,2024-11-13 10:30
Disease,/m/027x3,86,BR-AC,Dengue,2023-10,2024-11-13 10:30
Time,/m/07c_l,43,BR-AC,Dengue,2023-10,2024-11-13 10:30
Vaccine,/m/07__7,40,BR-AC,Dengue,2023-10,2024-11-13 10:30
Mosquito,/m/09f96,30,BR-AC,Dengue,2023-10,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,22,BR-AC,Dengue,2023-10,2024-11-13 10:30
Fever,/m/0cjf0,21,BR-AC,Dengue,2023-10,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-11,2024-11-13 10:30
Bleeding,/m/012n6x,34,BR-AC,Dengue,2023-11,2024-11-13 10:30
Cure,/m/0405g08,30,BR-AC,Dengue,2023-11,2024-11-13 10:30
Mosquito,/m/09f96,25,BR-AC,Dengue,2023-11,2024-11-13 10:30
Fever,/m/0cjf0,24,BR-AC,Dengue,2023-11,2024-11-13 10:30
Platelet,/m/01bw6w,21,BR-AC,Dengue,2023-11,2024-11-13 10:30
Tea,/m/07clx,20,BR-AC,Dengue,2023-11,2024-11-13 10:30
Cause,/m/0j276x9,20,BR-AC,Dengue,2023-11,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,19,BR-AC,Dengue,2023-11,2024-11-13 10:30
Disease,/m/027x3,19,BR-AC,Dengue,2023-11,2024-11-13 10:30
Infection,/m/098s1,16,BR-AC,Dengue,2023-11,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,15,BR-AC,Dengue,2023-11,2024-11-13 10:30
Disease vector,/g/1213bm7p,12,BR-AC,Dengue,2023-11,2024-11-13 10:30
Chikungunya virus infection,/m/01__7l,11,BR-AC,Dengue,2023-11,2024-11-13 10:30
Acetaminophen,/m/0lbt3,10,BR-AC,Dengue,2023-11,2024-11-13 10:30
Metamizole,/m/08j19g,10,BR-AC,Dengue,2023-11,2024-11-13 10:30
Zika fever,/m/02vkznh,8,BR-AC,Dengue,2023-11,2024-11-13 10:30
Eating,/m/01f5gx,8,BR-AC,Dengue,2023-11,2024-11-13 10:30
Malaria,/m/0542n,5,BR-AC,Dengue,2023-11,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-12,2024-11-13 10:30
Cure,/m/0405g08,47,BR-AC,Dengue,2023-12,2024-11-13 10:30
Tea,/m/07clx,26,BR-AC,Dengue,2023-12,2024-11-13 10:30
Metamizole,/m/08j19g,20,BR-AC,Dengue,2023-12,2024-11-13 10:30
Fever,/m/0cjf0,18,BR-AC,Dengue,2023-12,2024-11-13 10:30
Bleeding,/m/012n6x,15,BR-AC,Dengue,2023-12,2024-11-13 10:30
Head,/m/04hgtk,14,BR-AC,Dengue,2023-12,2024-11-13 10:30
Acetaminophen,/m/0lbt3,14,BR-AC,Dengue,2023-12,2024-11-13 10:30
Mosquito,/m/09f96,13,BR-AC,Dengue,2023-12,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,13,BR-AC,Dengue,2023-12,2024-11-13 10:30
Body,/m/0180q,13,BR-AC,Dengue,2023-12,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,11,BR-AC,Dengue,2023-12,2024-11-13 10:30
Headache,/m/0j5fv,11,BR-AC,Dengue,2023-12,2024-11-13 10:30
Itch,/m/04kllm9,8,BR-AC,Dengue,2023-12,2024-11-13 10:30
Pharmaceutical drug,/m/018l35,8,BR-AC,Dengue,2023-12,2024-11-13 10:30
Allergy,/m/0fd23,8,BR-AC,Dengue,2023-12,2024-11-13 10:30
Clove,/g/121hrbw_,8,BR-AC,Dengue,2023-12,2024-11-13 10:30
Home remedy,/m/044zht,7,BR-AC,Dengue,2023-12,2024-11-13 10:30
Ulam raja,/m/04f1h46,7,BR-AC,Dengue,2023-12,2024-11-13 10:30
Transmission,/m/036991,7,BR-AC,Dengue,2023-12,2024-11-13 10:30
Platelet,/m/01bw6w,6,BR-AC,Dengue,2023-12,2024-11-13 10:30
Lemon,/g/1yxkhgd6l,6,BR-AC,Dengue,2023-12,2024-11-13 10:30
Liver,/m/04p8w,6,BR-AC,Dengue,2023-12,2024-11-13 10:30
Saline,/m/04v715,6,BR-AC,Dengue,2023-12,2024-11-13 10:30
Virus,/m/0g9pc,5,BR-AC,Dengue,2023-12,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-01,2024-11-13 10:30
Food,/m/02wbm,32,BR-AC,Dengue,2024-01,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,22,BR-AC,Dengue,2024-01,2024-11-13 10:30
Mosquito,/m/09f96,21,BR-AC,Dengue,2024-01,2024-11-13 10:30
Bleeding,/m/012n6x,19,BR-AC,Dengue,2024-01,2024-11-13 10:30
Eating,/m/01f5gx,18,BR-AC,Dengue,2024-01,2024-11-13 10:30
Metamizole,/m/08j19g,18,BR-AC,Dengue,2024-01,2024-11-13 10:30
Evil,/m/02plx,15,BR-AC,Dengue,2024-01,2024-11-13 10:30
Acetaminophen,/m/0lbt3,15,BR-AC,Dengue,2024-01,2024-11-13 10:30
Fever,/m/0cjf0,14,BR-AC,Dengue,2024-01,2024-11-13 10:30
Platelet,/m/01bw6w,12,BR-AC,Dengue,2024-01,2024-11-13 10:30
Headache,/m/0j5fv,11,BR-AC,Dengue,2024-01,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,11,BR-AC,Dengue,2024-01,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,10,BR-AC,Dengue,2024-01,2024-11-13 10:30
Cause,/m/0j276x9,10,BR-AC,Dengue,2024-01,2024-11-13 10:30
Pharmaceutical drug,/m/018l35,9,BR-AC,Dengue,2024-01,2024-11-13 10:30
International Classification of Diseases,/m/03zlr,9,BR-AC,Dengue,2024-01,2024-11-13 10:30
