topic_title,date,location,value,disease
"",2020-01,AC,,Influenza/gripe
"",2020-02,AC,,Influenza/gripe
gripe espanhola,2020-03,AC,100,Influenza/gripe
gripe espanhola,2020-04,AC,100,Influenza/gripe
gripe espanhola,2020-05,AC,100,Influenza/gripe
gripe espanhola,2020-06,AC,100,Influenza/gripe
gripe espanhola,2020-07,AC,100,Influenza/gripe
"",2020-08,AC,,Influenza/gripe
"",2020-09,AC,,Influenza/gripe
"",2020-10,AC,,Influenza/gripe
"",2020-11,AC,,Influenza/gripe
"",2020-12,AC,,Influenza/gripe
gripe espanhola,2021-01,AC,100,Influenza/gripe
"",2021-02,AC,,Influenza/gripe
gripe espanhola,2021-03,AC,100,Influenza/gripe
"",2021-04,AC,,Influenza/gripe
"",2021-05,AC,,Influenza/gripe
"",2021-06,AC,,Influenza/gripe
"",2021-07,AC,,Influenza/gripe
gripe,2021-08,AC,100,Influenza/gripe
"",2021-09,AC,,Influenza/gripe
"",2021-10,AC,,Influenza/gripe
"",2021-11,AC,,Influenza/gripe
gripe,2021-12,AC,100,Influenza/gripe
gripe h3n2,2021-12,AC,15,Influenza/gripe
influenza,2021-12,AC,13,Influenza/gripe
nova gripe,2021-12,AC,11,Influenza/gripe
remedio para gripe,2021-12,AC,7,Influenza/gripe
sintomas da nova gripe,2021-12,AC,5,Influenza/gripe
coquetel para gripe,2021-12,AC,2,Influenza/gripe
gripe h3n2 quanto tempo dura,2021-12,AC,1,Influenza/gripe
gripe,2022-01,AC,100,Influenza/gripe
influenza,2022-01,AC,17,Influenza/gripe
sintomas da gripe,2022-01,AC,9,Influenza/gripe
gripe h3n2,2022-01,AC,8,Influenza/gripe
sintomas da nova gripe,2022-01,AC,5,Influenza/gripe
sintomas da gripe h3n2,2022-01,AC,4,Influenza/gripe
sintomas do covid,2022-01,AC,3,Influenza/gripe
gripe espanhola,2022-01,AC,1,Influenza/gripe
"",2022-02,AC,,Influenza/gripe
remedio para gripe,2022-03,AC,100,Influenza/gripe
gripe,2022-04,AC,100,Influenza/gripe
influenza,2022-04,AC,11,Influenza/gripe
gripe,2022-05,AC,100,Influenza/gripe
gripe,2022-06,AC,100,Influenza/gripe
"",2022-07,AC,,Influenza/gripe
"",2022-08,AC,,Influenza/gripe
"",2022-09,AC,,Influenza/gripe
"",2022-10,AC,,Influenza/gripe
"",2022-11,AC,,Influenza/gripe
"",2022-12,AC,,Influenza/gripe
"",2023-01,AC,,Influenza/gripe
"",2023-02,AC,,Influenza/gripe
"",2023-03,AC,,Influenza/gripe
gripe,2023-04,AC,100,Influenza/gripe
remedio para gripe,2023-04,AC,5,Influenza/gripe
influenza,2023-05,AC,100,Influenza/gripe
gripe aviaria,2023-05,AC,30,Influenza/gripe
influenza,2023-06,AC,100,Influenza/gripe
"",2023-07,AC,,Influenza/gripe
"",2023-08,AC,,Influenza/gripe
"",2023-09,AC,,Influenza/gripe
"",2023-10,AC,,Influenza/gripe
"",2023-11,AC,,Influenza/gripe
"",2023-12,AC,,Influenza/gripe
"",2024-01,AC,,Influenza/gripe
"",2024-02,AC,,Influenza/gripe
"",2024-03,AC,,Influenza/gripe
influenza a,2024-04,AC,100,Influenza/gripe
"",2024-05,AC,,Influenza/gripe
"",2024-06,AC,,Influenza/gripe
"",2024-07,AC,,Influenza/gripe
"",2024-08,AC,,Influenza/gripe
"",2024-09,AC,,Influenza/gripe
"",2024-10,AC,,Influenza/gripe
"",2024-11,AC,,Influenza/gripe
"",2024-12,AC,,Influenza/gripe
"",2025-01,AC,,Influenza/gripe
"",2025-02,AC,,Influenza/gripe
gripe,2025-03,AC,100,Influenza/gripe
influenza,2025-03,AC,9,Influenza/gripe
"",2020-01,AL,,Influenza/gripe
gripe,2020-02,AL,100,Influenza/gripe
chá para gripe,2020-02,AL,6,Influenza/gripe
gripe espanhola,2020-02,AL,5,Influenza/gripe
gripe,2020-03,AL,100,Influenza/gripe
gripe espanhola,2020-03,AL,19,Influenza/gripe
vacina da gripe,2020-03,AL,12,Influenza/gripe
influenza,2020-03,AL,11,Influenza/gripe
h1n1,2020-03,AL,6,Influenza/gripe
sintomas de gripe,2020-03,AL,4,Influenza/gripe
vacina influenza,2020-03,AL,3,Influenza/gripe
remedio para gripe,2020-03,AL,3,Influenza/gripe
sintomas da gripe,2020-03,AL,2,Influenza/gripe
gripe suina,2020-03,AL,2,Influenza/gripe
remédio para gripe,2020-03,AL,2,Influenza/gripe
gripe espanhola wikipedia,2020-03,AL,2,Influenza/gripe
peste negra,2020-03,AL,2,Influenza/gripe
gripe espanhola mortes,2020-03,AL,1,Influenza/gripe
cachaça combate à gripe,2020-03,AL,1,Influenza/gripe
gripe suína,2020-03,AL,1,Influenza/gripe
gripe,2020-04,AL,100,Influenza/gripe
gripe espanhola,2020-04,AL,32,Influenza/gripe
vacina da gripe,2020-04,AL,14,Influenza/gripe
influenza,2020-04,AL,9,Influenza/gripe
sintomas de gripe,2020-04,AL,4,Influenza/gripe
peste negra,2020-04,AL,3,Influenza/gripe
vacina da gripe 2020,2020-04,AL,3,Influenza/gripe
sintomas de covid 19,2020-04,AL,2,Influenza/gripe
sintomas do covid 19,2020-04,AL,2,Influenza/gripe
gripe suina,2020-04,AL,1,Influenza/gripe
gripe espanhola 1918,2020-04,AL,1,Influenza/gripe
chá para gripe,2020-04,AL,1,Influenza/gripe
gripe,2020-05,AL,100,Influenza/gripe
gripe espanhola,2020-05,AL,25,Influenza/gripe
gripe sintomas,2020-05,AL,18,Influenza/gripe
vacina da gripe,2020-05,AL,13,Influenza/gripe
sintomas de gripe,2020-05,AL,9,Influenza/gripe
influenza,2020-05,AL,8,Influenza/gripe
sintomas da gripe,2020-05,AL,7,Influenza/gripe
sintomas coronavirus,2020-05,AL,3,Influenza/gripe
gripe espanhola 1918,2020-05,AL,3,Influenza/gripe
sintomas de covid 19,2020-05,AL,3,Influenza/gripe
peste negra,2020-05,AL,2,Influenza/gripe
sintomas da covid 19,2020-05,AL,2,Influenza/gripe
vacinação gripe 2020,2020-05,AL,2,Influenza/gripe
sintomas corona virus,2020-05,AL,1,Influenza/gripe
sintomas do coronavirus,2020-05,AL,1,Influenza/gripe
campanha vacina gripe 2020,2020-05,AL,1,Influenza/gripe
sintomas da dengue,2020-05,AL,1,Influenza/gripe
quanto tempo durou a gripe espanhola,2020-05,AL,1,Influenza/gripe
sintomas de virose,2020-05,AL,1,Influenza/gripe
sintomas de gripe forte,2020-05,AL,0,Influenza/gripe
gripe espanhola número de mortes,2020-05,AL,0,Influenza/gripe
gripe espanhola,2020-06,AL,100,Influenza/gripe
gripe sintomas,2020-06,AL,68,Influenza/gripe
sintomas de gripe,2020-06,AL,42,Influenza/gripe
sintomas da gripe,2020-06,AL,31,Influenza/gripe
vacina da gripe,2020-06,AL,25,Influenza/gripe
remedio para gripe,2020-06,AL,19,Influenza/gripe
cha para gripe,2020-06,AL,19,Influenza/gripe
peste negra,2020-06,AL,7,Influenza/gripe
gripe,2020-07,AL,100,Influenza/gripe
gripe sintomas,2020-07,AL,16,Influenza/gripe
gripe espanhola,2020-07,AL,14,Influenza/gripe
sintomas da gripe,2020-07,AL,7,Influenza/gripe
sintomas do covid,2020-07,AL,1,Influenza/gripe
gripe,2020-08,AL,100,Influenza/gripe
gripe espanhola,2020-08,AL,9,Influenza/gripe
sintomas de gripe,2020-08,AL,8,Influenza/gripe
sintomas da gripe,2020-08,AL,7,Influenza/gripe
sintomas do covid,2020-08,AL,3,Influenza/gripe
diferença entre gripe e covid,2020-08,AL,3,Influenza/gripe
gripe,2020-09,AL,100,Influenza/gripe
gripe espanhola,2020-09,AL,12,Influenza/gripe
sintomas do covid,2020-09,AL,8,Influenza/gripe
sintomas de gripe,2020-09,AL,7,Influenza/gripe
gripe espanhola,2020-10,AL,100,Influenza/gripe
gripe sintomas,2020-10,AL,99,Influenza/gripe
sintomas do covid,2020-10,AL,23,Influenza/gripe
gripe,2020-11,AL,100,Influenza/gripe
sintomas do covid,2020-11,AL,7,Influenza/gripe
gripe espanhola,2020-11,AL,6,Influenza/gripe
sintomas do covid e da gripe,2020-11,AL,2,Influenza/gripe
sintomas gripe,2020-12,AL,100,Influenza/gripe
gripe espanhola,2020-12,AL,63,Influenza/gripe
sintomas de gripe,2020-12,AL,50,Influenza/gripe
sintomas do covid,2020-12,AL,29,Influenza/gripe
gripe espanhola,2021-01,AL,100,Influenza/gripe
remédio para gripe,2021-01,AL,48,Influenza/gripe
sintomas de gripe,2021-01,AL,41,Influenza/gripe
sintomas do covid,2021-01,AL,34,Influenza/gripe
sintomas do covid e da gripe,2021-01,AL,14,Influenza/gripe
sivep gripe,2021-01,AL,12,Influenza/gripe
eficacia da vacina da gripe,2021-01,AL,9,Influenza/gripe
gripe espanhola,2021-02,AL,100,Influenza/gripe
sintomas do covid,2021-02,AL,61,Influenza/gripe
sintomas do covid e da gripe,2021-02,AL,16,Influenza/gripe
gripe espanhola,2021-03,AL,100,Influenza/gripe
sintomas de gripe,2021-03,AL,43,Influenza/gripe
sintomas do covid,2021-03,AL,27,Influenza/gripe
gripe espanhola mortes,2021-03,AL,24,Influenza/gripe
sintomas do covid e da gripe,2021-03,AL,12,Influenza/gripe
gripe espanhola,2021-04,AL,100,Influenza/gripe
sintomas do covid,2021-04,AL,61,Influenza/gripe
sintomas de gripe,2021-04,AL,36,Influenza/gripe
gripe,2021-05,AL,100,Influenza/gripe
vacina da gripe,2021-05,AL,21,Influenza/gripe
influenza,2021-05,AL,11,Influenza/gripe
vacina influenza,2021-05,AL,7,Influenza/gripe
gripe espanhola,2021-05,AL,6,Influenza/gripe
sintomas de gripe,2021-05,AL,6,Influenza/gripe
vacina gripe maceio,2021-05,AL,4,Influenza/gripe
remédio para gripe,2021-05,AL,4,Influenza/gripe
cha para gripe,2021-05,AL,4,Influenza/gripe
sintomas do covid,2021-05,AL,3,Influenza/gripe
vacina da gripe em maceió,2021-05,AL,3,Influenza/gripe
vacinação da gripe 2021,2021-05,AL,1,Influenza/gripe
remedio para gripe infantil,2021-05,AL,1,Influenza/gripe
sintomas do covid e da gripe,2021-05,AL,1,Influenza/gripe
gripe,2021-06,AL,100,Influenza/gripe
vacina da gripe,2021-06,AL,19,Influenza/gripe
influenza,2021-06,AL,9,Influenza/gripe
gripe aviaria,2021-06,AL,8,Influenza/gripe
remedio para gripe,2021-06,AL,5,Influenza/gripe
sintomas de gripe,2021-06,AL,5,Influenza/gripe
gripe espanhola,2021-06,AL,4,Influenza/gripe
quem pode tomar a vacina da gripe,2021-06,AL,3,Influenza/gripe
sintomas do covid,2021-06,AL,2,Influenza/gripe
gripe,2021-07,AL,100,Influenza/gripe
vacina da gripe,2021-07,AL,35,Influenza/gripe
influenza,2021-07,AL,13,Influenza/gripe
vacina influenza,2021-07,AL,9,Influenza/gripe
vacina da gripe em maceió,2021-07,AL,5,Influenza/gripe
chá para gripe,2021-07,AL,5,Influenza/gripe
vacina gripe maceio,2021-07,AL,4,Influenza/gripe
sintomas da gripe,2021-07,AL,4,Influenza/gripe
sintomas de gripe,2021-07,AL,4,Influenza/gripe
gripe espanhola,2021-07,AL,3,Influenza/gripe
sintomas do covid,2021-07,AL,3,Influenza/gripe
cha para gripe,2021-07,AL,3,Influenza/gripe
reações da vacina da gripe,2021-07,AL,2,Influenza/gripe
o que é bom para gripe,2021-07,AL,2,Influenza/gripe
sintomas do covid e da gripe,2021-07,AL,1,Influenza/gripe
gripe,2021-08,AL,100,Influenza/gripe
o que é bom para gripe,2021-08,AL,3,Influenza/gripe
vacina da gripe em maceió,2021-08,AL,2,Influenza/gripe
sintomas do covid,2021-08,AL,1,Influenza/gripe
gripe,2021-09,AL,100,Influenza/gripe
cha para gripe,2021-10,AL,100,Influenza/gripe
gripe espanhola,2021-10,AL,87,Influenza/gripe
gripe espanhola,2021-11,AL,100,Influenza/gripe
gripe,2021-12,AL,100,Influenza/gripe
influenza,2021-12,AL,21,Influenza/gripe
h3n2,2021-12,AL,19,Influenza/gripe
gripe h3n2,2021-12,AL,15,Influenza/gripe
gripe nova,2021-12,AL,14,Influenza/gripe
sintomas h3n2,2021-12,AL,7,Influenza/gripe
remédio para gripe,2021-12,AL,6,Influenza/gripe
nova gripe sintomas,2021-12,AL,6,Influenza/gripe
remedio para gripe,2021-12,AL,6,Influenza/gripe
gripe h3n2 sintomas,2021-12,AL,6,Influenza/gripe
sintomas da nova gripe,2021-12,AL,5,Influenza/gripe
influenza h3n2,2021-12,AL,4,Influenza/gripe
influenza sintomas,2021-12,AL,4,Influenza/gripe
surto de gripe,2021-12,AL,4,Influenza/gripe
sintomas de gripe,2021-12,AL,4,Influenza/gripe
chá para gripe,2021-12,AL,3,Influenza/gripe
influenza a,2021-12,AL,3,Influenza/gripe
gripe influenza,2021-12,AL,3,Influenza/gripe
cha para gripe,2021-12,AL,2,Influenza/gripe
vacina influenza,2021-12,AL,2,Influenza/gripe
nova gripe h3n2,2021-12,AL,2,Influenza/gripe
surto de gripe no brasil,2021-12,AL,2,Influenza/gripe
sintomas da gripe h3n2,2021-12,AL,2,Influenza/gripe
sintomas da nova gripe h3n2,2021-12,AL,1,Influenza/gripe
epidemia de gripe,2021-12,AL,1,Influenza/gripe
gripe,2022-01,AL,100,Influenza/gripe
influenza,2022-01,AL,22,Influenza/gripe
gripe sintomas,2022-01,AL,21,Influenza/gripe
h3n2,2022-01,AL,16,Influenza/gripe
gripe h3n2,2022-01,AL,13,Influenza/gripe
nova gripe,2022-01,AL,13,Influenza/gripe
sintomas da gripe,2022-01,AL,11,Influenza/gripe
nova gripe sintomas,2022-01,AL,7,Influenza/gripe
sintomas h3n2,2022-01,AL,7,Influenza/gripe
remédio para gripe,2022-01,AL,6,Influenza/gripe
sintomas influenza,2022-01,AL,6,Influenza/gripe
sintomas da nova gripe,2022-01,AL,6,Influenza/gripe
chá para gripe,2022-01,AL,6,Influenza/gripe
sintomas gripe h3n2,2022-01,AL,6,Influenza/gripe
remedio para gripe,2022-01,AL,5,Influenza/gripe
sintomas de gripe,2022-01,AL,5,Influenza/gripe
influenza a,2022-01,AL,4,Influenza/gripe
cha para gripe,2022-01,AL,4,Influenza/gripe
gripe influenza,2022-01,AL,3,Influenza/gripe
influenza h3n2,2022-01,AL,3,Influenza/gripe
sintomas omicron,2022-01,AL,3,Influenza/gripe
sintomas da gripe h3n2,2022-01,AL,3,Influenza/gripe
sintomas de covid,2022-01,AL,3,Influenza/gripe
sintomas da influenza,2022-01,AL,2,Influenza/gripe
sintomas do covid,2022-01,AL,2,Influenza/gripe
remedio para gripe,2022-02,AL,100,Influenza/gripe
gripe h3n2,2022-02,AL,73,Influenza/gripe
sintomas da nova gripe,2022-02,AL,67,Influenza/gripe
gripe espanhola,2022-02,AL,59,Influenza/gripe
gripe,2022-03,AL,100,Influenza/gripe
influenza,2022-03,AL,10,Influenza/gripe
remédio para gripe,2022-03,AL,8,Influenza/gripe
gripe espanhola,2022-03,AL,6,Influenza/gripe
remédios para gripe,2022-03,AL,1,Influenza/gripe
gripe,2022-04,AL,100,Influenza/gripe
influenza,2022-04,AL,20,Influenza/gripe
remédio para gripe,2022-04,AL,8,Influenza/gripe
cha para gripe,2022-04,AL,3,Influenza/gripe
vacina influenza maceio,2022-04,AL,2,Influenza/gripe
sintomas da nova gripe,2022-04,AL,1,Influenza/gripe
o que é bom para gripe,2022-04,AL,1,Influenza/gripe
gripe,2022-05,AL,100,Influenza/gripe
influenza,2022-05,AL,12,Influenza/gripe
remédio para gripe,2022-05,AL,7,Influenza/gripe
gripe sintomas,2022-05,AL,7,Influenza/gripe
chá para gripe,2022-05,AL,5,Influenza/gripe
remedio para gripe,2022-05,AL,5,Influenza/gripe
sintomas da gripe,2022-05,AL,3,Influenza/gripe
cha para gripe,2022-05,AL,3,Influenza/gripe
sintomas de gripe,2022-05,AL,3,Influenza/gripe
o que é bom para gripe,2022-05,AL,2,Influenza/gripe
vacinação contra gripe,2022-05,AL,1,Influenza/gripe
cha para gripe forte,2022-05,AL,1,Influenza/gripe
sintomas da dengue,2022-05,AL,1,Influenza/gripe
gripe,2022-06,AL,100,Influenza/gripe
vacina da gripe,2022-06,AL,9,Influenza/gripe
gripe sintomas,2022-06,AL,9,Influenza/gripe
influenza,2022-06,AL,8,Influenza/gripe
remedio para gripe,2022-06,AL,6,Influenza/gripe
sintomas de gripe,2022-06,AL,5,Influenza/gripe
cha para gripe,2022-06,AL,4,Influenza/gripe
sintomas da gripe,2022-06,AL,4,Influenza/gripe
sintomas da dengue,2022-06,AL,1,Influenza/gripe
remedio pra gripe,2022-06,AL,1,Influenza/gripe
sintomas do covid,2022-06,AL,1,Influenza/gripe
gripe,2022-07,AL,100,Influenza/gripe
influenza,2022-07,AL,13,Influenza/gripe
remédio para gripe,2022-07,AL,9,Influenza/gripe
gripe sintomas,2022-07,AL,8,Influenza/gripe
remedio para gripe,2022-07,AL,7,Influenza/gripe
sintomas da gripe,2022-07,AL,3,Influenza/gripe
cha para gripe,2022-07,AL,3,Influenza/gripe
vacina gripe maceio,2022-07,AL,3,Influenza/gripe
gripe,2022-08,AL,100,Influenza/gripe
remédio para gripe,2022-08,AL,9,Influenza/gripe
gripe do tomate,2022-08,AL,5,Influenza/gripe
gripe espanhola,2022-08,AL,3,Influenza/gripe
remedio para gripe infantil,2022-08,AL,2,Influenza/gripe
gripe,2022-09,AL,100,Influenza/gripe
remédio para gripe,2022-09,AL,7,Influenza/gripe
remedio para gripe,2022-09,AL,6,Influenza/gripe
o que é bom para gripe,2022-09,AL,3,Influenza/gripe
cha para gripe,2022-09,AL,2,Influenza/gripe
gripe,2022-10,AL,100,Influenza/gripe
remédio para gripe,2022-10,AL,10,Influenza/gripe
chá para gripe,2022-10,AL,7,Influenza/gripe
remedio para gripe,2022-10,AL,6,Influenza/gripe
gripe,2022-11,AL,100,Influenza/gripe
gripe sintomas,2022-11,AL,8,Influenza/gripe
remédio para gripe,2022-11,AL,8,Influenza/gripe
gripe,2022-12,AL,100,Influenza/gripe
chá para gripe,2022-12,AL,8,Influenza/gripe
gripe,2023-01,AL,100,Influenza/gripe
gripe,2023-02,AL,100,Influenza/gripe
remedio para gripe,2023-02,AL,12,Influenza/gripe
remédio para gripe,2023-02,AL,9,Influenza/gripe
cha para gripe,2023-02,AL,3,Influenza/gripe
gripe aviaria,2023-02,AL,3,Influenza/gripe
gripe espanhola,2023-02,AL,2,Influenza/gripe
gripe,2023-03,AL,100,Influenza/gripe
gripe sintomas,2023-03,AL,8,Influenza/gripe
sintomas de gripe,2023-03,AL,3,Influenza/gripe
gripe aviaria,2023-03,AL,2,Influenza/gripe
gripe espanhola,2023-03,AL,2,Influenza/gripe
o que é bom para gripe,2023-03,AL,2,Influenza/gripe
gripe,2023-04,AL,100,Influenza/gripe
influenza,2023-04,AL,22,Influenza/gripe
vacina da gripe,2023-04,AL,10,Influenza/gripe
gripe sintomas,2023-04,AL,9,Influenza/gripe
influenza a,2023-04,AL,7,Influenza/gripe
remédio para gripe,2023-04,AL,6,Influenza/gripe
sintomas da gripe,2023-04,AL,3,Influenza/gripe
influenza tipo a,2023-04,AL,3,Influenza/gripe
cha para gripe,2023-04,AL,2,Influenza/gripe
vacina da gripe 2023,2023-04,AL,1,Influenza/gripe
gripe aviaria,2023-04,AL,1,Influenza/gripe
remedio pra gripe,2023-04,AL,1,Influenza/gripe
sindrome gripal cid,2023-04,AL,1,Influenza/gripe
gripe,2023-05,AL,100,Influenza/gripe
influenza,2023-05,AL,26,Influenza/gripe
vacina da gripe,2023-05,AL,15,Influenza/gripe
remédio para gripe,2023-05,AL,6,Influenza/gripe
remedio para gripe,2023-05,AL,5,Influenza/gripe
chá para gripe,2023-05,AL,4,Influenza/gripe
cha para gripe,2023-05,AL,3,Influenza/gripe
gripe aviaria,2023-05,AL,3,Influenza/gripe
sintomas de gripe,2023-05,AL,3,Influenza/gripe
influenza tipo a,2023-05,AL,3,Influenza/gripe
sintomas da influenza,2023-05,AL,1,Influenza/gripe
gripe,2023-06,AL,100,Influenza/gripe
vacina da gripe,2023-06,AL,10,Influenza/gripe
remédio para gripe,2023-06,AL,8,Influenza/gripe
remedio para gripe,2023-06,AL,6,Influenza/gripe
cha para gripe,2023-06,AL,5,Influenza/gripe
vacina influenza,2023-06,AL,4,Influenza/gripe
sintomas de gripe,2023-06,AL,3,Influenza/gripe
gripe aviaria,2023-06,AL,3,Influenza/gripe
xarope para gripe,2023-06,AL,2,Influenza/gripe
gripe,2023-07,AL,100,Influenza/gripe
remedio para gripe,2023-07,AL,10,Influenza/gripe
chá para gripe,2023-07,AL,6,Influenza/gripe
gripe sintomas,2023-07,AL,5,Influenza/gripe
gripe aviaria,2023-07,AL,2,Influenza/gripe
gripe,2023-08,AL,100,Influenza/gripe
remedio para gripe,2023-09,AL,100,Influenza/gripe
gripe,2023-10,AL,100,Influenza/gripe
"",2023-11,AL,,Influenza/gripe
remedio para gripe,2023-12,AL,100,Influenza/gripe
remédio para gripe,2023-12,AL,78,Influenza/gripe
chá para gripe,2023-12,AL,68,Influenza/gripe
cid sindrome gripal,2023-12,AL,26,Influenza/gripe
"",2024-01,AL,,Influenza/gripe
gripe sintomas,2024-02,AL,100,Influenza/gripe
gripe,2024-03,AL,100,Influenza/gripe
influenza,2024-03,AL,17,Influenza/gripe
remedio para gripe,2024-03,AL,3,Influenza/gripe
sintomas de dengue,2024-03,AL,2,Influenza/gripe
gripe,2024-04,AL,100,Influenza/gripe
influenza,2024-04,AL,24,Influenza/gripe
remédio para gripe,2024-04,AL,7,Influenza/gripe
gripe,2024-05,AL,100,Influenza/gripe
influenza,2024-05,AL,20,Influenza/gripe
vacina da gripe,2024-05,AL,15,Influenza/gripe
vacina influenza,2024-05,AL,5,Influenza/gripe
gripe,2024-06,AL,100,Influenza/gripe
influenza,2024-06,AL,10,Influenza/gripe
remedio para gripe,2024-06,AL,6,Influenza/gripe
gripe aviaria,2024-06,AL,2,Influenza/gripe
vacina influenza 2024,2024-06,AL,2,Influenza/gripe
gripe,2024-07,AL,100,Influenza/gripe
remedio para gripe,2024-07,AL,9,Influenza/gripe
influenza,2024-07,AL,7,Influenza/gripe
cha para gripe,2024-07,AL,2,Influenza/gripe
gripe,2024-08,AL,100,Influenza/gripe
remedio para gripe,2024-08,AL,2,Influenza/gripe
remedio para gripe,2024-09,AL,100,Influenza/gripe
remedio pra gripe,2024-09,AL,39,Influenza/gripe
remédio para gripe,2024-10,AL,100,Influenza/gripe
remedio para gripe,2024-10,AL,77,Influenza/gripe
gripe aviaria,2024-11,AL,100,Influenza/gripe
gripe,2024-12,AL,100,Influenza/gripe
"",2025-01,AL,,Influenza/gripe
"",2025-02,AL,,Influenza/gripe
gripe,2025-03,AL,100,Influenza/gripe
influenza,2025-03,AL,10,Influenza/gripe
remédio para gripe,2025-03,AL,8,Influenza/gripe
remedio para gripe,2025-03,AL,7,Influenza/gripe
chá para gripe,2025-03,AL,4,Influenza/gripe
influenza a,2025-03,AL,3,Influenza/gripe
vacina gripe 2025,2025-03,AL,3,Influenza/gripe
remedio pra gripe,2025-03,AL,2,Influenza/gripe
benegrip,2025-03,AL,2,Influenza/gripe
gripe aviaria,2025-03,AL,1,Influenza/gripe
vacina da gripe 2025,2025-03,AL,1,Influenza/gripe
remédio pra gripe,2025-03,AL,0,Influenza/gripe
gripe espanhola,2025-03,AL,0,Influenza/gripe
melhor remedio para gripe,2025-03,AL,0,Influenza/gripe
gripe aviária,2025-03,AL,0,Influenza/gripe
como melhorar da gripe,2025-03,AL,0,Influenza/gripe
trump,2025-03,AL,0,Influenza/gripe
gripe,2020-01,AM,100,Influenza/gripe
influenza,2020-01,AM,9,Influenza/gripe
gripe espanhola,2020-01,AM,2,Influenza/gripe
gripe,2020-02,AM,100,Influenza/gripe
remédio caseiro para gripe,2020-02,AM,3,Influenza/gripe
gripe espanhola,2020-02,AM,3,Influenza/gripe
gripe,2020-03,AM,100,Influenza/gripe
gripe espanhola,2020-03,AM,25,Influenza/gripe
influenza,2020-03,AM,10,Influenza/gripe
h1n1,2020-03,AM,6,Influenza/gripe
remedio para gripe,2020-03,AM,3,Influenza/gripe
gripe suina,2020-03,AM,3,Influenza/gripe
sintomas da gripe,2020-03,AM,3,Influenza/gripe
influenza a,2020-03,AM,2,Influenza/gripe
gripe espanhola mortes,2020-03,AM,2,Influenza/gripe
gripe espanhola wikipedia,2020-03,AM,2,Influenza/gripe
covid 19,2020-03,AM,2,Influenza/gripe
peste negra,2020-03,AM,2,Influenza/gripe
remédio caseiro para gripe,2020-03,AM,1,Influenza/gripe
gripe aviaria,2020-03,AM,1,Influenza/gripe
o que foi a gripe espanhola,2020-03,AM,1,Influenza/gripe
influenza b,2020-03,AM,1,Influenza/gripe
gripe,2020-04,AM,100,Influenza/gripe
gripe espanhola,2020-04,AM,23,Influenza/gripe
influenza,2020-04,AM,12,Influenza/gripe
gripe sintomas,2020-04,AM,11,Influenza/gripe
vacina da gripe,2020-04,AM,7,Influenza/gripe
remedio para gripe,2020-04,AM,5,Influenza/gripe
sintomas de gripe,2020-04,AM,4,Influenza/gripe
remédio para gripe,2020-04,AM,4,Influenza/gripe
vacina gripe manaus,2020-04,AM,4,Influenza/gripe
vacina influenza,2020-04,AM,4,Influenza/gripe
sintomas da gripe,2020-04,AM,4,Influenza/gripe
chá para gripe,2020-04,AM,4,Influenza/gripe
remédio caseiro para gripe,2020-04,AM,3,Influenza/gripe
peste negra,2020-04,AM,2,Influenza/gripe
gripe espanhola 1918,2020-04,AM,2,Influenza/gripe
quanto tempo durou a gripe espanhola,2020-04,AM,1,Influenza/gripe
gripe suina,2020-04,AM,1,Influenza/gripe
vacinação gripe 2020,2020-04,AM,1,Influenza/gripe
chá de alho com limão para gripe,2020-04,AM,1,Influenza/gripe
sintomas do coronavírus,2020-04,AM,1,Influenza/gripe
gripe,2020-05,AM,100,Influenza/gripe
gripe espanhola,2020-05,AM,24,Influenza/gripe
vacina da gripe,2020-05,AM,15,Influenza/gripe
influenza,2020-05,AM,15,Influenza/gripe
remedio para gripe,2020-05,AM,4,Influenza/gripe
peste negra,2020-05,AM,4,Influenza/gripe
campanha de vacinação gripe 2020 manaus,2020-05,AM,4,Influenza/gripe
gripe espanhola 1918,2020-05,AM,3,Influenza/gripe
chá para gripe,2020-05,AM,2,Influenza/gripe
locais de vacinação da gripe em manaus,2020-05,AM,2,Influenza/gripe
quanto tempo durou a gripe espanhola,2020-05,AM,1,Influenza/gripe
sivep gripe,2020-05,AM,0,Influenza/gripe
gripe,2020-06,AM,100,Influenza/gripe
gripe espanhola,2020-06,AM,24,Influenza/gripe
influenza,2020-06,AM,20,Influenza/gripe
vacina da gripe,2020-06,AM,11,Influenza/gripe
campanha de vacinação gripe 2020 manaus,2020-06,AM,3,Influenza/gripe
gripe,2020-07,AM,100,Influenza/gripe
gripe espanhola,2020-07,AM,11,Influenza/gripe
remedio para gripe infantil,2020-07,AM,3,Influenza/gripe
gripe,2020-08,AM,100,Influenza/gripe
gripe espanhola,2020-08,AM,14,Influenza/gripe
gripe espanhola,2020-09,AM,100,Influenza/gripe
cid gripe,2020-09,AM,43,Influenza/gripe
gripe,2020-10,AM,100,Influenza/gripe
gripe espanhola,2020-10,AM,11,Influenza/gripe
gripe,2020-11,AM,100,Influenza/gripe
gripe espanhola,2020-11,AM,6,Influenza/gripe
remedio pra gripe,2020-11,AM,3,Influenza/gripe
gripe,2020-12,AM,100,Influenza/gripe
gripe espanhola,2020-12,AM,10,Influenza/gripe
remédio para gripe,2020-12,AM,8,Influenza/gripe
remedio pra gripe,2020-12,AM,3,Influenza/gripe
gripe espanhola,2021-01,AM,100,Influenza/gripe
gripe sintomas,2021-01,AM,36,Influenza/gripe
